"","X","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"54",54,-1.5,0.25,-0.2,-1,0.00178369999999983,-0.0226911,2.74999999999581e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"55",55,-1.5,0.25,-0.2,1,0.00249890000000008,0.00822540000000005,-7.76999999999584e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"56",56,-1.5,0.25,-0.2,1.5,0.00262450000000014,0.012796,0.000101000000000129,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"57",57,-1.5,0.25,0.2,-1.5,0.00108910000000018,-0.0258117000000001,4.77999999999312e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"58",58,-1.5,0.25,0.2,-1,0.00174219999999992,-0.0226768000000001,1.62999999999691e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"59",59,-1.5,0.25,0.2,1,0.00255039999999984,0.00843149999999993,1.41999999999642e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"60",60,-1.5,0.25,0.2,1.5,0.00247709999999979,0.0125858000000001,8.5600000000019e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"61",61,-1.5,0.25,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,1,2,4
"62",62,-1.5,0.25,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,1,2,4
"63",63,-1.5,0.25,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"64",64,-1.5,0.25,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"65",65,-1.5,0.5,-0.75,-1.5,0.00103569999999997,-0.0162497,-7.93999999999517e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"66",66,-1.5,0.5,-0.75,-1,0.00167620000000002,-0.0167446999999999,2.57000000000174e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"67",67,-1.5,0.5,-0.75,1,0.00233059999999996,0.00731629999999994,3.97999999999232e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"68",68,-1.5,0.5,-0.75,1.5,0.00238440000000006,0.0111349000000001,7.31999999999955e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"69",69,-1.5,0.5,-0.2,-1.5,0.00103550000000008,-0.0162793,-6.01999999999547e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"70",70,-1.5,0.5,-0.2,-1,0.00164089999999995,-0.016754,4.07000000000046e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"71",71,-1.5,0.5,-0.2,1,0.00278099999999992,0.00710080000000002,0.00014460000000005,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"72",72,-1.5,0.5,-0.2,1.5,0.00235690000000022,0.0111916000000001,0.000270700000000068,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"73",73,-1.5,0.5,0.2,-1.5,0.000973200000000118,-0.0162574000000001,-7.55000000000061e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"74",74,-1.5,0.5,0.2,-1,0.00159180000000003,-0.0167345999999999,3.00000000000855e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"75",75,-1.5,0.5,0.2,1,0.00256140000000005,0.00700620000000007,-0.00021199999999999,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"76",76,-1.5,0.5,0.2,1.5,0.00238050000000001,0.0111359,-8.14000000001203e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"77",77,-1.5,0.5,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,1,2,4
"78",78,-1.5,0.5,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,1,2,4
"79",79,-1.5,0.5,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"80",80,-1.5,0.5,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"81",81,-1.5,1.25,-0.75,-1.5,0.000784000000000007,0.00639999999999996,-5.83000000000666e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"82",82,-1.5,1.25,-0.75,-1,0.000984800000000119,-0.00158360000000002,-0.000116600000000022,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"83",83,-1.5,1.25,-0.75,1,0.00217360000000011,0.00306909999999994,-8.22999999999796e-05,4,1,2,3,4,2,1,3,3,2,1,4,4,1,2,3
"84",84,-1.5,1.25,-0.75,1.5,0.00233399999999995,0.0066058,-6.72999999999924e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"85",85,-1.5,1.25,-0.2,-1.5,0.000790999999999986,0.00638080000000008,-4.36999999999799e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"86",86,-1.5,1.25,-0.2,-1,0.00145879999999998,-0.00171450000000006,-0.000250800000000106,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"87",87,-1.5,1.25,-0.2,1,0.00224400000000002,0.00298019999999988,-0.000203700000000029,4,1,2,3,4,2,1,3,3,2,1,4,4,1,2,3
"88",88,-1.5,1.25,-0.2,1.5,0.00207630000000003,0.00671480000000002,-2.01999999999147e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"89",89,-1.5,1.25,0.2,-1.5,0.000710599999999895,0.0064012,-5.48000000000215e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"90",90,-1.5,1.25,0.2,-1,0.00148630000000005,-0.00173769999999995,-0.000274600000000014,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"91",91,-1.5,1.25,0.2,1,0.00219230000000015,0.00304260000000012,-4.84999999998958e-05,4,1,2,3,4,2,1,3,3,2,1,4,4,1,2,3
"92",92,-1.5,1.25,0.2,1.5,0.00229559999999995,0.00664179999999992,2.94000000000683e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"93",93,-1.5,1.25,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,1,2,4
"94",94,-1.5,1.25,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,1,2,4
"95",95,-1.5,1.25,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"96",96,-1.5,1.25,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"97",97,-0.5,-1.25,-0.75,-1.5,-0.000382900000000075,-0.0802578999999999,7.46000000001468e-05,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"98",98,-0.5,-1.25,-0.75,-1,-0.000692199999999921,-0.0534343,4.22999999999396e-05,4,1,2,3,4,2,1,3,3,2,1,4,4,1,2,3
"99",99,-0.5,-1.25,-0.75,1,-0.000932099999999991,0.0147706999999999,4.53000000000259e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"100",100,-0.5,-1.25,-0.75,1.5,-0.00096279999999993,0.0198252999999999,2.38999999999656e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"101",101,-0.5,-1.25,-0.2,-1.5,-0.000452200000000014,-0.0802695999999999,4.87000000001236e-05,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"102",102,-0.5,-1.25,-0.2,-1,-0.000735299999999994,-0.0534594,1.5199999999993e-05,4,1,2,3,4,2,1,3,3,2,1,4,4,1,2,3
"103",103,-0.5,-1.25,-0.2,1,-0.000978000000000145,0.0147436,2.35000000000651e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"104",104,-0.5,-1.25,-0.2,1.5,-0.00100939999999994,0.0197982,2.10000000000488e-06,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"105",105,-0.5,-1.25,0.2,-1.5,-0.00033379999999994,-0.0802192999999999,0.000101600000000146,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"106",106,-0.5,-1.25,0.2,-1,-0.000646599999999942,-0.0534236,6.94999999999446e-05,4,1,2,3,4,2,1,3,3,2,1,4,4,1,2,3
"107",107,-0.5,-1.25,0.2,1,-0.00082950000000015,0.0147826999999999,6.11999999999835e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"108",108,-0.5,-1.25,0.2,1.5,-0.000894700000000026,0.0198366999999998,3.89999999999002e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"109",109,-0.5,-1.25,0.75,-1.5,-0.00040309999999999,-0.0802309999999999,7.57000000001229e-05,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"110",110,-0.5,-1.25,0.75,-1,-0.000689700000000015,-0.0534487000000001,4.2399999999887e-05,4,1,2,3,4,2,1,3,3,2,1,4,4,1,2,3
"111",111,-0.5,-1.25,0.75,1,-0.000875400000000082,0.0147555999999999,3.94000000000228e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"112",112,-0.5,-1.25,0.75,1.5,-0.000941299999999923,0.0198095999999999,1.71999999999395e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"113",113,-0.5,-0.5,-0.75,-1.5,-0.000405500000000059,-0.058576,6.27000000000821e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"114",114,-0.5,-0.5,-0.75,-1,-0.000723099999999977,-0.0417875999999999,-2.97999999999687e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"115",115,-0.5,-0.5,-0.75,1,-0.00100060000000002,0.0109138999999999,7.21999999999667e-05,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"116",116,-0.5,-0.5,-0.75,1.5,-0.00101819999999997,0.0152756999999999,4.78999999998786e-05,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"117",117,-0.5,-0.5,-0.2,-1.5,-0.000443900000000053,-0.0585785999999999,4.62000000001073e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"118",118,-0.5,-0.5,-0.2,-1,-0.000739900000000016,-0.0418109999999999,-5.48999999999689e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"119",119,-0.5,-0.5,-0.2,1,-0.000960799999999984,0.0108874999999999,5.06000000000117e-05,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"120",120,-0.5,-0.5,-0.2,1.5,-0.000980599999999998,0.0152490999999999,2.61999999998652e-05,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"121",121,-0.5,-0.5,0.2,-1.5,-0.000228099999999953,-0.0585481,9.25000000000509e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"122",122,-0.5,-0.5,0.2,-1,-0.000594299999999937,-0.0417862,-7.5999999999965e-06,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"123",123,-0.5,-0.5,0.2,1,-0.000870600000000055,0.0109173,8.75000000000181e-05,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"124",124,-0.5,-0.5,0.2,1.5,-0.000892600000000021,0.0152790999999999,6.28999999998658e-05,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"125",125,-0.5,-0.5,0.75,-1.5,-0.000266500000000058,-0.0585507,7.6000000000076e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"126",126,-0.5,-0.5,0.75,-1,-0.000611099999999976,-0.0418095999999999,-3.26999999999966e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"127",127,-0.5,-0.5,0.75,1,-0.00083080000000002,0.0108908999999999,6.58999999999521e-05,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"128",128,-0.5,-0.5,0.75,1.5,-0.00085500000000005,0.0152524999999999,4.11999999998525e-05,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"129",129,-0.5,-0.25,-0.75,-1.5,-0.000390699999999966,-0.0482739999999999,6.9600000000003e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"130",130,-0.5,-0.25,-0.75,-1,-0.000690300000000033,-0.0360846,0.000148200000000043,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"131",131,-0.5,-0.25,-0.75,1,-0.000992500000000063,0.00968409999999997,5.15999999999295e-05,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"132",132,-0.5,-0.25,-0.75,1.5,-0.000996400000000008,0.0139929000000001,4.49000000000144e-05,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"133",133,-0.5,-0.25,-0.2,-1.5,-0.000432200000000105,-0.0482722999999999,5.31000000000281e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"134",134,-0.5,-0.25,-0.2,-1,-0.000705700000000031,-0.036101,0.000122500000000025,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"135",135,-0.5,-0.25,-0.2,1,-0.000958699999999979,0.00966319999999998,3.00999999999219e-05,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"136",136,-0.5,-0.25,-0.2,1.5,-0.000963400000000059,0.0139714000000001,2.3200000000001e-05,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"137",137,-0.5,-0.25,0.2,-1.5,-0.000193699999999963,-0.0482368999999999,0.000107599999999985,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"138",138,-0.5,-0.25,0.2,-1,-0.000554900000000136,-0.0360771000000001,0.000176300000000018,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"139",139,-0.5,-0.25,0.2,1,-0.000845300000000049,0.00968669999999994,6.66999999998641e-05,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"140",140,-0.5,-0.25,0.2,1.5,-0.000872899999999954,0.0139954000000001,5.99000000000016e-05,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
"141",141,-0.5,-0.25,0.75,-1.5,-0.000235199999999991,-0.0482351999999999,9.11000000000106e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"142",142,-0.5,-0.25,0.75,-1,-0.000570300000000135,-0.0360935,0.000150600000000001,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"143",143,-0.5,-0.25,0.75,1,-0.000811499999999965,0.00966579999999995,4.51999999999675e-05,3,1,2,4,3,2,1,4,3,2,1,4,3,1,2,4
