"","X","a1","g6","rho","beta2","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"119","Ys0...119",-0.5,-0.5,-0.2,1,0.9812319,0.9508844,0.9755709,0.9625271,0.9277511,0.9896361,0.967954,0.9722457,0.9722113,0.9786015,0.9470428,0.9811809,0.950944,0.9722215,0.9625814,0.9277507,0.0303475000000001,-0.0246865000000001,0.0130438,0.0347759999999999,0.0303475000000001,-0.00429170000000001,-0.00639020000000001,0.0347759999999999,-0.000960799999999984,-0.0203948,0.000995199999999974,0.9957083,0.9551761,0.1196006,0.1196006,0.9947475,0.9561369,0.0983744,0.0983744,0.0216821,-0.00429170000000001,-0.00639020000000001,0.0315587000000001,0.0108874999999999,-0.0203948,0.0302369,-0.0212774999999999,0.00964009999999993,0.0348307,5.06000000000117e-05,-0.00340900000000011
"120","Ys0...120",-0.5,-0.5,-0.2,1.5,0.9812331,0.951163,0.9759392,0.9628957,0.9319397,0.9896467,0.9683161,0.9725935,0.9725541,0.9790288,0.9556024,0.9811819,0.9512321,0.9725711,0.9629459,0.9319147,0.0300701,-0.0247762,0.0130435,0.030956,0.0300701,-0.00427739999999999,-0.00647470000000006,0.030956,-0.000980599999999998,-0.0204988,0.00102000000000002,0.9957226,0.9554404,0.1181808,0.1181808,0.994742,0.956421,0.0968342,0.0968342,0.0213306,-0.00427739999999999,-0.00647470000000006,0.0234264000000001,0.0152490999999999,-0.0204988,0.0299498,-0.021339,0.0096252,0.0310312,2.61999999998652e-05,-0.00343720000000003
"121","Ys0...121",-0.5,-0.5,0.2,-1.5,0.9800274,0.9430467,0.9557844,0.9525571,0.8418336,0.9855488,0.9509342,0.9573492,0.9573316,0.9601989,0.7888069,0.979937,0.9428959,0.9573883,0.9525833,0.8418357,0.0369807,-0.0127377,0.00322729999999993,0.1107235,0.0369807,-0.00641500000000006,-0.00286730000000002,0.1107235,-0.000228099999999953,-0.0063226999999999,0.000245700000000015,0.9969046,0.9494617,0.1834332,0.1834332,0.9971327,0.9496898,0.164939,0.164939,0.0346146000000001,-0.00641500000000006,-0.00286730000000002,0.171392,-0.0585481,-0.0063226999999999,0.0370410999999999,-0.0144924,0.00480499999999995,0.1107476,9.25000000000509e-05,0.0017547
"122","Ys0...122",-0.5,-0.5,0.2,-1,0.9809259,0.9463768,0.9617178,0.9567519,0.8731376,0.988176,0.9589312,0.9642405,0.9642276,0.9686991,0.8386015,0.9808413,0.9462509,0.9642433,0.9567591,0.8730454,0.0345491,-0.0153409999999999,0.00496589999999997,0.0836143,0.0345491,-0.00530929999999996,-0.00447150000000007,0.0836143,-0.000594299999999937,-0.0100317,0.000607199999999919,0.9949342,0.9516861,0.1536566,0.1536566,0.9955285,0.9522804,0.1341466,0.1341466,0.0292448000000001,-0.00530929999999996,-0.00447150000000007,0.1300976,-0.0417862,-0.0100317,0.0345904,-0.0179924,0.00748420000000005,0.0837137,-7.5999999999965e-06,0.00265140000000008
"123","Ys0...123",-0.5,-0.5,0.2,1,0.9812688,0.9510171,0.9688686,0.9625271,0.9277511,0.9896432,0.9679778,0.9722457,0.97223,0.9786015,0.9470428,0.9811809,0.950944,0.9722215,0.9625814,0.9277507,0.0302517000000001,-0.0178515,0.0063415,0.0347759999999999,0.0302517000000001,-0.00426789999999999,-0.00637149999999997,0.0347759999999999,-0.000870600000000055,-0.0135836,0.000886300000000007,0.9957321,0.955285,0.119553,0.119553,0.9948615,0.9561556,0.0983369999999999,0.0983369999999999,0.0216653999999999,-0.00426789999999999,-0.00637149999999997,0.0315587000000001,0.0109173,-0.0135836,0.0302369,-0.0212774999999999,0.00964009999999993,0.0348307,8.75000000000181e-05,0.00342599999999993
"124","Ys0...124",-0.5,-0.5,0.2,1.5,0.9812698,0.9513074,0.9692067,0.9628957,0.9319397,0.9896534,0.968349,0.9725935,0.9725776,0.9790288,0.9556024,0.9811819,0.9512321,0.9725711,0.9629459,0.9319147,0.0299623999999999,-0.0178993,0.00631099999999996,0.030956,0.0299623999999999,-0.00424449999999998,-0.00645119999999999,0.030956,-0.000892600000000021,-0.0136548,0.000908499999999979,0.9957555,0.9555519,0.118115,0.118115,0.9948629,0.9564445,0.0967871999999997,0.0967871999999997,0.0213044,-0.00424449999999998,-0.00645119999999999,0.0234264000000001,0.0152790999999999,-0.0136548,0.0299498,-0.021339,0.0096252,0.0310312,6.28999999998658e-05,0.00343970000000005
"125","Ys0...125",-0.5,-0.5,0.75,-1.5,0.9800109,0.9429339,0.9515594,0.9525571,0.8418336,0.9855349,0.9508906,0.9573492,0.9573008,0.9601989,0.7888069,0.979937,0.9428959,0.9573883,0.9525833,0.8418357,0.037077,-0.00862550000000006,-0.00099769999999999,0.1107235,0.037077,-0.00645859999999998,-0.00289810000000001,0.1107235,-0.000266500000000058,-0.00216690000000008,0.000314900000000118,0.9968354,0.9493925,0.1835204,0.1835204,0.9971019,0.949659,0.1650006,0.1650006,0.0346443,-0.00645859999999998,-0.00289810000000001,0.171392,-0.0585507,-0.00216690000000008,0.0370410999999999,-0.0144924,0.00480499999999995,0.1107476,7.6000000000076e-05,0.0058668999999999
"126","Ys0...126",-0.5,-0.5,0.75,-1,0.9809008,0.9462536,0.955033,0.9567519,0.8731376,0.9881743,0.9588782,0.9642405,0.9641742,0.9686991,0.8386015,0.9808413,0.9462509,0.9642433,0.9567591,0.8730454,0.0346472,-0.00877939999999999,-0.00171889999999997,0.0836143,0.0346472,-0.00536229999999993,-0.00452490000000005,0.0836143,-0.000611099999999976,-0.00341710000000006,0.000677399999999939,0.994864,0.9516159,0.1537626,0.1537626,0.9954751,0.952227,0.1342534,0.1342534,0.0292960999999999,-0.00536229999999993,-0.00452490000000005,0.1300976,-0.0418095999999999,-0.00341710000000006,0.0345904,-0.0179924,0.00748420000000005,0.0837137,-3.26999999999966e-05,0.00921300000000003
"127","Ys0...127",-0.5,-0.5,0.75,1,0.9812472,0.9509167,0.9598295,0.9625271,0.9277511,0.989648,0.9679264,0.9722457,0.9721412,0.9786015,0.9470428,0.9811809,0.950944,0.9722215,0.9625814,0.9277507,0.0303305,-0.00891280000000005,-0.00269759999999997,0.0347759999999999,0.0303305,-0.00431930000000003,-0.00646029999999997,0.0347759999999999,-0.00083080000000002,-0.00459350000000003,0.000935299999999972,0.9956807,0.955236,0.1196558,0.1196558,0.9948499,0.9560668,0.0985146,0.0985146,0.0217216,-0.00431930000000003,-0.00646029999999997,0.0315587000000001,0.0108908999999999,-0.00459350000000003,0.0302369,-0.0212774999999999,0.00964009999999993,0.0348307,6.58999999999521e-05,0.0123646999999999
"128","Ys0...128",-0.5,-0.5,0.75,1.5,0.9812481,0.9512016,0.9601283,0.9628957,0.9319397,0.9896583,0.9682927,0.9725935,0.9724905,0.9790288,0.9556024,0.9811819,0.9512321,0.9725711,0.9629459,0.9319147,0.0300465,-0.00892670000000007,-0.00276739999999998,0.030956,0.0300465,-0.00430079999999999,-0.0065383,0.030956,-0.00085500000000005,-0.00462590000000007,0.000958000000000014,0.9956992,0.9555024,0.1182276,0.1182276,0.9948442,0.9563574,0.0969613999999998,0.0969613999999998,0.0213656,-0.00430079999999999,-0.0065383,0.0234264000000001,0.0152524999999999,-0.00462590000000007,0.0299498,-0.021339,0.0096252,0.0310312,4.11999999998525e-05,0.0124122999999999
"129","Ys0...129",-0.5,-0.25,-0.75,-1.5,0.9797795,0.9439243,0.9635107,0.9537347,0.8120849,0.9853124,0.9514912,0.9579914,0.958072,0.9609915,0.7693438,0.9797192,0.9438379,0.9580334,0.9537509,0.8120942,0.0358552,-0.0195864,0.00977600000000001,0.1416498,0.0358552,-0.00650020000000007,-0.00291949999999996,0.1416498,-0.000390699999999966,-0.0130861999999999,0.00031009999999998,0.9966898,0.9504245,0.1810348,0.1810348,0.9970805,0.9508152,0.161873,0.161873,0.0338212,-0.00650020000000007,-0.00291949999999996,0.1916477,-0.0482739999999999,-0.0130861999999999,0.0358813,-0.0141955,0.00428250000000008,0.1416567,6.9600000000003e-05,-0.00539089999999998
"130","Ys0...130",-0.5,-0.25,-0.75,-1,0.9808555,0.9474563,0.9737991,0.9581193,0.8562118,0.9879603,0.9595467,0.9649821,0.965076,0.9696133,0.827232,0.980793,0.9473673,0.9649838,0.9581381,0.8562975,0.0333992,-0.0263428,0.0156798,0.1019075,0.0333992,-0.00543539999999998,-0.00453729999999997,0.1019075,-0.000690300000000033,-0.0209074,0.000596399999999941,0.9947724,0.9528917,0.1509424,0.1509424,0.9954627,0.953582,0.1306214,0.1306214,0.0284136,-0.00543539999999998,-0.00453729999999997,0.1423813,-0.0360846,-0.0209074,0.0334257,-0.0176164999999999,0.00684569999999995,0.1018406,0.000148200000000043,-0.00872630000000008
"131","Ys0...131",-0.5,-0.25,-0.75,1,0.9812539,0.9513588,0.984839,0.9630063,0.9289268,0.9894379,0.9682561,0.97253,0.9725915,0.9789726,0.9467949,0.9811813,0.9513229,0.9725201,0.9630518,0.9289058,0.0298951000000001,-0.0334802000000001,0.0218327,0.0340794999999999,0.0298951000000001,-0.00427390000000005,-0.00638109999999992,0.0340794999999999,-0.000992500000000063,-0.0292063000000001,0.000931000000000015,0.9957261,0.9556327,0.1184278,0.1184278,0.9947336,0.9566252,0.0968717999999998,0.0968717999999998,0.0211818,-0.00427390000000005,-0.00638109999999992,0.0321777,0.00968409999999997,-0.0292063000000001,0.0298584000000001,-0.0211972,0.00946829999999999,0.034146,5.15999999999295e-05,-0.012283
"132","Ys0...132",-0.5,-0.25,-0.75,1.5,0.9812549,0.9515302,0.9852124,0.9632148,0.9332924,0.9894478,0.9685554,0.9727946,0.9728527,0.9793017,0.9554782,0.981182,0.9514927,0.9727866,0.9632614,0.9332644,0.0297247,-0.0336822,0.0219976,0.0299224,0.0297247,-0.0042392,-0.00644900000000004,0.0299224,-0.000996400000000008,-0.029443,0.000938299999999948,0.9957608,0.9557694,0.1173,0.1173,0.9947644,0.9567658,0.0956911999999998,0.0956911999999998,0.0208924,-0.0042392,-0.00644900000000004,0.0238235,0.0139929000000001,-0.029443,0.0296893,-0.0212939,0.0095251999999999,0.0299970000000001,4.49000000000144e-05,-0.0123883
"133","Ys0...133",-0.5,-0.25,-0.2,-1.5,0.979763,0.9438088,0.9595019,0.9537347,0.8120849,0.9852942,0.9514493,0.9579914,0.9580399,0.9609915,0.7693438,0.9797192,0.9438379,0.9580334,0.9537509,0.8120942,0.0359542,-0.0156931,0.00576719999999997,0.1416498,0.0359542,-0.0065421,-0.00295159999999994,0.1416498,-0.000432200000000105,-0.00915100000000002,0.000383700000000098,0.9966162,0.9503509,0.1811186,0.1811186,0.9970484,0.9507831,0.1619372,0.1619372,0.0338449,-0.0065421,-0.00295159999999994,0.1916477,-0.0482722999999999,-0.00915100000000002,0.0358813,-0.0141955,0.00428250000000008,0.1416567,5.31000000000281e-05,-0.00149759999999999
"134","Ys0...134",-0.5,-0.25,-0.2,-1,0.9808298,0.9473276,0.9673591,0.9581193,0.8562118,0.987951,0.9594897,0.9649821,0.9650197,0.9696133,0.827232,0.980793,0.9473673,0.9649838,0.9581381,0.8562975,0.0335021999999999,-0.0200315,0.00923980000000002,0.1019075,0.0335021999999999,-0.00549239999999995,-0.00459359999999998,0.1019075,-0.000705700000000031,-0.0145391,0.000668099999999949,0.9947007,0.95282,0.1510564,0.1510564,0.9954064,0.9535257,0.130734,0.130734,0.0284613,-0.00549239999999995,-0.00459359999999998,0.1423813,-0.036101,-0.0145391,0.0334257,-0.0176164999999999,0.00684569999999995,0.1018406,0.000122500000000025,-0.00241500000000006
"135","Ys0...135",-0.5,-0.25,-0.2,1,0.9812324,0.9512559,0.9758672,0.9630063,0.9289268,0.9894373,0.9682001,0.97253,0.9725108,0.9789726,0.9467949,0.9811813,0.9513229,0.9725201,0.9630518,0.9289058,0.0299765,-0.0246113,0.0128609000000001,0.0340794999999999,0.0299765,-0.0043299,-0.00646179999999996,0.0340794999999999,-0.000958699999999979,-0.0202814,0.000977899999999976,0.9956701,0.9555858,0.1185398,0.1185398,0.9947114,0.9565445,0.0970331999999999,0.0970331999999999,0.0212372,-0.0043299,-0.00646179999999996,0.0321777,0.00966319999999998,-0.0202814,0.0298584000000001,-0.0211972,0.00946829999999999,0.034146,3.00999999999219e-05,-0.00341409999999998
"136","Ys0...136",-0.5,-0.25,-0.2,1.5,0.9812332,0.9514263,0.9761636,0.9632148,0.9332924,0.9894476,0.9684988,0.9727946,0.9727724,0.9793017,0.9554782,0.981182,0.9514927,0.9727866,0.9632614,0.9332644,0.0298069000000001,-0.0247373000000001,0.0129488,0.0299224,0.0298069000000001,-0.00429579999999996,-0.00652930000000007,0.0299224,-0.000963400000000059,-0.0204415000000001,0.000985600000000031,0.9957042,0.9557221,0.1174132,0.1174132,0.9947408,0.9566855,0.0958517999999998,0.0958517999999998,0.0209488,-0.00429579999999996,-0.00652930000000007,0.0238235,0.0139714000000001,-0.0204415000000001,0.0296893,-0.0212939,0.0095251999999999,0.0299970000000001,2.3200000000001e-05,-0.0034434000000001
"137","Ys0...137",-0.5,-0.25,0.2,-1.5,0.9798175,0.9439712,0.9565279,0.9537347,0.8120849,0.9853133,0.951442,0.9579914,0.9579711,0.9609915,0.7693438,0.9797192,0.9438379,0.9580334,0.9537509,0.8120942,0.0358463,-0.0125567,0.00279319999999994,0.1416498,0.0358463,-0.00654940000000004,-0.00302040000000003,0.1416498,-0.000193699999999963,-0.00600729999999994,0.000214000000000047,0.9967859,0.9505206,0.1811332,0.1811332,0.9969796,0.9507143,0.1620748,0.1620748,0.0338712999999999,-0.00654940000000004,-0.00302040000000003,0.1916477,-0.0482368999999999,-0.00600729999999994,0.0358813,-0.0141955,0.00428250000000008,0.1416567,0.000107599999999985,0.00163880000000005
"138","Ys0...138",-0.5,-0.25,0.2,-1,0.9808836,0.9474678,0.9625897,0.9581193,0.8562118,0.9879809,0.9595407,0.9649821,0.9649581,0.9696133,0.827232,0.980793,0.9473673,0.9649838,0.9581381,0.8562975,0.0334158,-0.0151219,0.00447039999999999,0.1019075,0.0334158,-0.00544139999999993,-0.00465519999999997,0.1019075,-0.000554900000000136,-0.00968050000000009,0.000578900000000049,0.9947899,0.9529092,0.1509544,0.1509544,0.9953448,0.9534641,0.1308572,0.1308572,0.0284402,-0.00544139999999993,-0.00465519999999997,0.1423813,-0.0360771000000001,-0.00968050000000009,0.0334257,-0.0176164999999999,0.00684569999999995,0.1018406,0.000176300000000018,0.0024945999999999
"139","Ys0...139",-0.5,-0.25,0.2,1,0.981269,0.9513976,0.9692155,0.9630063,0.9289268,0.9894504,0.9682259,0.97253,0.9725133,0.9789726,0.9467949,0.9811813,0.9513229,0.9725201,0.9630518,0.9289058,0.0298714,-0.0178179000000001,0.00620920000000003,0.0340794999999999,0.0298714,-0.00430410000000003,-0.00645929999999995,0.0340794999999999,-0.000845300000000049,-0.0135138,0.000862000000000029,0.9956959,0.9557017,0.1184882,0.1184882,0.9948506,0.956547,0.0970281999999998,0.0970281999999998,0.0212245,-0.00430410000000003,-0.00645929999999995,0.0321777,0.00968669999999994,-0.0135138,0.0298584000000001,-0.0211972,0.00946829999999999,0.034146,6.66999999998641e-05,0.00337929999999997
"140","Ys0...140",-0.5,-0.25,0.2,1.5,0.9812699,0.9515689,0.9694649,0.9632148,0.9332924,0.9894603,0.9685351,0.9727946,0.9727882,0.9793017,0.9554782,0.981182,0.9514927,0.9727866,0.9632614,0.9332644,0.029701,-0.0178959999999999,0.00625009999999993,0.0299224,0.029701,-0.00425949999999997,-0.00651350000000006,0.0299224,-0.000872899999999954,-0.0136364999999999,0.000879299999999916,0.9957405,0.9558284,0.1173406,0.1173406,0.9948676,0.9567013,0.0958201999999997,0.0958201999999997,0.0209252,-0.00425949999999997,-0.00651350000000006,0.0238235,0.0139954000000001,-0.0136364999999999,0.0296893,-0.0212939,0.0095251999999999,0.0299970000000001,5.99000000000016e-05,0.00339790000000006
"141","Ys0...141",-0.5,-0.25,0.75,-1.5,0.979801,0.9438557,0.9525191,0.9537347,0.8120849,0.9852951,0.9514001,0.9579914,0.957939,0.9609915,0.7693438,0.9797192,0.9438379,0.9580334,0.9537509,0.8120942,0.0359453000000001,-0.00866339999999999,-0.00121560000000009,0.1416498,0.0359453000000001,-0.00659130000000008,-0.00305250000000001,0.1416498,-0.000235199999999991,-0.00207209999999991,0.000287600000000054,0.9967123,0.950447,0.181217,0.181217,0.9969475,0.9506822,0.162139,0.162139,0.033895,-0.00659130000000008,-0.00305250000000001,0.1916477,-0.0482351999999999,-0.00207209999999991,0.0358813,-0.0141955,0.00428250000000008,0.1416567,9.11000000000106e-05,0.00553210000000004
"142","Ys0...142",-0.5,-0.25,0.75,-1,0.9808579,0.9473391,0.9561497,0.9581193,0.8562118,0.9879716,0.9594837,0.9649821,0.9649018,0.9696133,0.827232,0.980793,0.9473673,0.9649838,0.9581381,0.8562975,0.0335188,-0.0088106,-0.00196960000000002,0.1019075,0.0335188,-0.0054983999999999,-0.00471149999999998,0.1019075,-0.000570300000000135,-0.0033122000000001,0.000650600000000057,0.9947182,0.9528375,0.1510684,0.1510684,0.9952885,0.9534078,0.1309698,0.1309698,0.0284878999999999,-0.0054983999999999,-0.00471149999999998,0.1423813,-0.0360935,-0.0033122000000001,0.0334257,-0.0176164999999999,0.00684569999999995,0.1018406,0.000150600000000001,0.00880589999999992
