"","a1","g6","rho","beta2","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"Ys0...88",-0.5,-1.5,-0.2,1.5,0.9918783,0.9343351,0.9470768,0.9389435,0.9333142,0.9940097,0.9430531,0.9454845,0.9454465,0.9470267,0.9416969,0.9918393,0.9345139,0.9453859,0.9388296,0.9333057,0.0575432,-0.0127417000000001,0.00813330000000001,0.00562930000000006,0.0575432,-0.00243139999999997,-0.00158020000000003,0.00562930000000006,-0.000596800000000064,-0.0103103000000001,0.000634800000000046,0.997823,0.9367665,0.2229248,0.2229248,0.9984198,0.9373633,0.2150536,0.2150536,0.0509566,-0.00243139999999997,-0.00158020000000003,0.00532980000000005,0.00625129999999996,-0.0103103000000001,0.0573254,-0.010872,0.00655629999999996,0.00552390000000003,3.05000000000444e-05,-0.00186970000000009
"Ys0...89",-0.5,-1.5,0.2,-1.5,0.9915259,0.9344197,0.9404819,0.9389435,0.9333142,0.9920519,0.9372336,0.9410853,0.9410652,0.9415904,0.9222283,0.9915376,0.9345139,0.9410093,0.9388296,0.9333057,0.0571062,-0.00606220000000002,0.00153839999999994,0.00562930000000006,0.0571062,-0.00385170000000001,-0.000525200000000003,0.00562930000000006,-0.000146900000000061,-0.0022105,0.000167000000000028,0.9993279,0.9382714,0.2433622,0.2433622,0.9994748,0.9384183,0.2346888,0.2346888,0.0548183,-0.00385170000000001,-0.000525200000000003,0.0193621,-0.0116119,-0.0022105,0.0570237,-0.00649540000000004,0.00217970000000001,0.00552390000000003,-2.02000000000258e-05,0.000433200000000022
"Ys0...90",-0.5,-1.5,0.2,-1,0.9916364,0.9344197,0.9416899,0.9389435,0.9333142,0.9927669,0.9393808,0.9427223,0.9426921,0.9435938,0.9256748,0.9916477,0.9345139,0.9426308,0.9388296,0.9333057,0.0572167,-0.0072702,0.00274639999999993,0.00562930000000006,0.0572167,-0.0033415,-0.000901700000000005,0.00562930000000006,-0.000280600000000075,-0.00392870000000001,0.000310800000000055,0.9988177,0.9377612,0.2357938,0.2357938,0.9990983,0.9380418,0.2274282,0.2274282,0.0533861,-0.0033415,-0.000901700000000005,0.017919,-0.0087699,-0.00392870000000001,0.0571338,-0.00811689999999998,0.00380119999999995,0.00552390000000003,-1.98000000000143e-05,0.000846699999999978
"Ys0...91",-0.5,-1.5,0.2,1,0.9918169,0.9344197,0.9436039,0.9389435,0.9333142,0.9939264,0.9428157,0.9453009,0.9452662,0.9468052,0.9397137,0.9918277,0.9345139,0.9452135,0.9388296,0.9333057,0.0573972,-0.00918420000000009,0.00466040000000001,0.00562930000000006,0.0573972,-0.00248519999999997,-0.00153900000000007,0.00562930000000006,-0.000499600000000044,-0.00669900000000012,0.000534300000000099,0.9979614,0.9369049,0.2237668,0.2237668,0.998461,0.9374045,0.2158572,0.2158572,0.0511107,-0.00248519999999997,-0.00153900000000007,0.00709150000000003,0.00429000000000002,-0.00669900000000012,0.0573138,-0.0106996,0.0063839,0.00552390000000003,-1.92999999999444e-05,0.00151539999999994
"Ys0...92",-0.5,-1.5,0.2,1.5,0.9918286,0.9344197,0.9437423,0.9389435,0.9333142,0.9940074,0.9430446,0.9454845,0.945443,0.9470267,0.9416969,0.9918393,0.9345139,0.9453859,0.9388296,0.9333057,0.0574089,-0.00932260000000007,0.00479879999999999,0.00562930000000006,0.0574089,-0.00243989999999994,-0.00158369999999997,0.00562930000000006,-0.000500200000000173,-0.00688270000000013,0.000541700000000089,0.9979161,0.9368596,0.2229418,0.2229418,0.9984163,0.9373598,0.2150606,0.2150606,0.0509628,-0.00243989999999994,-0.00158369999999997,0.00532980000000005,0.00620389999999993,-0.00688270000000013,0.0573254,-0.010872,0.00655629999999996,0.00552390000000003,-1.9199999999997e-05,0.00154939999999992
"Ys0...93",-0.5,-1.5,0.75,-1.5,0.9915322,0.9344349,0.9389146,0.9389435,0.9333142,0.9920488,0.9372733,0.9410853,0.9410706,0.9415904,0.9222283,0.9915376,0.9345139,0.9410093,0.9388296,0.9333057,0.0570973,-0.00447970000000009,-2.88999999999984e-05,0.00562930000000006,0.0570973,-0.00381200000000004,-0.00051980000000007,0.00562930000000006,-0.000176799999999977,-0.000667700000000049,0.000191500000000011,0.9993034,0.9382469,0.2432828,0.2432828,0.9994802,0.9384237,0.234678,0.234678,0.0547755,-0.00381200000000004,-0.00051980000000007,0.0193621,-0.0116025,-0.000667700000000049,0.0570237,-0.00649540000000004,0.00217970000000001,0.00552390000000003,-1.39000000000111e-05,0.00201569999999995
"Ys0...94",-0.5,-1.5,0.75,-1,0.9916427,0.9344349,0.9389774,0.9389435,0.9333142,0.9927684,0.9393995,0.9427223,0.9426841,0.9435938,0.9256748,0.9916477,0.9345139,0.9426308,0.9388296,0.9333057,0.0572078,-0.0045425,3.38999999999201e-05,0.00562930000000006,0.0572078,-0.00332279999999996,-0.000909700000000013,0.00562930000000006,-0.000276100000000112,-0.00121970000000005,0.000314300000000101,0.9988142,0.9377577,0.2357564,0.2357564,0.9990903,0.9380338,0.2274442,0.2274442,0.0533688999999999,-0.00332279999999996,-0.000909700000000013,0.017919,-0.00876509999999997,-0.00121970000000005,0.0571338,-0.00811689999999998,0.00380119999999995,0.00552390000000003,-1.34999999999996e-05,0.00357439999999998
"Ys0...95",-0.5,-1.5,0.75,1,0.9918159,0.9344349,0.9390728,0.9389435,0.9333142,0.9939278,0.9428227,0.9453009,0.9452621,0.9468052,0.9397137,0.9918277,0.9345139,0.9452135,0.9388296,0.9333057,0.057381,-0.00463790000000008,0.000129299999999999,0.00562930000000006,0.057381,-0.00247819999999999,-0.00154310000000002,0.00562930000000006,-0.000487300000000079,-0.0021597000000001,0.000526100000000085,0.9979696,0.9369131,0.2237528,0.2237528,0.9984569,0.9374004,0.2158654,0.2158654,0.0511051,-0.00247819999999999,-0.00154310000000002,0.00709150000000003,0.00428759999999995,-0.0021597000000001,0.0573138,-0.0106996,0.0063839,0.00552390000000003,-2.02999999999731e-05,0.00606169999999995
"Ys0...96",-0.5,-1.5,0.75,1.5,0.9918272,0.9344349,0.9390795,0.9389435,0.9333142,0.9940052,0.9430454,0.9454845,0.9454367,0.9470267,0.9416969,0.9918393,0.9345139,0.9453859,0.9388296,0.9333057,0.0573923000000001,-0.0046446,0.000135999999999914,0.00562930000000006,0.0573923000000001,-0.00243909999999992,-0.00158999999999998,0.00562930000000006,-0.000479500000000188,-0.00220550000000008,0.000527300000000119,0.9979305,0.936874,0.2229402,0.2229402,0.99841,0.9373535,0.2150732,0.2150732,0.0509598,-0.00243909999999992,-0.00158999999999998,0.00532980000000005,0.00620469999999995,-0.00220550000000008,0.0573254,-0.010872,0.00655629999999996,0.00552390000000003,-2.05999999999262e-05,0.00622739999999999
"Ys0...97",-0.5,-1,-0.75,-1.5,0.9916601,0.941745,0.9515782,0.94815,0.9363647,0.9922683,0.9442903,0.9498487,0.9498009,0.950442,0.926786,0.9916272,0.941904,0.9497719,0.948049,0.9363121,0.0499151,-0.00983319999999999,0.00342819999999999,0.0117853,0.0499151,-0.00555839999999996,-0.000641100000000061,0.0117853,-0.00020549999999997,-0.00427480000000002,0.000253300000000012,0.9991534,0.9473034,0.211722,0.211722,0.9993589,0.9475089,0.1995142,0.1995142,0.047978,-0.00555839999999996,-0.000641100000000061,0.023656,-0.0101869,-0.00427480000000002,0.0497232000000001,-0.00786790000000004,0.00172289999999997,0.0117369000000001,-1.97000000000669e-05,-0.00196529999999995
"Ys0...98",-0.5,-1,-0.75,-1,0.9917795,0.9423199,0.9548798,0.9488612,0.9375858,0.9929944,0.9467178,0.951837,0.9517635,0.9528882,0.9309957,0.9917437,0.9424679,0.9517485,0.9487662,0.9375404,0.0494596,-0.0125599,0.00601859999999999,0.0112753999999999,0.0494596,-0.00511919999999999,-0.00112469999999998,0.0112753999999999,-0.000297400000000003,-0.00744069999999997,0.000370900000000063,0.9985779,0.9474391,0.2028904,0.2028904,0.9988753,0.9477365,0.1906966,0.1906966,0.0462766,-0.00511919999999999,-0.00112469999999998,0.0218925,-0.00780500000000006,-0.00744069999999997,0.0492758,-0.00928059999999997,0.00298229999999999,0.0112258,-9.59999999994299e-06,-0.00327929999999999
"Ys0...99",-0.5,-1,-0.75,1,0.9919751,0.9432415,0.9601621,0.9500035,0.9425547,0.9941779,0.9505996,0.9549825,0.9549306,0.9568069,0.9481041,0.9919351,0.9433868,0.9549105,0.9499109,0.9425803,0.0487336,-0.0169206000000001,0.0101586,0.00744880000000003,0.0487336,-0.00438289999999997,-0.00187630000000005,0.00744880000000003,-0.000502800000000025,-0.0125377000000001,0.000554700000000019,0.9976209,0.9476244,0.1888358,0.1888358,0.9981237,0.9481272,0.176525,0.176525,0.0435783,-0.00438289999999997,-0.00187630000000005,0.00870280000000001,0.00334660000000009,-0.0125377000000001,0.0485483,-0.0115237,0.00499959999999999,0.00733059999999996,6.560000000011e-05,-0.00539690000000004
"Ys0...100",-0.5,-1,-0.75,1.5,0.9919886,0.9433026,0.9605368,0.9500817,0.9432657,0.9942615,0.9508637,0.955205,0.9551468,0.9570782,0.9505365,0.9919476,0.9434474,0.9551218,0.9499892,0.9432802,0.048686,-0.0172342,0.0104550999999999,0.00681600000000004,0.048686,-0.00434129999999999,-0.00193140000000003,0.00681600000000004,-0.000506400000000018,-0.0128929,0.000564600000000026,0.9975622,0.9476439,0.1878626,0.1878626,0.9980686,0.9481503,0.17555,0.17555,0.0433978,-0.00434129999999999,-0.00193140000000003,0.00654169999999998,0.0049979,-0.0128929,0.0485002,-0.0116744,0.00513260000000004,0.00670899999999996,5.54999999999861e-05,-0.0055598
"Ys0...101",-0.5,-1,-0.2,-1.5,0.9916676,0.941782,0.9502287,0.94815,0.9363647,0.9922635,0.9443094,0.9498487,0.9498078,0.950442,0.926786,0.9916272,0.941904,0.9497719,0.948049,0.9363121,0.0498856,-0.00844670000000003,0.00207869999999999,0.0117853,0.0498856,-0.00553930000000002,-0.000634200000000029,0.0117853,-0.000194499999999986,-0.0029074,0.000235399999999997,0.9991713,0.9473213,0.2116838,0.2116838,0.9993658,0.9475158,0.1995004,0.1995004,0.0479541,-0.00553930000000002,-0.000634200000000029,0.023656,-0.0101746,-0.0029074,0.0497232000000001,-0.00786790000000004,0.00172289999999997,0.0117369000000001,-1.22000000001288e-05,-0.00057879999999999
"Ys0...102",-0.5,-1,-0.2,-1,0.9917872,0.9423597,0.9525422,0.9488612,0.9375858,0.9929938,0.9467187,0.951837,0.9517588,0.9528882,0.9309957,0.9917437,0.9424679,0.9517485,0.9487662,0.9375404,0.0494275,-0.0101825,0.00368100000000005,0.0112753999999999,0.0494275,-0.00511830000000002,-0.00112939999999995,0.0112753999999999,-0.000253799999999971,-0.00506419999999996,0.000331999999999999,0.9986168,0.947478,0.2028886,0.2028886,0.9988706,0.9477318,0.190706,0.190706,0.0462751,-0.00511830000000002,-0.00112939999999995,0.0218925,-0.0077967000000001,-0.00506419999999996,0.0492758,-0.00928059999999997,0.00298229999999999,0.0112258,-1.89999999999912e-06,-0.000901900000000011
"Ys0...103",-0.5,-1,-0.2,1,0.9919756,0.9432879,0.9562464,0.9500035,0.9425547,0.9941776,0.9505847,0.9549825,0.9549285,0.9568069,0.9481041,0.9919351,0.9433868,0.9549105,0.9499109,0.9425803,0.0486877,-0.0129585000000001,0.00624290000000005,0.00744880000000003,0.0486877,-0.00439780000000001,-0.00187840000000006,0.00744880000000003,-0.000439399999999979,-0.00856070000000009,0.000493399999999977,0.9976822,0.9476857,0.1888656,0.1888656,0.9981216,0.9481251,0.1765292,0.1765292,0.0435929,-0.00439780000000001,-0.00187840000000006,0.00870280000000001,0.0033474,-0.00856070000000009,0.0485483,-0.0115237,0.00499959999999999,0.00733059999999996,6.61000000000689e-05,-0.00143480000000007
"Ys0...104",-0.5,-1,-0.2,1.5,0.9919889,0.9433488,0.9565069,0.9500817,0.9432657,0.9942576,0.9508415,0.955205,0.9551418,0.9570782,0.9505365,0.9919476,0.9434474,0.9551218,0.9499892,0.9432802,0.0486401,-0.0131581000000001,0.00642520000000002,0.00681600000000004,0.0486401,-0.00436349999999996,-0.00193639999999995,0.00681600000000004,-0.000433000000000128,-0.0087946000000001,0.000496200000000058,0.9976306,0.9477123,0.187907,0.187907,0.9980636,0.9481453,0.17556,0.17556,0.0434161,-0.00436349999999996,-0.00193639999999995,0.00654169999999998,0.00500210000000001,-0.0087946000000001,0.0485002,-0.0116744,0.00513260000000004,0.00670899999999996,5.57999999999392e-05,-0.00148370000000009
"Ys0...105",-0.5,-1,0.2,-1.5,0.9916088,0.9418282,0.9492476,0.94815,0.9363647,0.9922784,0.9442529,0.9498487,0.9497928,0.950442,0.926786,0.9916272,0.941904,0.9497719,0.948049,0.9363121,0.0497806,-0.00741939999999996,0.00109759999999992,0.0117853,0.0497806,-0.00559580000000004,-0.000649200000000016,0.0117853,-7.6799999999988e-05,-0.00182359999999993,0.000132699999999986,0.999274,0.947424,0.2117968,0.2117968,0.9993508,0.9475008,0.1995304,0.1995304,0.0480255000000001,-0.00559580000000004,-0.000649200000000016,0.023656,-0.0102483000000001,-0.00182359999999993,0.0497232000000001,-0.00786790000000004,0.00172289999999997,0.0117369000000001,-7.10000000001543e-05,0.000448500000000074
"Ys0...106",-0.5,-1,0.2,-1,0.9917268,0.9424016,0.9508753,0.9488612,0.9375858,0.9930043,0.9466868,0.951837,0.9517792,0.9528882,0.9309957,0.9917437,0.9424679,0.9517485,0.9487662,0.9375404,0.0493252000000001,-0.00847370000000003,0.00201410000000002,0.0112753999999999,0.0493252000000001,-0.00515019999999999,-0.00110899999999992,0.0112753999999999,-0.0002004000000001,-0.00332350000000003,0.000258200000000097,0.9986906,0.9475518,0.2029524,0.2029524,0.998891,0.9477522,0.1906652,0.1906652,0.0463174999999999,-0.00515019999999999,-0.00110899999999992,0.0218925,-0.00786759999999997,-0.00332350000000003,0.0492758,-0.00928059999999997,0.00298229999999999,0.0112258,-6.22999999999596e-05,0.000806899999999944
"Ys0...107",-0.5,-1,0.2,1,0.9919187,0.943311,0.95345,0.9500035,0.9425547,0.9941774,0.9505978,0.9549825,0.9549279,0.9568069,0.9481041,0.9919351,0.9433868,0.9549105,0.9499109,0.9425803,0.0486077,-0.010139,0.00344650000000002,0.00744880000000003,0.0486077,-0.00438469999999991,-0.00187899999999996,0.00744880000000003,-0.000428800000000118,-0.0057543000000001,0.000483400000000023,0.9976922,0.9476957,0.1888394,0.1888394,0.998121,0.9481245,0.1765304,0.1765304,0.0435795999999999,-0.00438469999999991,-0.00187899999999996,0.00870280000000001,0.00329070000000009,-0.0057543000000001,0.0485483,-0.0115237,0.00499959999999999,0.00733059999999996,9.20000000015353e-06,0.00138470000000002
"Ys0...108",-0.5,-1,0.2,1.5,0.9919312,0.9433726,0.9536343,0.9500817,0.9432657,0.9942599,0.9508589,0.955205,0.955143,0.9570782,0.9505365,0.9919476,0.9434474,0.9551218,0.9499892,0.9432802,0.0485586,-0.0102617,0.00355260000000002,0.00681600000000004,0.0485586,-0.00434610000000002,-0.00193520000000003,0.00681600000000004,-0.000427799999999978,-0.00591560000000002,0.000489799999999985,0.997637,0.9477187,0.1878722,0.1878722,0.9980648,0.9481465,0.1755576,0.1755576,0.043401,-0.00434610000000002,-0.00193520000000003,0.00654169999999998,0.00494210000000006,-0.00591560000000002,0.0485002,-0.0116744,0.00513260000000004,0.00670899999999996,-1.89999999999912e-06,0.00141269999999993
"Ys0...109",-0.5,-1,0.75,-1.5,0.9916163,0.9418652,0.9478981,0.94815,0.9363647,0.9922736,0.944272,0.9498487,0.9497997,0.950442,0.926786,0.9916272,0.941904,0.9497719,0.948049,0.9363121,0.0497511,-0.00603290000000001,-0.000251900000000083,0.0117853,0.0497511,-0.00557669999999999,-0.000642299999999985,0.0117853,-6.58000000001158e-05,-0.000456200000000018,0.000114800000000082,0.9992919,0.9474419,0.2117586,0.2117586,0.9993577,0.9475077,0.1995166,0.1995166,0.0480016,-0.00557669999999999,-0.000642299999999985,0.023656,-0.010236,-0.000456200000000018,0.0497232000000001,-0.00786790000000004,0.00172289999999997,0.0117369000000001,-6.35000000001051e-05,0.00183500000000003
"Ys0...110",-0.5,-1,0.75,-1,0.9917345,0.9424414,0.9485377,0.9488612,0.9375858,0.9930037,0.9466877,0.951837,0.9517745,0.9528882,0.9309957,0.9917437,0.9424679,0.9517485,0.9487662,0.9375404,0.0492931,-0.00609630000000005,-0.000323499999999921,0.0112753999999999,0.0492931,-0.00514930000000002,-0.0011137,0.0112753999999999,-0.000156799999999957,-0.000947000000000031,0.000219300000000033,0.9987295,0.9475907,0.2029506,0.2029506,0.9988863,0.9477475,0.1906746,0.1906746,0.046316,-0.00514930000000002,-0.0011137,0.0218925,-0.00785930000000012,-0.000947000000000031,0.0492758,-0.00928059999999997,0.00298229999999999,0.0112258,-5.46000000000157e-05,0.00318429999999992
"Ys0...111",-0.5,-1,0.75,1,0.9919192,0.9433574,0.9495343,0.9500035,0.9425547,0.9941771,0.9505829,0.9549825,0.9549258,0.9568069,0.9481041,0.9919351,0.9433868,0.9549105,0.9499109,0.9425803,0.0485618,-0.00617690000000004,-0.000469199999999947,0.00744880000000003,0.0485618,-0.00439959999999995,-0.00188109999999997,0.00744880000000003,-0.000365400000000071,-0.00177730000000009,0.000422099999999981,0.9977535,0.947757,0.1888692,0.1888692,0.9981189,0.9481224,0.1765346,0.1765346,0.0435942,-0.00439959999999995,-0.00188109999999997,0.00870280000000001,0.0032915,-0.00177730000000009,0.0485483,-0.0115237,0.00499959999999999,0.00733059999999996,9.7000000001124e-06,0.00534679999999998
"Ys0...112",-0.5,-1,0.75,1.5,0.9919315,0.9434188,0.9496044,0.9500817,0.9432657,0.994256,0.9508367,0.955205,0.955138,0.9570782,0.9505365,0.9919476,0.9434474,0.9551218,0.9499892,0.9432802,0.0485127,-0.00618560000000001,-0.000477300000000014,0.00681600000000004,0.0485127,-0.00436829999999999,-0.00194019999999995,0.00681600000000004,-0.000354400000000088,-0.00181730000000002,0.000421400000000016,0.9977054,0.9477871,0.1879166,0.1879166,0.9980598,0.9481415,0.1755676,0.1755676,0.0434193,-0.00436829999999999,-0.00194019999999995,0.00654169999999998,0.00494629999999996,-0.00181730000000002,0.0485002,-0.0116744,0.00513260000000004,0.00670899999999996,-1.60000000004601e-06,0.00548879999999996
