"","a1","g6","rho","beta2","g2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"116",-1.5,1,-0.75,0,0.5,0.1506078,0.4035079,-0.000364799999999943,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"117",-1.5,1,-0.75,0.5,0.5,0.1589257,0.4347022,-0.000101599999999924,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"118",-1.5,1,-0.75,1,0.5,0.1600206,0.4470272,5.41000000000569e-05,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"119",-1.5,1,-0.75,1.5,0.5,0.1576389,0.4467538,-0.000197400000000014,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"120",-1.5,1,-0.2,-1.5,0.5,0.048917,0.085217,-6.17000000000534e-05,3,2,1,4,3,1,2,4,3,1,2,4,3,2,1,4
"121",-1.5,1,-0.2,-1,0.5,0.0989920000000001,0.24206,-0.000256299999999987,2,3,1,4,3,2,1,4,3,2,1,4,2,3,1,4
"122",-1.5,1,-0.2,-0.5,0.5,0.1319682,0.3471663,-0.000112599999999907,2,4,1,3,3,2,1,4,2,3,1,4,2,4,1,3
"123",-1.5,1,-0.2,0,0.5,0.1506718,0.4035147,-0.000291099999999989,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"124",-1.5,1,-0.2,0.5,0.5,0.1586165,0.4349258,-6.54000000001043e-05,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"125",-1.5,1,-0.2,1,0.5,0.1601195,0.447163,-6.13000000000419e-05,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"126",-1.5,1,-0.2,1.5,0.5,0.1574715,0.4468048,0.000175099999999984,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
