"","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"270",1.5,-1,0.75,-1,-0.0132441000000001,-0.1084457,0.000107300000000032,4,1,3,2,4,1,3,2,3,1,2,4,4,1,3,2
"271",1.5,-1,0.75,1,0.0422955999999999,0.0902975,-5.59999999993899e-06,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2
"272",1.5,-1,0.75,1.5,0.0547895000000002,0.1230467,5.36999999999344e-05,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2
"273",1.5,0,-0.75,-1.5,0.0203449999999998,-0.0849015999999999,2.3200000000001e-05,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"274",1.5,0,-0.75,-1,0.0346164999999998,-0.0776262,1.22999999999651e-05,2,1,4,3,1,2,4,3,1,2,3,4,1,2,4,3
"275",1.5,0,-0.75,1,0.0396064999999999,0.0393572999999999,-4.95000000000356e-05,3,2,4,1,2,3,4,1,2,3,4,1,3,2,4,1
"276",1.5,0,-0.75,1.5,0.0366752000000001,0.0452490999999999,-0.000103400000000087,3,2,4,1,2,3,4,1,2,3,4,1,3,2,4,1
"277",1.5,0,-0.2,-1.5,0.0201861,-0.0850084,0.000109099999999973,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"278",1.5,0,-0.2,-1,0.0345474,-0.0776845,-4.20000000000975e-05,2,1,4,3,1,2,4,3,1,2,3,4,1,2,4,3
"279",1.5,0,-0.2,1,0.0397447000000001,0.0394342000000001,-9.87000000000071e-05,3,2,4,1,2,3,4,1,2,3,4,1,3,2,4,1
"280",1.5,0,-0.2,1.5,0.0365709,0.0455500000000001,0.000101699999999982,3,2,4,1,2,3,4,1,2,3,4,1,3,2,4,1
"281",1.5,0,0.2,-1.5,0.0203344,-0.0851161000000001,1.79999999982972e-06,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"282",1.5,0,0.2,-1,0.0347094999999999,-0.0774239,0.00024079999999993,1,2,4,3,1,2,4,3,1,2,3,4,1,2,4,3
"283",1.5,0,0.2,1,0.0397548999999999,0.0396063,3.48000000000015e-05,3,2,4,1,2,3,4,1,2,3,4,1,3,2,4,1
"284",1.5,0,0.2,1.5,0.0367565999999999,0.0454021,-1.05999999999717e-05,3,2,4,1,2,3,4,1,2,3,4,1,3,2,4,1
"285",1.5,0,0.75,-1.5,0.0202403,-0.0852724,-0.000133400000000061,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"286",1.5,0,0.75,-1,0.0345985,-0.0775450999999999,-0.000170999999999921,1,2,4,3,1,2,4,3,1,2,3,4,1,2,4,3
"287",1.5,0,0.75,1,0.0396718,0.0394314,-0.000137500000000013,2,3,4,1,2,3,4,1,2,3,4,1,3,2,4,1
"288",1.5,0,0.75,1.5,0.0369588000000001,0.0455678,-0.000110199999999949,2,3,4,1,2,3,4,1,2,3,4,1,3,2,4,1
"289",1.5,1,-0.75,-1.5,0.0005444,0.0291442000000001,-3.53000000000714e-05,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
"290",1.5,1,-0.75,-1,-0.00321090000000013,0.0152336,-4.59999999999905e-05,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"291",1.5,1,-0.75,1,-0.0358328,-0.00915679999999996,-8.86999999999416e-05,1,3,4,2,1,3,4,2,2,3,4,1,1,3,4,2
"292",1.5,1,-0.75,1.5,-0.0404138000000001,-0.0187879000000001,0.000123600000000001,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"293",1.5,1,-0.2,-1.5,0.00061370000000005,0.0292705999999999,-0.000167500000000098,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
"294",1.5,1,-0.2,-1,-0.00288129999999998,0.0152087000000002,-0.00016129999999992,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"295",1.5,1,-0.2,1,-0.0358611000000001,-0.00916859999999997,-4.89000000000184e-05,1,3,4,2,1,3,4,2,2,3,4,1,1,3,4,2
"296",1.5,1,-0.2,1.5,-0.0404005,-0.0189144999999998,-0.000160299999999891,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"297",1.5,1,0.2,-1.5,0.000493999999999883,0.0292342,2.42999999999771e-05,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
"298",1.5,1,0.2,-1,-0.00298949999999998,0.0151666999999999,-4.04000000001625e-05,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"299",1.5,1,0.2,1,-0.0355909000000001,-0.00893520000000003,-1.37000000000054e-05,1,3,4,2,1,3,4,2,2,3,4,1,1,3,4,2
"300",1.5,1,0.2,1.5,-0.0403462,-0.0188149000000001,7.29999999993236e-06,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"301",1.5,1,0.75,-1.5,0.000609900000000163,0.0289218999999998,-7.48000000000415e-05,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4
