"","a1","g6","rho","beta2","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0"
"Ys0...226",0.5,1.5,-0.75,-1,NA,NA,NA,1.0002516,NA,NA,NA,1.0002516,NA,NA,NA,NA,0.86109195,NA,3.7157232,0.3446106,-0.0130957499999997,1.00055265,NA
"Ys0...227",0.5,1.5,-0.75,1,NA,NA,NA,0.368358,NA,NA,NA,0.368358,NA,NA,NA,NA,0.34842465,NA,3.8638854,0.38657535,-0.0224184000000003,0.36850935,NA
"Ys0...228",0.5,1.5,-0.75,1.5,NA,NA,NA,0.263318399999999,NA,NA,NA,0.263318399999999,NA,NA,NA,NA,0.2632428,NA,3.8741638,0.3894663,-0.0229006500000004,0.263554650000001,NA
"Ys0...229",0.5,1.5,-0.2,-1.5,3.6226511,0.3231534,-0.0128977500000005,1.0852248,3.6226511,0.29200575,0.0229092,1.0852248,-0.00465930000000014,3.6060322,0.29200575,0.0229092,0.9300972,0.166849299999999,3.6236956,0.31842675,-0.00803234999999969,1.0870683,-0.00302675000000097
"Ys0...230",0.5,1.5,-0.2,-1,3.7151789,0.3534429,-0.0225520499999998,1.000866,3.7151789,0.29942925,0.0396912,1.000866,-0.00822959999999995,3.6859965,0.29942925,0.0396912,0.8616402,0.160008950000001,3.716123,0.3444888,-0.0134346000000001,1.0020876,-0.00232904999999883
"Ys0...231",0.5,1.5,-0.2,1,3.8632029,0.40185375,-0.0385298999999995,0.3682629,3.8632029,0.311556149999999,0.0661056000000002,0.3682629,-0.0143378999999992,3.8140036,0.311556149999999,0.0661056000000002,0.34856655,0.0547011499999996,3.8641488,0.386384550000001,-0.0224494499999999,0.368746799999999,-0.00204104999999988
"Ys0...232",0.5,1.5,-0.2,1.5,3.8734763,0.4052037,-0.03945825,0.2631942,3.8734763,0.31239345,0.0680794499999999,0.2631942,-0.0147274500000005,3.8228501,0.31239345,0.0680794499999999,0.26329005,0.0360122999999994,3.8743984,0.3892701,-0.0229223999999997,0.26403,-0.00236014999999945
"Ys0...233",0.5,1.5,0.2,-1.5,3.6225638,0.31196265,-0.00183795000000053,1.0852248,3.6225638,0.292011599999999,0.0228676500000002,1.0852248,-0.00475455000000036,3.6060361,0.292011599999999,0.0228676500000002,0.9300972,0.166621299999999,3.6236956,0.31842675,-0.00803234999999969,1.0870683,-0.00324500000000061
"Ys0...234",0.5,1.5,0.2,-1,3.7151186,0.33404895,-0.00324854999999946,1.000866,3.7151186,0.2994882,0.0396653999999996,1.000866,-0.00835319999999928,3.6860358,0.2994882,0.0396653999999996,0.8616402,0.159759949999999,3.716123,0.3444888,-0.0134346000000001,1.0020876,-0.00247980000000014
"Ys0...235",0.5,1.5,0.2,1,3.8630688,0.3694272,-0.00630449999999971,0.3682629,3.8630688,0.31149915,0.0659779499999997,0.3682629,-0.0143543999999993,3.8139656,0.31149915,0.0659779499999997,0.34856655,0.0544609000000005,3.8641488,0.386384550000001,-0.0224494499999999,0.368746799999999,-0.002376299999999
"Ys0...236",0.5,1.5,0.2,1.5,3.8733398,0.3718677,-0.00632700000000064,0.2631942,3.8733398,0.3123306,0.0679559999999997,0.2631942,-0.0147459000000003,3.8228082,0.3123306,0.0679559999999997,0.26329005,0.0357757999999997,3.8743984,0.3892701,-0.0229223999999997,0.26403,-0.00270139999999941
