"","a1","g6","rho","beta2","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0"
"Ys0...162",0.5,-1.5,-0.75,-1,4.3053224270014,-0.18746407398334,0.402001656566742,-0.323040229509659,4.3053224270014,0.116403423106751,0.0491577396028693,-0.323040229509659,0.0489764198737821,4.18969237820477,0.116403423106751,0.0491577396028693,0.208811939857774,-0.367787226991431,4.30473791969718,-0.0574013127289179,0.271968102507272,-0.323185719097729,0.000700789697339221
"Ys0...163",0.5,-1.5,-0.75,1,4.42574153922141,-0.368824054185747,0.678753371195175,-0.0799645625667535,4.42574153922141,0.0943758541604955,0.0831330857748553,-0.0799645625667535,0.132420377074077,4.24909810715236,0.0943758541604955,0.0831330857748553,0.0504754940973551,0.178787887073848,4.425047136245,-0.170650225566769,0.480488506782783,-0.0803064805349858,0.00112735673805808
"Ys0...164",0.5,-1.5,-0.75,1.5,4.43207288839463,-0.387320838017153,0.71000531977724,-0.0423993534867622,4.43207288839463,0.0947263494987567,0.0867250172358855,-0.0423993534867622,0.141233115025445,4.24831694271841,0.0947263494987567,0.0867250172358855,0.0368503722037512,0.245724733870603,4.43133458940677,-0.181032665502988,0.503705310238147,-0.0422631747199969,0.000613957246024643
"Ys0...165",0.5,-1.5,-0.2,-1.5,4.18854414407635,0.0100596412123162,0.181528997159488,-0.291273700770413,4.18854414407635,0.145615765890123,0.0298606181782244,-0.291273700770413,0.0161122543034575,4.11314532277593,0.145615765890123,0.0298606181782244,0.233026107718013,-0.433018522968614,4.18771865485165,0.0320455374600748,0.15881903336248,-0.290834900878694,0.0011107568822295
"Ys0...166",0.5,-1.5,-0.2,-1,4.30575653930312,-0.092060801538306,0.306527196941546,-0.323174605829362,4.30575653930312,0.116432555501404,0.0493088055356901,-0.323174605829362,0.0487250343661461,4.19002986228162,0.116432555501404,0.0493088055356901,0.209025774332285,-0.368151787294863,4.30473791969718,-0.0574013127289179,0.271968102507272,-0.323185719097729,0.000929338499189747
"Ys0...167",0.5,-1.5,-0.2,1,4.42606490679914,-0.22330805878097,0.532985722413315,-0.0801552683912905,4.42606490679914,0.0943549177254046,0.082944557214641,-0.0801552683912905,0.132378188692299,4.24944124158369,0.0943549177254046,0.082944557214641,0.0504595283189504,0.178472211685691,4.425047136245,-0.170650225566769,0.480488506782783,-0.0803064805349858,0.0010083651141648
"Ys0...168",0.5,-1.5,-0.2,1.5,4.43240909595958,-0.236018861988187,0.558342022744697,-0.0421723697191667,4.43240909595958,0.0946932633252051,0.0867235564485038,-0.0421723697191667,0.140906340982801,4.2486551280843,0.0946932633252051,0.0867235564485038,0.0369735906575519,0.245604069866787,4.43133458940677,-0.181032665502988,0.503705310238147,-0.0422631747199969,0.000815827574986994
"Ys0...169",0.5,-1.5,0.2,-1.5,4.18708463500737,0.0549725672521135,0.13607582785151,-0.291246325088341,4.18708463500737,0.145307145936769,0.0296866392105808,-0.291246325088341,0.0160546099562744,4.11150884443671,0.145307145936769,0.0296866392105808,0.233101886016686,-0.433223689506009,4.18771865485165,0.0320455374600748,0.15881903336248,-0.290834900878694,-0.000861619772860145
"Ys0...170",0.5,-1.5,0.2,-1,4.30411811600942,-0.0222711895833783,0.236770950095028,-0.323720311630737,4.30411811600942,0.116481954065111,0.0491294750578186,-0.323720311630737,0.0488883313887203,4.18841887852351,0.116481954065111,0.0491294750578186,0.209199093166721,-0.368724258734241,4.30473791969718,-0.0574013127289179,0.271968102507272,-0.323185719097729,-0.00122142548747251
"Ys0...171",0.5,-1.5,0.2,1,4.42435604379861,-0.117617738956951,0.427411459012395,-0.0807950697163959,4.42435604379861,0.0940880541953333,0.0826983768522966,-0.0807950697163959,0.133007289007814,4.24788032440543,0.0940880541953333,0.0826983768522966,0.0500453450599121,0.178299904116674,4.425047136245,-0.170650225566769,0.480488506782783,-0.0803064805349858,-0.00122424278837086
"Ys0...172",0.5,-1.5,0.2,1.5,4.4307110109391,-0.125875903134919,0.44852464530997,-0.0425379033112785,4.4307110109391,0.0943066592969672,0.0865677678089907,-0.0425379033112785,0.141774315069093,4.24713502417162,0.0943066592969672,0.0865677678089907,0.0365384315300625,0.246006858478214,4.43133458940677,-0.181032665502988,0.503705310238147,-0.0422631747199969,-0.000922209619059089
"Ys0...173",0.5,-1.5,0.75,-1.5,4.18750271631206,0.116982058855809,0.0742129648328009,-0.291305255270185,4.18750271631206,0.145330376508406,0.0296127372813695,-0.291305255270185,0.016251909898835,4.11185997499364,0.145330376508406,0.0296127372813695,0.232932191764086,-0.432903215081325,4.18771865485165,0.0320455374600748,0.15881903336248,-0.290834900878694,-0.00035584006502587
"Ys0...174",0.5,-1.5,0.75,-1,4.30438332602191,0.0730725878579714,0.141791545918165,-0.323745821192714,4.30438332602191,0.116522048652252,0.0492385455559008,-0.323745821192714,0.0491035395679833,4.18879181090632,0.116522048652252,0.0492385455559008,0.209233107446412,-0.368722424043912,4.30473791969718,-0.0574013127289179,0.271968102507272,-0.323185719097729,-0.000617351772470798
"Ys0...175",0.5,-1.5,0.75,1,4.42476254695359,0.0279638405401093,0.282019038809288,-0.080741832356614,4.42476254695359,0.0941612665487717,0.0828315901706178,-0.080741832356614,0.132990022630008,4.2482255279229,0.0941612665487717,0.0828315901706178,0.0499898842718025,0.178409322518171,4.425047136245,-0.170650225566769,0.480488506782783,-0.0803064805349858,-0.000575342979660221
"Ys0...176",0.5,-1.5,0.75,1.5,4.4311559902342,0.0255151880296243,0.297387080396569,-0.0425961889608324,4.4311559902342,0.0944068685851911,0.0867313162870764,-0.0425961889608324,0.141764083553926,4.247467178798,0.0944068685851911,0.0867313162870764,0.0363305960901568,0.246190599847949,4.43133458940677,-0.181032665502988,0.503705310238147,-0.0422631747199969,-0.000281989722374032
"Ys0...177",0.5,-1,-0.75,-1.5,4.18832646500267,0.215264020797415,0.182651124547532,-0.039066021889703,4.18832646500267,0.347135907287982,0.0400515761407521,-0.039066021889703,0.0107276619162127,4.11277479419619,0.347135907287982,0.0400515761407521,0.310260971794426,-0.263354850618629,4.18771865485165,0.271489411184282,0.125922505574986,-0.0388472839191292,0.000892300766124787
"Ys0...178",0.5,-1,-0.75,-1,4.3053224270014,0.125047255973337,0.300900604377828,-0.0759901030064394,4.3053224270014,0.32762558736673,0.0656713264019131,-0.0759901030064394,0.0326509465825215,4.18969237820477,0.32762558736673,0.0656713264019131,0.278578009905182,-0.206945170235528,4.30473791969718,0.211858177724953,0.214246368338181,-0.0761762460651529,0.000613964650965304
"Ys0...179",0.5,-1,-0.75,1,4.42574153922141,0.00414060250506498,0.50778249746345,-0.0197435083778359,4.42574153922141,0.312940541402561,0.110702307183236,-0.0197435083778359,0.0882802513827179,4.24909810715236,0.312940541402561,0.110702307183236,0.067216529398237,0.177871283565465,4.425047136245,0.136358902499719,0.375576171188521,-0.0199858536899904,0.000924774568842324
"Ys0...180",0.5,-1,-0.75,1.5,4.43207288839463,-0.00819058671587136,0.531123779851493,-0.00381288565784121,4.43207288839463,0.313174204961401,0.115603578157257,-0.00381288565784121,0.0941554100169633,4.24831694271841,0.313174204961401,0.115603578157257,0.0490202648025009,0.22484448596569,4.43133458940677,0.129437275875573,0.393556840158765,-0.00361294981333105,0.000477440244636806
"Ys0...181",0.5,-1,-0.2,-1.5,4.18854414407635,0.25672572609306,0.141113981439658,-0.039015317180275,4.18854414407635,0.347096475878264,0.0400017287854828,-0.039015317180275,0.0107415028689712,4.11314532277593,0.347096475878264,0.0400017287854828,0.310517888478675,-0.263841306664133,4.18771865485165,0.271489411184282,0.125922505574986,-0.0388472839191292,0.00108524673700305
"Ys0...182",0.5,-1,-0.2,-1,4.30575653930312,0.188645430925978,0.237263614627697,-0.0760790872195742,4.30575653930312,0.327641002285785,0.0657846870237933,-0.0760790872195742,0.0324833562440969,4.19002986228162,0.327641002285785,0.0657846870237933,0.278721166221523,-0.207229997641271,4.30473791969718,0.211858177724953,0.214246368338181,-0.0761762460651529,0.000920277942056735
"Ys0...183",0.5,-1,-0.2,1,4.42606490679914,0.101147259430869,0.41056751494221,-0.0198864455941932,4.42606490679914,0.312922577101785,0.110540071476428,-0.0198864455941932,0.0882521257948654,4.24944124158369,0.312922577101785,0.110540071476428,0.0671900855459668,0.177548047743746,4.425047136245,0.136358902499719,0.375576171188521,-0.0199858536899904,0.000896879334773448
"Ys0...184",0.5,-1,-0.2,1.5,4.43240909595958,0.0926733906260577,0.429973915163131,-0.00359591314611096,4.43240909595958,0.313148140834986,0.115561604299002,-0.00359591314611096,0.0939375606552004,4.2486551280843,0.313148140834986,0.115561604299002,0.049168060438368,0.224664037417752,4.43133458940677,0.129437275875573,0.393556840158765,-0.00361294981333105,0.000744732974877316
"Ys0...185",0.5,-1,0.2,-1.5,4.18708463500737,0.286230478739399,0.110798768567673,-0.03902561672556,4.18708463500737,0.346453531195836,0.0398726428070542,-0.03902561672556,0.0107030733041822,4.11150884443671,0.346453531195836,0.0398726428070542,0.310539857344457,-0.263929993217166,4.18771865485165,0.271489411184282,0.125922505574986,-0.0388472839191292,-0.00119502210290801
"Ys0...186",0.5,-1,0.2,-1,4.30411811600942,0.234734640849071,0.190799300063352,-0.0765444410871576,4.30411811600942,0.327236736614731,0.0657049833718792,-0.0765444410871576,0.0325922209258134,4.18841887852351,0.327236736614731,0.0657049833718792,0.278735162111147,-0.207639140397569,4.30473791969718,0.211858177724953,0.214246368338181,-0.0761762460651529,-0.00155860386047513
"Ys0...187",0.5,-1,0.2,1,4.42435604379861,0.171170274600023,0.340175372674929,-0.0203639798109307,4.42435604379861,0.312307470034879,0.110366651234864,-0.0203639798109307,0.0886715260052093,4.24788032440543,0.312307470034879,0.110366651234864,0.0668629633732749,0.177331662138796,4.425047136245,0.136358902499719,0.375576171188521,-0.0199858536899904,-0.00165864498061818
"Ys0...188",0.5,-1,0.2,1.5,4.4307110109391,0.16566483181471,0.356794630206647,-0.00386950220751903,4.4307110109391,0.312453206769301,0.115490045205994,-0.00386950220751903,0.0945162100460619,4.24713502417162,0.312453206769301,0.115490045205994,0.0488480543533747,0.224834437504591,4.43133458940677,0.129437275875573,0.393556840158765,-0.00361294981333105,-0.00141478487483626
"Ys0...189",0.5,-1,0.75,-1.5,4.18750271631206,0.327754426354636,0.0695920098885341,-0.0390804535134572,4.18750271631206,0.346653304789701,0.039858524854246,-0.0390804535134572,0.0108346065992233,4.11185997499364,0.346653304789701,0.039858524854246,0.310411177842724,-0.263601636750427,4.18771865485165,0.271489411184282,0.125922505574986,-0.0388472839191292,-0.000514588650015746
"Ys0...190",0.5,-1,0.75,-1,4.30438332602191,0.298481445689411,0.127507097278777,-0.0765277974618095,4.30438332602191,0.327447752885599,0.0658050970372672,-0.0765277974618095,0.0327356930453218,4.18879181090632,0.327447752885599,0.0658050970372672,0.278791488297608,-0.207606234793094,4.30473791969718,0.211858177724953,0.214246368338181,-0.0761762460651529,-0.000822148166871539
