"","a1","g6","rho","beta2","g2","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"Ys0...21",-1.5,1,0.2,1.5,-1.5,0.9880956,0.9170754,0.8751782,0.9183789,0.8841376,0.9861291,0.9024233,0.8719415,0.8721518,0.900742,0.8667872,0.9880451,0.9172293,0.8717656,0.9182249,0.8841157,0.0710202,0.0418972,-0.0432007,0.0342413,0.0710202,0.0304818,-0.0285902,0.0342413,-0.00319510000000001,0.0114154,0.00298480000000001,1.0304818,0.8865936,0.4061365,0.3610026,1.0272867,0.8897887,0.4079853,0.3617582,0.0837057999999999,0.0304818,-0.0285902,0.0339548000000001,-0.0153839,0.0114154,0.0708158,0.0454637,-0.0464593,0.0341092000000001,2.85999999999342e-05,-0.00356650000000003
"Ys0...22",-1.5,1,0.75,-1.5,-1.5,NA,NA,NA,0.8729318,0.7228487,NA,NA,0.8574645,NA,0.8669062,0.7466454,0.98454,0.8975903,0.8574653,0.8731414,0.7225783,NA,NA,NA,0.1500831,NA,NA,NA,0.1500831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1202608,NA,NA,0.0869497,0.040125,-0.0156761,0.1505631,NA,NA
"Ys0...23",-1.5,1,0.75,-1,-1.5,NA,NA,NA,0.88965,0.7516002,NA,NA,0.8628099,NA,0.8793176,0.7679824,0.985839,0.9048027,0.862806,0.8897454,0.7512133,NA,NA,NA,0.1380498,NA,NA,NA,0.1380498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1113352,NA,NA,0.0810363000000001,0.0419967,-0.0269394000000001,0.1385321,NA,NA
"Ys0...24",-1.5,1,0.75,-0.5,-1.5,NA,NA,NA,0.9011739,0.7838121,NA,NA,0.8664824,NA,0.8878405,0.7919702,0.9867126,0.9097407,0.8664867,0.9012501,0.7834412,NA,NA,NA,0.1173618,NA,NA,NA,0.1173618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0958703000000001,NA,NA,0.0769719000000001,0.0432539999999999,-0.0347634,0.1178089,NA,NA
"Ys0...25",-1.5,1,0.75,0,-1.5,NA,NA,NA,0.9086376,0.8159048,NA,NA,0.8689009,NA,0.8934277,0.8158521,0.9872742,0.9129806,0.8689201,0.9087782,0.8160859,NA,NA,NA,0.0927328000000001,NA,NA,NA,0.0927328000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0775756000000001,NA,NA,0.0742936,0.0440605000000001,-0.0398581,0.0926922999999999,NA,NA
"Ys0...26",-1.5,1,0.75,0.5,-1.5,NA,NA,NA,0.9134275,0.8446563,NA,NA,0.8704396,NA,0.8969537,0.8371891,0.9876398,0.91505,0.8704374,0.9135837,0.8447209,NA,NA,NA,0.0687711999999999,NA,NA,NA,0.0687711999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0597645999999999,NA,NA,0.0725897999999999,0.0446126,-0.0431463,0.0688628,NA,NA
"Ys0...27",-1.5,1,0.75,1,-1.5,NA,NA,NA,0.916417,0.8675347,NA,NA,0.8713982,NA,0.8991819,0.8541757,0.9878676,0.9163196,0.8713927,0.9165956,0.867546,NA,NA,NA,0.0488823,NA,NA,NA,0.0488823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0450062,NA,NA,0.0715479999999999,0.0449269,-0.0452028999999999,0.0490495999999999,NA,NA
"Ys0...28",-1.5,1,0.75,1.5,-1.5,NA,NA,NA,0.9182631,0.8842238,NA,NA,0.87199,NA,0.9005594,0.8665159,0.9880116,0.9171175,0.8719768,0.9184332,0.8841932,NA,NA,NA,0.0340393,NA,NA,NA,0.0340393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0340435,NA,NA,0.0708941,0.0451407,-0.0464564,0.0342399999999999,NA,NA
"Ys0...29",-1.5,1,-0.75,-1.5,-1,0.9860744,0.909807,0.8868252,0.9014371,0.7830961,0.9858297,0.9065117,0.8896133,0.8894491,0.8972729,0.7995564,0.9860534,0.9099617,0.8895048,0.9013296,0.7830737,0.0762674,0.0229818000000001,-0.0146119,0.118341,0.0762674,0.0168984,-0.00782380000000005,0.118341,-0.000704699999999892,0.00608340000000007,0.00086889999999995,1.0085285,0.8929086,0.3875563,0.3673626,1.0078238,0.8936133,0.414568,0.40258,0.079318,0.0168984,-0.00782380000000005,0.0977165000000001,0.016705,0.00608340000000007,0.0760917,0.0204569,-0.0118248,0.1182559,-1.39999999992924e-06,0.00252490000000005
"Ys0...30",-1.5,1,-0.75,-1,-1,0.9868817,0.9153931,0.8891872,0.9144211,0.8053247,0.9865786,0.9096812,0.8939665,0.893873,0.9073717,0.8168424,0.9868578,0.9155498,0.8938903,0.91433,0.8054095,0.0714886,0.0262059,-0.0252339,0.1090964,0.0714886,0.0157147,-0.0134987,0.1090964,-0.00124400000000002,0.0104912,0.00133749999999999,1.0147427,0.8996784,0.371278,0.3498514,1.0134987,0.9009224,0.3769625,0.3564144,0.0768974,0.0157147,-0.0134987,0.0905293,0.0118208,0.0104912,0.071308,0.0216594999999999,-0.0204396999999999,0.1089205,0.000108699999999962,0.00454640000000006
"Ys0...31",-1.5,1,-0.75,-0.5,-1,0.9874218,0.9192143,0.8908159,0.9233309,0.8305534,0.987095,0.9118775,0.8969692,0.8968721,0.9143016,0.8364478,0.9874014,0.919381,0.8968827,0.9232438,0.8305128,0.0682075,0.0283984,-0.032515,0.0927775,0.0682075,0.0149083,-0.0174295000000001,0.0927775,-0.0015953999999998,0.0134901000000001,0.00169249999999987,1.0149083,0.904306,0.3600615,0.3378164,1.0133129,0.9059014,0.3511938,0.324735,0.0752174999999999,0.0149083,-0.0174295000000001,0.0778538000000001,0.00622120000000004,0.0134901000000001,0.0680204,0.0224983,-0.0263610999999999,0.0927309999999999,-2.01999999999147e-05,0.00590010000000007
