"","X","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"110",110,-0.5,-1.25,0.75,-1,0.00159640000000005,-0.1751117,0.000106300000000004,4,2,3,1,4,2,3,1,3,1,2,4,4,1,3,2
"111",111,-0.5,-1.25,0.75,1,0.0283838,0.0196999999999999,3.1999999999921e-05,4,2,3,1,4,3,2,1,4,2,1,3,3,1,4,2
"112",112,-0.5,-1.25,0.75,1.5,0.0319945,0.0543785999999999,0.000143499999999852,4,2,3,1,4,3,2,1,4,2,1,3,3,1,4,2
"113",113,-0.5,-0.5,-0.75,-1.5,-0.00719930000000002,-0.1824553,-3.20999999999794e-05,3,1,4,2,4,1,2,3,3,1,2,4,4,1,2,3
"114",114,-0.5,-0.5,-0.75,-1,-0.0101756,-0.1564696,0.000179299999999882,3,1,4,2,4,1,2,3,3,1,2,4,4,1,3,2
"115",115,-0.5,-0.5,-0.75,1,0.00424160000000007,0.0110396,0.00020830000000005,3,1,4,2,4,2,1,3,4,2,1,3,4,1,2,3
"116",116,-0.5,-0.5,-0.75,1.5,0.00803130000000007,0.0261606,4.4800000000067e-05,3,1,4,2,4,2,1,3,4,2,1,3,4,1,2,3
"117",117,-0.5,-0.5,-0.2,-1.5,-0.00752869999999994,-0.182337,0.000120099999999956,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"118",118,-0.5,-0.5,-0.2,-1,-0.0105914,-0.1568297,4.70000000000192e-05,4,1,3,2,4,1,2,3,3,1,2,4,4,1,3,2
"119",119,-0.5,-0.5,-0.2,1,0.00413809999999992,0.0109394,0.000501199999999979,4,1,3,2,4,2,1,3,4,2,1,3,4,1,2,3
"120",120,-0.5,-0.5,-0.2,1.5,0.00790390000000007,0.0266289000000001,0.000300700000000154,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"121",121,-0.5,-0.5,0.2,-1.5,-0.00743119999999997,-0.1824657,0.000280800000000081,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"122",122,-0.5,-0.5,0.2,-1,-0.0101484000000001,-0.156788,0.000150099999999931,4,1,3,2,4,1,2,3,3,1,2,4,4,1,3,2
"123",123,-0.5,-0.5,0.2,1,0.00410909999999998,0.0110067,-2.85999999999342e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"124",124,-0.5,-0.5,0.2,1.5,0.00780379999999992,0.0264567,-9.1200000000069e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"125",125,-0.5,-0.5,0.75,-1.5,-0.00717000000000001,-0.18245,0.00022180000000005,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"126",126,-0.5,-0.5,0.75,-1,-0.0106921000000001,-0.1567506,8.33999999999557e-05,4,1,2,3,4,1,2,3,3,1,2,4,4,1,3,2
"127",127,-0.5,-0.5,0.75,1,0.00410869999999997,0.0109532,5.82000000000082e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,1,2,3
"128",128,-0.5,-0.5,0.75,1.5,0.00782179999999999,0.0266278,0.000163000000000024,4,2,1,3,4,2,1,3,4,2,1,3,4,1,2,3
"129",129,-0.5,-0.25,-0.75,-1.5,-0.00554240000000017,-0.1647745,-9.17999999999752e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"130",130,-0.5,-0.25,-0.75,-1,-0.00763560000000008,-0.1445229,0.000287900000000119,3,1,4,2,4,1,2,3,3,1,2,4,4,1,2,3
"131",131,-0.5,-0.25,-0.75,1,0.0085809,0.0166202999999999,0.000622799999999923,4,1,3,2,4,2,1,3,4,2,1,3,4,1,2,3
"132",132,-0.5,-0.25,-0.75,1.5,0.0110228,0.0304168,0.000237000000000043,4,1,3,2,4,2,1,3,4,2,1,3,4,1,2,3
"133",133,-0.5,-0.25,-0.2,-1.5,-0.00613050000000004,-0.1647378,1.32999999999939e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"134",134,-0.5,-0.25,-0.2,-1,-0.00758259999999999,-0.1446443,0.000233700000000003,4,1,3,2,4,1,2,3,3,1,2,4,4,1,2,3
"135",135,-0.5,-0.25,-0.2,1,0.00859569999999998,0.016487,0.00012829999999997,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"136",136,-0.5,-0.25,-0.2,1.5,0.0107948999999999,0.0301000999999999,-8.80000000003101e-06,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"137",137,-0.5,-0.25,0.2,-1.5,-0.00587039999999994,-0.1648438,4.70999999999666e-05,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"138",138,-0.5,-0.25,0.2,-1,-0.00746009999999997,-0.1448368,6.97000000000614e-05,4,1,2,3,4,1,2,3,3,1,2,4,4,1,2,3
"139",139,-0.5,-0.25,0.2,1,0.00805389999999995,0.0162490000000001,3.07000000000501e-05,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
