"","X","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"119",119,-0.5,-0.5,-0.2,1,-0.0170047000000001,-0.0408316,1.99000000000726e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"120",120,-0.5,-0.5,-0.2,1.5,-0.0174618,-0.035205,-4.66000000000077e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"121",121,-0.5,-0.5,0.2,-1.5,-0.00422950000000011,-0.0683151,8.80000000003101e-06,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"122",122,-0.5,-0.5,0.2,-1,-0.00884670000000021,-0.0697923,-1.60000000004601e-06,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"123",123,-0.5,-0.5,0.2,1,-0.0168455000000001,-0.0410248999999999,-0.000105299999999864,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"124",124,-0.5,-0.5,0.2,1.5,-0.0172267999999999,-0.0353196,-0.000157900000000044,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"125",125,-0.5,-0.5,0.75,-1.5,-0.00436950000000003,-0.068268,3.45999999998847e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"126",126,-0.5,-0.5,0.75,-1,-0.00889300000000004,-0.0697253999999999,3.45000000000484e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"127",127,-0.5,-0.5,0.75,1,-0.0168323,-0.0410161999999999,-0.000134599999999874,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"128",128,-0.5,-0.5,0.75,1.5,-0.0172358000000001,-0.0353511000000001,-0.000191700000000017,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"129",129,-0.5,-0.25,-0.75,-1.5,-0.00300279999999997,-0.0665611,-0.000124700000000089,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"130",130,-0.5,-0.25,-0.75,-1,-0.00678210000000001,-0.0667099000000001,-0.000150700000000059,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"131",131,-0.5,-0.25,-0.75,1,-0.0136106,-0.0396193,-0.000100499999999948,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"132",132,-0.5,-0.25,-0.75,1.5,-0.0139802000000001,-0.0346165999999999,-0.000180199999999964,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
