"","a1","g6","rho","beta2","g2","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"Ys0...31",-1.5,1,-0.75,-0.5,-1,0.9721032,0.9253076,0.8845332,0.9540975,0.6680516,0.96974,0.9122928,0.8950688,0.895242,0.938496,0.6819994,0.9720922,0.9252012,0.895088,0.9541209,0.6679458,0.0467955999999999,0.0407744,-0.0695643,0.2860459,0.0467955999999999,0.017224,-0.043254,0.2860459,-0.00275990000000004,0.0235504,0.00258670000000005,1.017224,0.9080836,0.355038,0.3247992,1.0144641,0.9108435,0.2736685,0.214813,0.0574472,0.017224,-0.043254,0.2564966,0.016311,0.0235504,0.046891,0.0301132,-0.0590329000000001,0.2861751,-9.47999999999505e-05,0.0106612
"Ys0...32",-1.5,1,-0.75,0,-1,0.9725537,0.9277809,0.8864348,0.9600955,0.762392,0.9700746,0.9144242,0.8973555,0.8974615,0.9440847,0.7626098,0.9725552,0.9277276,0.8974125,0.9600845,0.7625589,0.0447727999999999,0.0413461000000001,-0.0736607,0.1977035,0.0447727999999999,0.0170687,-0.0466232,0.1977035,-0.00276010000000004,0.0242774,0.00265409999999999,1.0170687,0.9107122,0.3460152,0.3155898,1.0143086,0.9134723,0.2542736,0.1916396,0.0556504,0.0170687,-0.0466232,0.1814749,0.0026969,0.0242774,0.0448276,0.0303151,-0.0626720000000001,0.1975256,0.000165400000000093,0.011031
"Ys0...33",-1.5,1,-0.75,0.5,-1,0.9725921,0.9290465,0.8874827,0.9623173,0.837092,0.9701898,0.9153363,0.8984155,0.8983087,0.9463549,0.8244784,0.9726051,0.9288184,0.8984317,0.9623507,0.8370696,0.0435456,0.0415638,-0.0748346000000001,0.1252253,0.0435456,0.0169208,-0.0480462,0.1252253,-0.00214539999999996,0.0246430000000001,0.00225220000000004,1.0169208,0.9121257,0.3418654,0.3112344,1.0147754,0.9142711,0.2466642,0.1826556,0.0548535,0.0169208,-0.0480462,0.1218765,-0.0102113,0.0246430000000001,0.0437867,0.0303867,-0.0639189999999999,0.1252811,-3.54000000000187e-05,0.0111771000000001
"Ys0...34",-1.5,1,-0.75,1,-1,0.9726246,0.9292332,0.8879432,0.9631371,0.887123,0.9702036,0.9158292,0.8987283,0.8988256,0.9472037,0.8654338,0.9726023,0.9290742,0.898828,0.9631629,0.8870139,0.0433914,0.0412899999999999,-0.0751938999999999,0.0760141,0.0433914,0.0171009,-0.0483781,0.0760141,-0.00262669999999998,0.0241891,0.00252940000000001,1.0171009,0.9121323,0.3403801,0.3098752,1.0144742,0.914759,0.2436299,0.1793184,0.0543744,0.0171009,-0.0483781,0.0817699,-0.0192682000000001,0.0241891,0.0435281000000001,0.0302462,-0.0643349000000001,0.076149,-8.68000000000535e-05,0.0110437999999999
"Ys0...35",-1.5,1,-0.75,1.5,-1,0.9725626,0.9293792,0.8881721,0.9633157,0.9154431,0.9702116,0.9161309,0.8990028,0.8989373,0.9474969,0.8890148,0.9725531,0.929248,0.8988942,0.9633703,0.9153838,0.0431834000000001,0.0412070999999999,-0.0751436,0.0478726,0.0431834000000001,0.0171281,-0.0485595999999999,0.0478726,-0.00250500000000009,0.024079,0.00257050000000003,1.0171281,0.9122511,0.3393562,0.3089798,1.0146231,0.9147561,0.2427532,0.1783748,0.0540807,0.0171281,-0.0485595999999999,0.0584821,-0.0240772999999999,0.024079,0.0433051,0.0303538,-0.0644761,0.0479865,-4.97999999998777e-05,0.0108533
"Ys0...36",-1.5,1,-0.2,-1.5,-1,0.9665671,0.9070053,0.8781433,0.9116771,0.4754993,0.9658855,0.8996172,0.8796676,0.8797979,0.9029092,0.5044667,0.9665499,0.9070112,0.87964,0.9117432,0.4753902,0.0595618,0.0288620000000001,-0.0335338000000001,0.4361778,0.0595618,0.0199496,-0.0231112999999999,0.4361778,-0.00151010000000007,0.00891240000000004,0.00137980000000004,1.0199496,0.8870557,0.4140927,0.386755,1.0184395,0.8885658,0.4027066,0.3708274,0.0662682999999999,0.0199496,-0.0231112999999999,0.3984425,0.0296490000000001,0.00891240000000004,0.0595386999999999,0.0273712,-0.0321032,0.436353,-9.18999999999781e-05,0.00149080000000001
"Ys0...37",-1.5,1,-0.2,-1,-1,0.9707467,0.9193415,0.8874699,0.9401266,0.5668868,0.9686738,0.9078534,0.8898982,0.8900272,0.9265467,0.5919225,0.9707186,0.9191965,0.8898649,0.94017,0.5666235,0.0514051999999999,0.0318716,-0.0526567,0.3732398,0.0514051999999999,0.0179552000000001,-0.0365194999999999,0.3732398,-0.00222080000000013,0.0139163999999999,0.00209180000000009,1.0179552,0.9013863,0.3750535,0.3456102,1.0157344,0.9036071,0.3167528,0.2666534,0.0608204,0.0179552000000001,-0.0365194999999999,0.3346242,0.0271085999999999,0.0139163999999999,0.0515221,0.0293316,-0.0503051,0.3735465,-0.000235200000000102,0.00253999999999999
"Ys0...38",-1.5,1,-0.2,-0.5,-1,0.9721206,0.9253531,0.8922668,0.9540975,0.6680516,0.9697097,0.9122327,0.8950688,0.8952305,0.938496,0.6819994,0.9720922,0.9252012,0.895088,0.9541209,0.6679458,0.0467675,0.0330863,-0.0618307,0.2860459,0.0467675,0.0171639,-0.0432655,0.2860459,-0.00264280000000006,0.0159224,0.00248110000000001,1.0171639,0.9081892,0.3551127,0.3248284,1.0145211,0.910832,0.27368,0.214813,0.057477,0.0171639,-0.0432655,0.2564966,0.0163587000000001,0.0159224,0.046891,0.0301132,-0.0590329000000001,0.2861751,-7.73999999998942e-05,0.00297310000000006
"Ys0...39",-1.5,1,-0.2,0,-1,0.9724902,0.9279948,0.8945605,0.9600616,0.762536,0.9700167,0.9144735,0.8974722,0.8974801,0.9441035,0.7626301,0.9725437,0.9278076,0.897402,0.9602138,0.7625105,0.0444954,0.0334343,-0.0655011,0.1975256,0.0444954,0.0170013,-0.0466234,0.1975256,-0.00244469999999997,0.016433,0.00243680000000002,1.0170013,0.9109935,0.345586,0.3150634,1.0145566,0.9134382,0.2542513,0.1916698,0.0555431999999999,0.0170013,-0.0466234,0.1814734,0.0025676,0.016433,0.0447361000000001,0.0304055999999999,-0.0628118,0.1977033,-7.90000000000513e-05,0.00302870000000011
"Ys0...40",-1.5,1,-0.2,0.5,-1,0.9725988,0.9288487,0.8954894,0.9623819,0.8370244,0.9701627,0.9152756,0.8984232,0.8985163,0.9462623,0.8244189,0.9726357,0.9287319,0.8982907,0.9624285,0.8371916,0.0437501,0.0333593,-0.0668925,0.1253575,0.0437501,0.0168524,-0.047746,0.1253575,-0.00263960000000008,0.0165069,0.00254650000000001,1.0168524,0.9119963,0.3421769,0.3117514,1.0142128,0.9146359,0.2465772,0.1827116,0.0548871000000001,0.0168524,-0.047746,0.1218434,-0.0101694000000001,0.0165069,0.0439037999999999,0.0304412000000001,-0.0641378,0.1252369,0.000130300000000028,0.00291809999999992
