"","a1","g6","rho","beta2","AY","AMY","AZY_ne","AZY_re","AZMY_ne","AZMY_re","Z_e"
"Ys1...195",0.5,0,-0.75,1,-13.5036263487997,-2.25063092276102,-0.750069915886691,-0.750069915886689,-2.25020974766007,-2.25020974766007,1.77635683940025e-15
"Ys1...196",0.5,0,-0.75,1.5,-15.0042267462264,-2.25063092276102,-0.750069915886689,-0.750069915886691,-2.62524470560341,-2.62524470560341,-1.77635683940025e-15
"Ys1...197",0.5,0,-0.2,-1.5,-6.0012764820218,-2.25119580243148,-0.750057895854546,-0.750057895854546,-0.375028947927274,-0.375028947927273,8.88178419700125e-16
"Ys1...198",0.5,0,-0.2,-1,-7.50206228930485,-2.25119580243148,-0.750057895854546,-0.750057895854547,-0.750057895854546,-0.750057895854547,-1.77635683940025e-15
"Ys1...199",0.5,0,-0.2,1,-13.505205518437,-2.25119580243148,-0.750057895854546,-0.750057895854546,-2.25017368756364,-2.25017368756364,2.66453525910038e-15
"Ys1...200",0.5,0,-0.2,1.5,-15.0059913257201,-2.25119580243148,-0.750057895854546,-0.750057895854546,-2.62520263549091,-2.62520263549091,0
"Ys1...201",0.5,0,0.2,-1.5,-5.99785497566876,-2.25131159414058,-0.748746301713971,-0.748746301713972,-0.374373150856986,-0.374373150856986,-8.88178419700125e-16
"Ys1...202",0.5,0,0.2,-1,-7.49708380316173,-2.25131159414058,-0.748746301713971,-0.748746301713971,-0.748746301713972,-0.748746301713971,8.88178419700125e-16
"Ys1...203",0.5,0,0.2,1,-13.4939991131336,-2.25131159414058,-0.748746301713972,-0.74874630171397,-2.24623890514191,-2.24623890514191,1.77635683940025e-15
"Ys1...204",0.5,0,0.2,1.5,-14.9932279406266,-2.25131159414058,-0.74874630171397,-0.748746301713972,-2.6206120559989,-2.6206120559989,0
"Ys1...205",0.5,0,0.75,-1.5,-5.9986764825683,-2.2507707545344,-0.749299161352291,-0.74929916135229,-0.374649580676146,-0.374649580676146,8.88178419700125e-16
"Ys1...206",0.5,0,0.75,-1,-7.498371302932,-2.2507707545344,-0.749299161352291,-0.749299161352291,-0.749299161352292,-0.749299161352291,8.88178419700125e-16
