"","a1","g6","rho","beta2","g2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"74",-1.5,1,0.2,0,-0.5,-0.00122409999999984,0.000175600000000053,-9.42999999999916e-05,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"75",-1.5,1,0.2,0.5,-0.5,-0.00139789999999995,-0.00877660000000013,0.00015149999999986,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"76",-1.5,1,0.2,1,-0.5,-0.00114890000000001,-0.0142614,-7.36999999999544e-05,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"77",-1.5,1,0.2,1.5,-0.5,-0.00106959999999989,-0.0165522,-5.61000000001144e-05,4,2,1,3,4,2,1,3,3,2,1,4,4,2,1,3
"78",-1.5,1,0.75,-1.5,-0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"79",-1.5,1,0.75,-1,-0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"80",-1.5,1,0.75,-0.5,-0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"81",-1.5,1,0.75,0,-0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"82",-1.5,1,0.75,0.5,-0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"83",-1.5,1,0.75,1,-0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"84",-1.5,1,0.75,1.5,-0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,2,1,3
"85",-1.5,1,-0.75,-1.5,0,-0.000234500000000026,0.0236881999999999,-0.000167000000000028,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"86",-1.5,1,-0.75,-1,0,-0.000312300000000154,0.0162483,-0.000117200000000039,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"87",-1.5,1,-0.75,-0.5,0,-0.000282599999999911,0.00678230000000013,-5.32999999999229e-05,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"88",-1.5,1,-0.75,0,0,-0.000341900000000006,-0.00187769999999998,-0.000112299999999954,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"89",-1.5,1,-0.75,0.5,0,0.0001637000000001,-0.00734489999999988,-0.00015900000000002,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"90",-1.5,1,-0.75,1,0,0.000109499999999985,-0.00924329999999995,-7.46000000000357e-05,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"91",-1.5,1,-0.75,1.5,0,0.000157899999999933,-0.00941340000000002,-8.68999999998898e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"92",-1.5,1,-0.2,-1.5,0,-0.000202800000000058,0.023632,-0.000173499999999938,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"93",-1.5,1,-0.2,-1,0,-0.00035200000000013,0.0162396,-9.55999999999735e-05,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"94",-1.5,1,-0.2,-0.5,0,-0.000166999999999917,0.00682520000000009,0.00026499999999996,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"95",-1.5,1,-0.2,0,0,-0.000138299999999925,-0.00140469999999993,0.000182900000000097,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"96",-1.5,1,-0.2,0.5,0,0.000206800000000062,-0.0068128999999999,9.99000000000416e-05,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"97",-1.5,1,-0.2,1,0,7.93000000000044e-05,-0.0090212999999999,2.99999999997524e-06,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"98",-1.5,1,-0.2,1.5,0,8.60000000000305e-05,-0.00939829999999997,-0.000154699999999952,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"99",-1.5,1,0.2,-1.5,0,-0.000159400000000032,0.0236267999999999,-0.000188599999999983,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"100",-1.5,1,0.2,-1,0,-0.000293899999999958,0.0162146000000001,-0.000122799999999978,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"101",-1.5,1,0.2,-0.5,0,-0.000353000000000048,0.00684280000000004,3.36999999999144e-05,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"102",-1.5,1,0.2,0,0,4.69000000000719e-05,-0.00152470000000005,0.000160900000000019,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"103",-1.5,1,0.2,0.5,0,-4.85000000001179e-05,-0.00698759999999987,-3.44999999999374e-05,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"104",-1.5,1,0.2,1,0,0.000221399999999816,-0.00909760000000004,9.86999999998961e-05,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"105",-1.5,1,0.2,1.5,0,0.000290000000000123,-0.00907340000000001,0.000206200000000045,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"106",-1.5,1,0.75,-1.5,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"107",-1.5,1,0.75,-1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"108",-1.5,1,0.75,-0.5,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"109",-1.5,1,0.75,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"110",-1.5,1,0.75,0.5,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"111",-1.5,1,0.75,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"112",-1.5,1,0.75,1.5,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,2,1,3
"113",-1.5,1,-0.75,-1.5,0.5,0.000244899999999992,0.0173755,-0.000258100000000039,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"114",-1.5,1,-0.75,-1,0.5,0.000459499999999946,0.00925369999999992,-5.69999999999737e-06,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"115",-1.5,1,-0.75,-0.5,0.5,0.000491000000000019,0.00178079999999992,-2.69999999999992e-05,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"116",-1.5,1,-0.75,0,0.5,0.000642600000000049,-0.00299000000000005,0.000135600000000013,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"117",-1.5,1,-0.75,0.5,0.5,0.00107109999999988,-0.00472040000000007,3.7599999999971e-05,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"118",-1.5,1,-0.75,1,0.5,0.000822699999999954,-0.00402749999999996,0.000188999999999995,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"119",-1.5,1,-0.75,1.5,0.5,0.000896100000000066,-0.00268990000000002,7.50999999998836e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"120",-1.5,1,-0.2,-1.5,0.5,0.000300099999999914,0.0173639,-0.000244200000000028,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"121",-1.5,1,-0.2,-1,0.5,0.000467500000000065,0.00925809999999994,1.09999999999832e-05,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"122",-1.5,1,-0.2,-0.5,0.5,0.000904000000000016,0.00154580000000004,-0.000128499999999976,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"123",-1.5,1,-0.2,0,0.5,0.000645799999999919,-0.00293339999999986,0.000166500000000069,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"124",-1.5,1,-0.2,0.5,0.5,0.00080379999999991,-0.00474889999999994,5.69000000000264e-05,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"125",-1.5,1,-0.2,1,0.5,0.000891900000000057,-0.00393980000000005,5.97999999999432e-05,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"126",-1.5,1,-0.2,1.5,0.5,0.000888299999999842,-0.00268620000000008,-6.18000000000007e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"127",-1.5,1,0.2,-1.5,0.5,0.000223499999999932,0.0173732,-0.000257000000000063,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"128",-1.5,1,0.2,-1,0.5,0.000399899999999898,0.00926179999999999,-5.69999999999737e-06,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"129",-1.5,1,0.2,-0.5,0.5,0.000827700000000098,0.00160450000000012,-8.04999999999279e-05,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"130",-1.5,1,0.2,0,0.5,0.000765200000000021,-0.00303870000000006,-0.000111300000000036,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"131",-1.5,1,0.2,0.5,0.5,0.00106509999999993,-0.00484119999999999,9.20000000004251e-06,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"132",-1.5,1,0.2,1,0.5,0.000750499999999876,-0.00408049999999993,3.90000000005664e-06,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"133",-1.5,1,0.2,1.5,0.5,0.000997299999999979,-0.0026794,7.55000000000061e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"134",-1.5,1,0.75,-1.5,0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
