"","X","a1","g6","rho","beta2","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"122","Ys0...122",-0.5,-0.5,0.2,-1,0.8275251,0.7844985,0.8804271,0.8803971,0.8845046,0.8861589,0.8443911,0.8930963,0.8930051,0.9300501,0.7863504,0.8273489,0.7844148,0.8931513,0.8802318,0.8844785,0.0430266,-0.0959286,2.99999999999745e-05,-0.00410749999999993,0.0430266,-0.0487052,-0.037045,-0.00410749999999993,-0.0101484000000001,-0.0472234,0.0102396,0.9528066,0.8332037,0.5250252,0.5250252,0.962955,0.8433521,0.3538896,0.3538896,0.0417678,-0.0487052,-0.037045,0.1436997,-0.156788,-0.0472234,0.0429341000000001,-0.1087365,0.0129195,-0.00424669999999994,0.000150099999999931,0.0128079
"123","Ys0...123",-0.5,-0.5,0.2,1,0.7071596,0.6710738,0.7757514,0.8187859,0.8344786,0.7549224,0.7369476,0.7946327,0.7947094,0.8888455,0.8932481,0.7070787,0.6710411,0.7947373,0.8187669,0.8343691,0.0360857999999999,-0.1046776,-0.0430345,-0.0156927,0.0360857999999999,-0.0576850999999999,-0.0941360999999999,-0.0156927,0.00410909999999998,-0.0469925,0.00418580000000002,0.9423149,0.7287589,0.9368394,0.9368394,0.946424,0.7246498,0.6088137,0.5847372,0.0179748,-0.0576850999999999,-0.0941360999999999,-0.00440260000000003,0.0110067,-0.0469925,0.0360376,-0.1236962,-0.0240296,-0.0156022,-2.85999999999342e-05,0.0190186000000001
"124","Ys0...124",-0.5,-0.5,0.2,1.5,0.6875367,0.6548692,0.7554124,0.8084829,0.8191638,0.7305958,0.7167113,0.7740064,0.7738834,0.8780058,0.8886796,0.6875303,0.6548966,0.7739853,0.8084058,0.8190662,0.0326675,-0.1005432,-0.0530705,-0.0106809,0.0326675,-0.0572950999999999,-0.1041224,-0.0106809,0.00780379999999992,-0.0432481,0.00768079999999993,0.9427049,0.7121643,1.0185646,1.0185646,0.9505087,0.7043605,0.6616221,0.6270226,0.0138845,-0.0572950999999999,-0.1041224,-0.0106738000000001,0.0264567,-0.0432481,0.0326337,-0.1190887,-0.0344205,-0.0106604,-9.1200000000069e-05,0.0185455
"125","Ys0...125",-0.5,-0.5,0.75,-1.5,0.8671896,0.8304425,0.8861142,0.9005789,0.8738746,0.9139054,0.8679793,0.9117784,0.9117605,0.9309278,0.7381404,0.8668854,0.8303799,0.9117885,0.9006326,0.8737922,0.0367471,-0.0556717,-0.0144647,0.0267043,0.0367471,-0.0437991,-0.0191673,0.0267043,-0.00717000000000001,-0.0118726,0.00718790000000002,0.9736627,0.8742416,0.4404846,0.4404846,0.9808327,0.8814116,0.3146234,0.3146234,0.0459261,-0.0437991,-0.0191673,0.1927874,-0.18245,-0.0118726,0.0365055000000001,-0.0814086000000001,0.0111559,0.0268404,0.00022180000000005,0.0257369000000001
"126","Ys0...126",-0.5,-0.5,0.75,-1,0.827529,0.7843697,0.8482307,0.8803374,0.8844809,0.8862038,0.8445533,0.893025,0.8931746,0.9299785,0.7864051,0.8274079,0.7843255,0.8931928,0.8803663,0.8844432,0.0431593,-0.0638610000000001,-0.0321067,-0.00414349999999997,0.0431593,-0.0484717,-0.0368039,-0.00414349999999997,-0.0106921000000001,-0.0153893000000001,0.0105425,0.952504,0.8328414,0.5248434,0.5248434,0.9631961,0.8435335,0.3536938,0.3536938,0.0416505,-0.0484717,-0.0368039,0.1435734,-0.1567506,-0.0153893000000001,0.0430824,-0.1088673,0.0128265,-0.00407689999999994,8.33999999999557e-05,0.0450062999999999
"127","Ys0...127",-0.5,-0.5,0.75,1,0.7071815,0.6710742,0.7317465,0.8186368,0.8344345,0.7548742,0.7369721,0.7945565,0.7946361,0.888723,0.8930804,0.7072011,0.6710967,0.7947073,0.8187431,0.8345123,0.0361073000000001,-0.0606723,-0.0868903000000001,-0.0157976999999999,0.0361073000000001,-0.0575844,-0.0940869000000001,-0.0157976999999999,0.00410869999999997,-0.00308790000000003,0.00418829999999992,0.9424156,0.7286586,0.9369428,0.9369428,0.9465243,0.7245499,0.6092811,0.5852804,0.0179021,-0.0575844,-0.0940869000000001,-0.00435739999999996,0.0109532,-0.00308790000000003,0.0361044,-0.1236106,-0.0240357999999999,-0.0157692,5.82000000000082e-05,0.0629383
"128","Ys0...128",-0.5,-0.5,0.75,1.5,0.6875729,0.6548798,0.7127192,0.8084123,0.8190458,0.7306177,0.7166207,0.7740729,0.7740684,0.8779705,0.8887184,0.6875629,0.6547697,0.7740835,0.8085153,0.8191988,0.0326931,-0.0578394,-0.0956931,-0.0106335000000001,0.0326931,-0.0574522,-0.1039021,-0.0106335000000001,0.00782179999999999,-0.000387200000000032,0.00781730000000003,0.9425478,0.712332,1.0186128,1.0186128,0.9503696,0.7045102,0.6615783,0.6272344,0.013997,-0.0574522,-0.1039021,-0.0107479,0.0266278,-0.000387200000000032,0.0327932,-0.1193138,-0.0344318,-0.0106835,0.000163000000000024,0.0614744
"129","Ys0...129",-0.5,-0.25,-0.75,-1.5,0.8645466,0.8276969,0.9345688,0.8999924,0.8394363,0.9109765,0.8620177,0.9089566,0.9090143,0.9288285,0.7210917,0.8643522,0.8274371,0.9091701,0.9002131,0.8391501,0.0368497000000001,-0.1068719,0.0345764,0.0605561,0.0368497000000001,-0.0469389,-0.0198141999999999,0.0605561,-0.00554240000000017,-0.059933,0.00548470000000012,0.9746434,0.8746358,0.4580514,0.4580514,0.9801858,0.8801782,0.3243144,0.3243144,0.0489588,-0.0469389,-0.0198141999999999,0.2077368,-0.1647745,-0.059933,0.0369151,-0.0817329999999999,0.00895699999999999,0.061063,-9.17999999999752e-05,-0.0251389000000001
"130","Ys0...130",-0.5,-0.25,-0.75,-1,0.8289883,0.785073,0.937744,0.8813414,0.8665447,0.883532,0.8386486,0.8890564,0.889216,0.927441,0.7765655,0.8288433,0.7849366,0.8892893,0.8814544,0.8666876,0.0439153,-0.152671,0.0564026,0.0147967000000001,0.0439153,-0.0504078,-0.038225,0.0147967000000001,-0.00763560000000008,-0.1022632,0.00747600000000004,0.9541394,0.8354808,0.54459,0.54459,0.961775,0.8431164,0.366686,0.366686,0.0448834,-0.0504078,-0.038225,0.1508755,-0.1445229,-0.1022632,0.0439067,-0.1043527,0.00783489999999998,0.0147668,0.000287900000000119,-0.0483183
"131","Ys0...131",-0.5,-0.25,-0.75,1,0.7121143,0.6750442,0.8573507,0.821376,0.8364605,0.7481757,0.7259889,0.7781534,0.7780807,0.8808289,0.8891422,0.7117015,0.674788,0.7781376,0.8215165,0.8366705,0.0370701,-0.1823065,0.0359747,-0.0150845000000001,0.0370701,-0.0521644999999999,-0.1027482,-0.0150845000000001,0.0085809,-0.130142,0.00850819999999997,0.9478355,0.7272087,0.9917154,0.9917154,0.9564164,0.7186278,0.6388855,0.5955902,0.0221868,-0.0521644999999999,-0.1027482,-0.00831329999999997,0.0166202999999999,-0.130142,0.0369134999999999,-0.1033496,-0.0433789,-0.015154,0.000622799999999923,-0.0789569000000001
