"","a1","g6","rho","beta2","AY","AMY","AZY_ne","AZY_re","AZMY_ne","AZMY_re","Z_e"
"Ys1...169",0.5,-1.5,0.2,-1.5,-0.0506335,0.0212868000000001,-0.00609520000000008,-0.0128003999999999,-0.016734,-0.00462059999999997,0.0054082000000002
"Ys1...170",0.5,-1.5,0.2,-1,-0.052324,0.0272339,0.00152660000000004,-0.0102932,-0.0305246,-0.00757920000000001,0.0111256
"Ys1...171",0.5,-1.5,0.2,1,-0.0557566,0.0132566000000001,0.0140249,-0.00825299999999995,-0.0585584,-0.0127666999999999,0.0235138000000001
"Ys1...172",0.5,-1.5,0.2,1.5,-0.0563012000000001,0.0083162,0.0152283,-0.00826150000000003,-0.0614948999999999,-0.0133669,0.0246381999999999
"Ys1...173",0.5,-1.5,0.75,-1.5,-0.0507376,0.0214127000000001,-0.0131452999999999,-0.0128214000000001,-0.00965610000000006,-0.00460629999999995,0.00537369999999993
"Ys1...174",0.5,-1.5,0.75,-1,-0.0523808,0.0272943,-0.0102713,-0.0103046999999999,-0.0187793000000001,-0.00759199999999993,0.0111539000000002
"Ys1...175",0.5,-1.5,0.75,1,-0.0558405000000001,0.0133042999999999,-0.00653729999999997,-0.00825209999999998,-0.0380484,-0.0127492,0.0235843999999999
"Ys1...176",0.5,-1.5,0.75,1.5,-0.0563776,0.00845719999999994,-0.00635909999999995,-0.00826979999999999,-0.0400155,-0.0133382,0.0247666
"Ys1...177",0.5,-1,-0.75,-1.5,-0.0365316,0.0124118,-0.00494430000000001,-0.0200433999999999,-0.0246876,-0.00492720000000002,0.00466130000000009
"Ys1...178",0.5,-1,-0.75,-1,-0.0371875,0.0182482,0.00588860000000002,-0.017822,-0.0415741000000001,-0.00801010000000002,0.00985340000000001
"Ys1...179",0.5,-1,-0.75,1,-0.0394834000000001,0.0105244,0.0218981,-0.0161336,-0.0723457,-0.0134672,0.0208467999999999
"Ys1...180",0.5,-1,-0.75,1.5,-0.0399280000000001,0.00664660000000006,0.0235650000000001,-0.0161512,-0.0756870000000001,-0.0140414,0.0219294
"Ys1...181",0.5,-1,-0.2,-1.5,-0.0364306,0.0124846,-0.0101004,-0.0199835,-0.0196012999999999,-0.00485060000000004,0.00486759999999986
"Ys1...182",0.5,-1,-0.2,-1,-0.0371382,0.0182796,-0.00123739999999994,-0.017781,-0.034513,-0.00801809999999992,0.0099513
"Ys1...183",0.5,-1,-0.2,1,-0.0394051999999999,0.0105262,0.013181,-0.0160703,-0.0637566000000001,-0.0133936,0.0211117000000001
