"","a1","g6","rho","beta2","g2","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"Ys0...663",1.5,1,0.2,0.5,-0.5,0.9971336,0.9935813,0.9820775,0.9347472,0.8703358,0.9943273,0.9875527,0.9794639,0.97943,0.8487797,0.8337734,0.9971367,0.993565,0.9794284,0.9347713,0.8704627,0.00355229999999995,0.0115038,0.0473303,0.0644114,0.00355229999999995,0.0080887999999999,0.1306503,0.0644114,-0.0799049999999999,0.00341500000000006,0.0799388999999999,0.9919112,0.9854925,0.0518493999999998,0.0377319999999999,1.0718162,1.0653975,0.3435806,0.3435806,0.00677460000000008,0.0080887999999999,0.1306503,0.0150063,-0.0337561000000001,0.00341500000000006,0.00357169999999996,0.0141366000000001,0.0446571,0.0643085999999999,0.000123800000000007,-0.0026328000000001
"Ys0...664",1.5,1,0.2,1,-0.5,0.9967608,0.9936743,0.9814039,0.9284571,0.8986748,0.9933635,0.9871898,0.9785465,0.9785348,0.8350777,0.8371919,0.9968285,0.9936742,0.9785401,0.9283535,0.8986875,0.00308649999999999,0.0122704,0.0529468,0.0297823,0.00308649999999999,0.00864330000000002,0.1434571,0.0297823,-0.0868832,0.00362709999999999,0.0868949,0.9913567,0.985031,0.0533996000000002,0.0382718000000002,1.0782399,1.0719142,0.372775,0.372775,0.00617369999999995,0.00864330000000002,0.1434571,-0.00211419999999996,-0.0580856,0.00362709999999999,0.00315430000000005,0.0151340999999999,0.0501866,0.0296660000000001,-5.50000000000272e-05,-0.00286369999999991
"Ys0...665",1.5,1,0.2,1.5,-0.5,0.9963115,0.9934497,0.9806187,0.9210183,0.9078463,0.992432,0.9867545,0.9775337,0.9775039,0.8230177,0.8292057,0.9963292,0.9934878,0.9775014,0.9208987,0.9079077,0.00286180000000003,0.012831,0.0596004,0.013172,0.00286180000000003,0.00922080000000003,0.1544862,0.013172,-0.0912756,0.00361020000000001,0.0913054,0.9907792,0.9842289,0.0555076000000001,0.0395916000000001,1.0820548,1.0755045,0.3989568,0.3989568,0.0056775,0.00922080000000003,0.1544862,-0.00618800000000008,-0.0747610999999999,0.00361020000000001,0.00284139999999999,0.0159864000000001,0.0566027,0.012991,4.36999999999799e-05,-0.00315540000000003
"Ys0...666",1.5,1,0.75,-1.5,-0.5,0.9906405,0.9653474,0.9655093,0.9254122,0.5421285,0.9921866,0.9586847,0.9582111,0.9581353,0.9011697,0.6055959,0.9906217,0.9653745,0.9581973,0.9254444,0.5422385,0.0252931000000001,-0.000161900000000048,0.0400971,0.3832837,0.0252931000000001,0.000473599999999963,0.0569656000000001,0.3832837,-0.0175040000000001,-0.000635500000000011,0.0175798,0.9995264,0.9648738,0.1590721,0.1519358,1.0170304,0.9823778,0.28139,0.28139,0.0335019000000001,0.000473599999999963,0.0569656000000001,0.2955738,0.0619213,-0.000635500000000011,0.0252472,0.00717719999999999,0.0327529000000001,0.3832059,0.000128799999999929,-0.00733910000000004
"Ys0...667",1.5,1,0.75,-1,-0.5,0.9962379,0.9866418,0.9821295,0.938644,0.6086832,0.9957911,0.9811856,0.975309,0.9753157,0.8953412,0.6673578,0.996239,0.986663,0.9753254,0.9387094,0.6088602,0.0095961,0.00451230000000002,0.0434855,0.3299608,0.0095961,0.00587660000000001,0.0799745000000001,0.3299608,-0.0378533000000001,-0.00136429999999998,0.0378466000000001,0.9941234,0.9807652,0.075678,0.0643452,1.0319767,1.0186185,0.2586862,0.2586862,0.0146055,0.00587660000000001,0.0799745000000001,0.2279834,0.0591214,-0.00136429999999998,0.00957600000000003,0.0113375999999999,0.036616,0.3298492,0.000175900000000007,-0.00682529999999992
"Ys0...668",1.5,1,0.75,-0.5,-0.5,0.9971913,0.9915797,0.9870877,0.9412293,0.7019207,0.995895,0.9862415,0.9794153,0.9793312,0.8804822,0.7404061,0.9972079,0.9915535,0.979401,0.9412623,0.7018446,0.00561160000000005,0.00449199999999994,0.0458584,0.2393086,0.00561160000000005,0.0068262,0.098849,0.2393086,-0.0553248000000001,-0.00233420000000006,0.0554089000000001,0.9931738,0.9847535,0.0565219999999999,0.0443575999999999,1.0484986,1.0400783,0.2803732,0.2803732,0.00965349999999998,0.0068262,0.098849,0.1400761,0.0397817,-0.00233420000000006,0.00565440000000006,0.0121525,0.0381387,0.2394177,-9.26999999999456e-05,-0.00766050000000007
"Ys0...669",1.5,1,0.75,0,-0.5,0.9973008,0.9931229,0.9891056,0.9391335,0.8037643,0.9952234,0.9874877,0.9799914,0.9798931,0.8640072,0.8034459,0.9973219,0.9931362,0.9799325,0.939363,0.8036854,0.00417789999999996,0.0040173,0.0499721000000001,0.1353692,0.00417789999999996,0.00749630000000001,0.1158859,0.1353692,-0.0693927999999999,-0.00347900000000001,0.0694910999999999,0.9925037,0.9856266,0.0519103000000002,0.0387788000000001,1.0618965,1.0550194,0.3121994,0.3121994,0.00773570000000001,0.00749630000000001,0.1158859,0.0605612999999999,0.00175900000000007,-0.00347900000000001,0.00418569999999996,0.0132037,0.0405695,0.1356776,-9.9999999999989e-05,-0.00918640000000004
"Ys0...670",1.5,1,0.75,0.5,-0.5,0.9971193,0.9935396,0.990097,0.9346883,0.8705648,0.9943224,0.9875643,0.979457,0.979402,0.8486714,0.8337352,0.9971435,0.993598,0.9794371,0.9347444,0.8705616,0.00357970000000007,0.00344259999999996,0.0554087,0.0641235,0.00357970000000007,0.00810729999999993,0.1307306,0.0641235,-0.0799866,-0.00466469999999997,0.0800416,0.9918927,0.9854323,0.0518748000000001,0.0377922000000002,1.0718793,1.0654189,0.3438532,0.3438532,0.0067581000000001,0.00810729999999993,0.1307306,0.0149362,-0.0340327,-0.00466469999999997,0.00354549999999998,0.0141609,0.0446926999999999,0.0641828,-2.73999999998997e-05,-0.0107183000000001
"Ys0...671",1.5,1,0.75,1,-0.5,0.9967864,0.9936267,0.9905354,0.9284281,0.8985682,0.9933573,0.987222,0.9785472,0.9784847,0.8349227,0.8371526,0.996809,0.9936599,0.9785856,0.9284983,0.8988644,0.00315969999999999,0.00309130000000002,0.0621073,0.0298598999999999,0.00315969999999999,0.00867480000000009,0.143562,0.0298598999999999,-0.0870382000000001,-0.00558350000000007,0.0871007,0.9913252,0.9849519,0.0533820999999999,0.0383025999999999,1.0783634,1.0719901,0.3731852,0.3731852,0.00613529999999995,0.00867480000000009,0.143562,-0.00222990000000001,-0.0579865000000001,-0.00558350000000007,0.0031490999999999,0.0150743,0.0500873000000001,0.0296339,0.000273599999999985,-0.011983
"Ys0...672",1.5,1,0.75,1.5,-0.5,0.9963136,0.993445,0.9908557,0.9209224,0.9079183,0.9924325,0.9867012,0.9775746,0.9774876,0.8230171,0.8293391,0.9963313,0.9934764,0.9774834,0.9208761,0.9079323,0.0028686,0.00258930000000002,0.0699333,0.0130041000000001,0.0028686,0.00912659999999998,0.1544705,0.0130041000000001,-0.0910745000000001,-0.00653729999999997,0.0911615,0.9908734,0.9843184,0.0555780000000005,0.0397076000000004,1.0819479,1.0753929,0.3989906,0.3989906,0.00573130000000011,0.00912659999999998,0.1544705,-0.00632200000000005,-0.0746981,-0.00653729999999997,0.00285489999999999,0.015993,0.0566073,0.0129437999999999,-3.69999999993986e-06,-0.0134037
