"","a1","g6","rho","beta2","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"Ys0...21",-1.5,-1,-0.2,-1.5,0.6410545,0.6312533,0.876239,0.8931887,0.9052228,0.7030922,0.6665288,0.8664886,0.8666443,0.9294849,0.7596723,0.6409482,0.6310183,0.8666813,0.8932316,0.9054563,0.00980119999999995,-0.2449857,-0.0169497,-0.0120341,0.00980119999999995,-0.1999598,-0.0628405999999999,-0.0120341,0.000865000000000005,-0.0450259,0.00102069999999999,0.9380244,0.8312131,0.9339652,0.9339652,0.9371594,0.8303481,0.3811972,0.3546528,0.0365633999999999,-0.1999598,-0.0628405999999999,0.1698126,-0.2075882,-0.0450259,0.00992989999999994,-0.235663,-0.0265503,-0.0122247,0.000339800000000001,-0.00932270000000002
"Ys0...22",-1.5,-1,-0.2,-1,0.5340141,0.5005013,0.8171151,0.8609673,0.9034618,0.5682976,0.5389225,0.7984928,0.7985698,0.9271632,0.7984753,0.533815,0.5003211,0.7987134,0.8610151,0.9035145,0.0335128,-0.3166138,-0.0438522,-0.0424945,0.0335128,-0.2595703,-0.1285934,-0.0424945,0.0276977,-0.0570434999999999,0.0277747,0.8991043,0.7600716,1.3251694,1.3251694,0.8714066,0.7323739,0.4861365,0.423739,0.0293751,-0.2595703,-0.1285934,0.1286879,-0.13927,-0.0570434999999999,0.0334939000000001,-0.2983923,-0.0623017,-0.0424994,0.000251800000000024,-0.0182214999999999
"Ys0...23",-1.5,-1,-0.2,1,0.3337751,0.3021865,0.6220622,0.7555424,0.8177092,0.3161014,0.3130304,0.5982982,0.5981013,0.8826725,0.8943025,0.3335449,0.3019634,0.5981312,0.7556201,0.8177993,0.0315886,-0.3198757,-0.1334802,-0.0621668000000001,0.0315886,-0.2852678,-0.2845712,-0.0621668000000001,0.1164831,-0.0346079,0.1162862,0.8319119,0.5874543,1.5265455,1.2304338,0.8312153,0.5290288,0.8810113,0.7235702,0.00307099999999999,-0.2852678,-0.2845712,-0.01163,0.094267,-0.0346079,0.0315815,-0.2961678,-0.1574889,-0.0621792,0.00032029999999994,-0.0237079
"Ys0...24",-1.5,-1,-0.2,1.5,0.3112518,0.283199,0.5916541,0.7381393,0.7900567,0.2916668,0.2911749,0.5686397,0.5686299,0.8713621,0.8892351,0.3110346,0.2827834,0.568583,0.73809,0.7901239,0.0280528,-0.3084551,-0.1464852,-0.0519173999999999,0.0280528,-0.2774648,-0.3027322,-0.0519173999999999,0.1252567,-0.0309903,0.1252469,0.8225245,0.5606638,1.4341885,1.1487478,0.8477919,0.5645929,0.9505066,0.7809972,0.00049189999999999,-0.2774648,-0.3027322,-0.0178729999999999,0.1187634,-0.0309903,0.0282512,-0.2857996,-0.169507,-0.0520339,0.000284400000000073,-0.0226555000000001
"Ys0...25",-1.5,-1,0.2,-1.5,0.6408544,0.6311155,0.8570321,0.8931468,0.9054444,0.7031496,0.6665293,0.8665479,0.8664857,0.9296284,0.759619,0.6409429,0.630912,0.8666726,0.8933396,0.9053813,0.00973889999999999,-0.2259166,-0.0361147000000001,-0.0122976,0.00973889999999999,-0.2000186,-0.0631427,-0.0122976,0.00113000000000008,-0.0258979999999999,0.00106780000000006,0.9379873,0.8311341,0.9338456,0.9338456,0.9368573,0.8300041,0.3811107,0.3544496,0.0366203000000001,-0.2000186,-0.0631427,0.1700094,-0.2081206,-0.0258979999999999,0.0100309,-0.2357606,-0.026667,-0.0120417,-0.000151599999999918,0.00984400000000007
"Ys0...26",-1.5,-1,0.2,-1,0.5337997,0.500129,0.7809535,0.8609768,0.9035053,0.5682897,0.5388594,0.7984523,0.79852,0.9272725,0.7984132,0.5339439,0.5003442,0.7986919,0.8609728,0.9036471,0.0336706999999999,-0.2808245,-0.0800233,-0.0425285,0.0336706999999999,-0.2595929,-0.1287525,-0.0425285,0.0274976000000001,-0.0212315999999999,0.0275653000000001,0.8987451,0.7597219,1.3253766,1.3253766,0.8712475,0.7322243,0.4859582,0.4235014,0.0294303,-0.2595929,-0.1287525,0.1288593,-0.1395821,-0.0212315999999999,0.0335997,-0.2983477,-0.0622809,-0.0426743000000001,-2.39999999995799e-06,0.0175232000000001
"Ys0...27",-1.5,-1,0.2,1,0.3333538,0.301745,0.5755437,0.7556643,0.8177032,0.3159357,0.3129697,0.5980621,0.5980944,0.8827285,0.894227,0.3335492,0.3020739,0.5979734,0.7557012,0.8176912,0.0316088,-0.2737987,-0.1801206,-0.0620389,0.0316088,-0.2850924,-0.2846341,-0.0620389,0.1158072,0.0112937000000001,0.1158395,0.8311731,0.5868374,1.5257465,1.2294294,0.8307148,0.5289698,0.8807843,0.7232144,0.00296599999999997,-0.2850924,-0.2846341,-0.0114985,0.0939419,0.0112937000000001,0.0314753,-0.2958995,-0.1577278,-0.06199,-0.00020740000000008,0.0221007999999999
"Ys0...28",-1.5,-1,0.2,1.5,0.3108772,0.2826533,0.5465379,0.7380222,0.790074,0.2915782,0.2910183,0.5683748,0.5682927,0.871416,0.8894683,0.3109826,0.2829839,0.5684534,0.7380887,0.7900319,0.0282239,-0.2638846,-0.1914843,-0.0520518000000001,0.0282239,-0.2773565,-0.3031233,-0.0520518000000001,0.1251109,0.0134718999999999,0.1250288,0.8219876,0.5600098,1.4330647,1.1473432,0.8477544,0.5651011,0.9508531,0.7811236,0.000559900000000002,-0.2773565,-0.3031233,-0.0180523,0.1186933,0.0134718999999999,0.0279987,-0.2854695,-0.1696353,-0.0519432,-0.000147500000000078,0.0215849
"Ys0...29",-1.5,-1,0.75,-1.5,0.6408505,0.6312108,0.83107,0.8931691,0.9054098,0.703176,0.6665463,0.8665054,0.8665096,0.9295282,0.7596172,0.640927,0.6309691,0.866647,0.8931812,0.9055164,0.00963970000000003,-0.1998592,-0.0620991000000001,-0.0122407,0.00963970000000003,-0.1999591,-0.0630186,-0.0122407,0.00101939999999989,9.98999999999306e-05,0.0010235999999999,0.9380008,0.8311699,0.9338966,0.9338966,0.9369814,0.8301505,0.3812649,0.3546054,0.0366297,-0.1999591,-0.0630186,0.169911,-0.2081181,9.98999999999306e-05,0.00995790000000008,-0.2356779,-0.0265342000000001,-0.0123352,3.00999999999219e-05,0.0358187
"Ys0...30",-1.5,-1,0.75,-1,0.5338855,0.5001877,0.7353269,0.8609445,0.9034379,0.568367,0.5390073,0.7984732,0.798519,0.9272196,0.7985824,0.5339439,0.5003442,0.7986919,0.8609728,0.9036471,0.0336978,-0.2351392,-0.1256176,-0.0424934,0.0336978,-0.2594659,-0.1287006,-0.0424934,0.0274097000000001,0.0243267,0.0274555000000001,0.8987091,0.7596536,1.325039,1.325039,0.8712994,0.7322439,0.4860973,0.4236718,0.0293597,-0.2594659,-0.1287006,0.1286372,-0.139337,0.0243267,0.0335997,-0.2983477,-0.0622809,-0.0426743000000001,0.000150800000000006,0.0632085
"Ys0...31",-1.5,-1,0.75,1,0.3333635,0.3017686,0.5147523,0.7554763,0.8177217,0.3159453,0.3129045,0.5981845,0.5981376,0.8826051,0.8941312,0.333607,0.3019928,0.5980385,0.7556957,0.8177599,0.0315949,-0.2129837,-0.240724,-0.0622454,0.0315949,-0.28528,-0.2844675,-0.0622454,0.1160398,0.0722963,0.1159929,0.8315723,0.5870486,1.5257621,1.2293462,0.8307598,0.5289912,0.8811759,0.7238372,0.00304080000000001,-0.28528,-0.2844675,-0.0115261,0.0938277,0.0722963,0.0316142,-0.2960457,-0.1576572,-0.0620642,-0.000205300000000075,0.083062
"Ys0...32",-1.5,-1,0.75,1.5,0.3107565,0.2827945,0.48522,0.7379355,0.7900024,0.2915243,0.291045,0.5685204,0.5683827,0.8713804,0.8893536,0.3109161,0.2828561,0.5685768,0.7380632,0.7900178,0.027962,-0.2024255,-0.2527155,-0.0520669,0.027962,-0.2774754,-0.3029977,-0.0520669,0.1253321,0.0750499000000001,0.1251944,0.8223344,0.5602699,1.4334049,1.147679,0.8478567,0.5650622,0.950921,0.7813682,0.000479300000000016,-0.2774754,-0.3029977,-0.0179731999999999,0.1185834,0.0750499000000001,0.02806,-0.2857207,-0.1694864,-0.0519546,-0.000144199999999928,0.0832952
"Ys0...33",-1.5,0,-0.75,-1.5,0.6053792,0.5922378,0.8814708,0.8987572,0.7826302,0.6636348,0.6040904,0.8533501,0.8534903,0.9247382,0.7009424,0.6053425,0.5920013,0.8536358,0.8988627,0.7824014,0.0131414,-0.289233,-0.0172864,0.116127,0.0131414,-0.2492597,-0.0712478999999999,0.116127,0.0139881999999999,-0.0399733,0.0141283999999999,0.9427403,0.8414975,1.085119,1.085119,0.9287521,0.8275093,0.3982761,0.3530092,0.0595443999999999,-0.2492597,-0.0712478999999999,0.2237958,-0.1399434,-0.0399733,0.0133412000000001,-0.2616345,-0.0452269000000001,0.1164613,-0.000192100000000028,-0.0275985
"Ys0...34",-1.5,0,-0.75,-1,0.5463194,0.4999661,0.8136078,0.8818393,0.8374299,0.5426459,0.4998149,0.7637554,0.7636428,0.9233115,0.7636653,0.5460856,0.499822,0.7637767,0.8819868,0.8375856,0.0463533,-0.3136417,-0.0682315,0.0444094,0.0463533,-0.2639405,-0.1596687,0.0444094,0.041736,-0.0497012,0.0416234,0.8820673,0.7639066,1.4726404,1.4726404,0.8403313,0.7221706,0.5078949,0.3896984,0.042831,-0.2639405,-0.1596687,0.1596462,-0.0700911,-0.0497012,0.0462636,-0.2639547,-0.1182101,0.0444011999999999,0.000389500000000154,-0.049687
"Ys0...35",-1.5,0,-0.75,1,0.3842013,0.320759,0.429615,0.8242791,0.8386201,0.2980654,0.2853607,0.4433399,0.4436026,0.8716545,0.8835554,0.3840312,0.3206357,0.4435009,0.8241711,0.8385967,0.0634423,-0.108856,-0.3946641,-0.0143409999999999,0.0634423,-0.1579792,-0.4280519,-0.0143409999999999,0.082511,0.0491232,0.0827737,0.8420208,0.5212618,1.3348203,1.2122394,0.9245318,0.6037728,0.9888093,0.6081328,0.0127047,-0.1579792,-0.4280519,-0.0119009,0.1310712,0.0491232,0.0633955,-0.1228652,-0.3806702,-0.0144255999999999,0.000146699999999944,0.0140091999999999
"Ys0...36",-1.5,0,-0.75,1.5,0.3615588,0.3000067,0.3784379,0.8140327,0.8249648,0.2748376,0.2639978,0.4001195,0.4004048,0.8582839,0.8762549,0.3613602,0.2996792,0.4003246,0.8139332,0.8249464,0.0615521,-0.0784312,-0.4355948,-0.0109321,0.0615521,-0.1361217,-0.4578791,-0.0109321,0.0799748,0.0576905,0.0802600999999998,0.8638783,0.5638716,1.2281218,1.128009,0.9438531,0.6438464,1.0689947,0.6553668,0.0108398,-0.1361217,-0.4578791,-0.017971,0.1380113,0.0576905,0.061681,-0.1006454,-0.4136086,-0.0110131999999999,0.000180199999999964,0.0222142
