"","a1","g6","rho","beta2","g2","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"Ys0...611",1.5,1,0.75,-1,-1.5,0.993397,0.8398622,0.9215249,0.8974766,0.7352973,0.9895089,0.82832,0.9125671,0.9126778,0.8662867,0.7818417,0.9934217,0.8396093,0.9124729,0.897369,0.7354317,0.1535348,-0.0816627,0.0240483,0.1621793,0.1535348,-0.0842471,0.0463911,0.1621793,-0.0197584,0.00258440000000004,0.0196476999999999,1.0266327,0.9241093,0.5182258,0.5182258,1.0463911,0.9438677,0.442071,0.442071,0.1611889,-0.0842471,0.0463911,0.084445,0.0504324999999999,0.00258440000000004,0.1538124,-0.0728636,0.0151039000000001,0.1619373,0.00010969999999999,-0.00879909999999995
"Ys0...612",1.5,1,0.75,-0.5,-1.5,0.9962919,0.8553206,0.9280254,0.9065902,0.7738424,0.992708,0.8439399,0.9202496,0.9203689,0.8664839,0.7996765,0.9963044,0.8551303,0.9201385,0.9064034,0.7739034,0.1409713,-0.0727048,0.0214352,0.1327478,0.1409713,-0.0763097,0.0538850000000001,0.1327478,-0.0288449000000001,0.00360490000000002,0.0287256,1.0250401,0.9316303,0.471621,0.471621,1.053885,0.9604752,0.4262944,0.4262944,0.1487681,-0.0763097,0.0538850000000001,0.0668074,0.0294179999999999,0.00360490000000002,0.1411741,-0.0650082,0.0137351,0.1325,4.85000000000069e-05,-0.00769660000000005
"Ys0...613",1.5,1,0.75,0,-1.5,0.9974838,0.8619774,0.9305688,0.9116449,0.8188213,0.9942015,0.851265,0.9238456,0.9238973,0.8653811,0.8189412,0.99749,0.8617678,0.9236692,0.9114777,0.8192825,0.1355064,-0.0685914,0.0189239,0.0928236,0.1355064,-0.0725806,0.0585162,0.0928236,-0.0356031,0.00398920000000003,0.0355514,1.0229131,0.934558,0.4497788,0.4497788,1.0585162,0.9701611,0.4214432,0.4214432,0.1429365,-0.0725806,0.0585162,0.0464399,0.00340220000000013,0.00398920000000003,0.1357222,-0.0619014,0.0121915,0.0921951999999999,0.000455000000000094,-0.00668999999999997
"Ys0...614",1.5,1,0.75,0.5,-1.5,0.9980472,0.8651488,0.9317048,0.9145836,0.856136,0.9949332,0.8548889,0.9256216,0.9256762,0.8637238,0.8334607,0.9980518,0.8649352,0.9254854,0.9143912,0.8565191,0.1328984,-0.0665559999999999,0.0171211999999999,0.0584476,0.1328984,-0.0707327000000001,0.0619523999999999,0.0584476,-0.0406544999999998,0.00417670000000014,0.0405998999999999,1.0212979,0.9358815,0.438979,0.438979,1.0619524,0.976536,0.4212,0.4212,0.1400443,-0.0707327000000001,0.0619523999999999,0.0302631,-0.0195612999999999,0.00417670000000014,0.1331166,-0.0605502,0.0110942000000001,0.0578721,0.000378499999999948,-0.00600579999999995
"Ys0...615",1.5,1,0.75,1,-1.5,0.9983345,0.8668118,0.9322575,0.9163444,0.8798003,0.9953403,0.8568388,0.926583,0.9266214,0.8618813,0.8415659,0.9983434,0.8665719,0.9264205,0.9161281,0.8800414,0.1315227,-0.0654456999999999,0.0159131,0.0365441,0.1315227,-0.0697442,0.0647401000000001,0.0365441,-0.0445285,0.00429850000000009,0.0444901,1.0202116,0.936556,0.4331564,0.4331564,1.0647401,0.9810845,0.4229946,0.4229946,0.1385015,-0.0697442,0.0647401000000001,0.0203154,-0.0352401999999999,0.00429850000000009,0.1317715,-0.0598486,0.0102924,0.0360867,0.000232200000000016,-0.00559709999999991
"Ys0...616",1.5,1,0.75,1.5,-1.5,0.9984975,0.8677514,0.9325531,0.9174134,0.8935467,0.9955595,0.8579452,0.9271629,0.9271761,0.8602272,0.8453275,0.9985083,0.8675083,0.9269657,0.917212,0.893706,0.1307461,-0.0648017000000001,0.0151397,0.0238667,0.1307461,-0.0692177,0.0669489,0.0238667,-0.0473932,0.00441599999999998,0.0473800000000001,1.0195557,0.9369691,0.4297838,0.4297838,1.0669489,0.9843623,0.4251934,0.4251934,0.1376143,-0.0692177,0.0669489,0.0148997,-0.0452812,0.00441599999999998,0.131,-0.0594574,0.00975369999999998,0.023506,0.000148499999999996,-0.00534430000000008
"Ys0...617",1.5,1,-0.75,-1.5,-1,0.9934624,0.8920536,0.9119197,0.9076806,0.7664376,0.9930904,0.881081,0.9196176,0.9196993,0.8927215,0.8133279,0.9934433,0.8920017,0.9194469,0.907369,0.766599,0.1014088,-0.0198661,0.00423910000000005,0.141243,0.1014088,-0.0385366,0.0269778000000001,0.141243,-0.00406819999999997,0.0186705,0.0039865,1.0229096,0.9305902,0.3986028,0.3986028,1.0269778,0.9346584,0.3751584,0.3751584,0.1120094,-0.0385366,0.0269778000000001,0.0793936,0.0472622999999999,0.0186705,0.1014416,-0.0274451999999999,0.0120779,0.14077,0.000180499999999917,0.00757909999999995
"Ys0...618",1.5,1,-0.75,-1,-1,0.9963065,0.9264612,0.9261023,0.9207928,0.7875706,0.995867,0.9142723,0.9348811,0.9349104,0.8959351,0.8245682,0.9963195,0.9263471,0.9347253,0.9204832,0.787751,0.0698453,0.00035889999999994,0.00530950000000008,0.1332222,0.0698453,-0.0206088,0.0389753,0.1332222,-0.0126981,0.0209676999999999,0.0126688,1.0206088,0.94707,0.3016932,0.3016932,1.0333069,0.9597681,0.338309,0.338309,0.0815946999999999,-0.0206088,0.0389753,0.0713669,0.0374371,0.0209676999999999,0.0699724,-0.0083782,0.0142421,0.1327322,0.000167399999999929,0.00873709999999994
"Ys0...619",1.5,1,-0.75,-0.5,-1,0.9975432,0.9395409,0.9330743,0.9277753,0.8188014,0.9970424,0.9283003,0.9413564,0.9413892,0.8961193,0.8396623,0.9975402,0.9394559,0.9412103,0.9275141,0.8189607,0.0580023,0.00646659999999999,0.00529900000000005,0.1089739,0.0580023,-0.0130561,0.0452699000000001,0.1089739,-0.0204482,0.0195227,0.0204154,1.0130561,0.952597,0.2606866,0.2606866,1.0335043,0.9730452,0.324983,0.324983,0.0687421,-0.0130561,0.0452699000000001,0.056457,0.0213616999999999,0.0195227,0.0580843,-0.00175440000000004,0.0136962,0.1085534,0.000162299999999949,0.00822100000000003
"Ys0...620",1.5,1,-0.75,0,-1,0.9980963,0.945017,0.9366761,0.9315773,0.8560067,0.9975896,0.9348764,0.9444081,0.9443833,0.8951012,0.8559367,0.998101,0.9449362,0.944185,0.9313385,0.8562318,0.0530793000000001,0.00834089999999998,0.00509879999999996,0.0755706,0.0530793000000001,-0.00953169999999992,0.0492821,0.0755706,-0.0263107000000001,0.0178725999999999,0.0263355000000001,1.0095317,0.9545487,0.2408221,0.2402132,1.0358424,0.9808594,0.321031,0.321031,0.0627131999999999,-0.00953169999999992,0.0492821,0.0391645,0.000436700000000068,0.0178725999999999,0.0531648,0.000751199999999952,0.0128465000000001,0.0751067,0.000220400000000009,0.00758970000000003
"Ys0...621",1.5,1,-0.75,0.5,-1,0.9983962,0.9475634,0.9385676,0.9336514,0.8865146,0.9978565,0.9381128,0.9458981,0.9459028,0.8936128,0.8682046,0.9983947,0.9474665,0.9457096,0.9334329,0.8866465,0.0508328,0.0089958,0.00491619999999993,0.0471368,0.0508328,-0.0077853,0.0522900000000001,0.0471368,-0.0305927000000001,0.0167811,0.0305880000000001,1.0077853,0.9553487,0.2303129,0.2286476,1.038378,0.9859414,0.3209688,0.3209688,0.0597437000000001,-0.0077853,0.0522900000000001,0.0254082,-0.0177703000000001,0.0167811,0.0509282,0.00175689999999995,0.0122767,0.0467864,0.00013339999999995,0.00723890000000005
"Ys0...622",1.5,1,-0.75,1,-1,0.9985557,0.9488881,0.9396165,0.9348506,0.9054248,0.9980068,0.9398525,0.9467269,0.9467107,0.8920879,0.8749988,0.9985546,0.948773,0.946501,0.9346067,0.9055531,0.0496676,0.00927160000000005,0.00476589999999999,0.0294257999999999,0.0496676,-0.00687440000000006,0.0546228,0.0294257999999999,-0.0337108999999999,0.0161460000000001,0.0337270999999999,1.0068744,0.9557625,0.22468,0.2225188,1.0405853,0.9894734,0.3224028,0.3224028,0.0581543,-0.00687440000000006,0.0546228,0.0170891000000001,-0.0298771,0.0161460000000001,0.0497816,0.00227199999999994,0.0118943,0.0290536,0.000129400000000057,0.00699960000000011
"Ys0...623",1.5,1,-0.75,1.5,-1,0.9986466,0.9495964,0.9401887,0.9354968,0.9161993,0.9980851,0.9408703,0.9471821,0.9471666,0.8907093,0.8782148,0.9986436,0.9495163,0.9469581,0.9352729,0.9162459,0.0490502,0.00940770000000002,0.00469189999999997,0.0192975,0.0490502,-0.00631179999999998,0.0564572999999999,0.0192975,-0.0360459,0.0157195,0.0360614,1.0063118,0.9559082,0.2214809,0.2190666,1.0423577,0.9919541,0.3242482,0.3242482,0.0572147999999999,-0.00631179999999998,0.0564572999999999,0.0124945000000001,-0.037423,0.0157195,0.0491273,0.00255819999999995,0.0116852000000001,0.019027,4.9599999999983e-05,0.00684950000000006
"Ys0...624",1.5,1,-0.2,-1.5,-1,0.9934698,0.8920244,0.9175437,0.9076447,0.7665237,0.9930895,0.8811487,0.9196455,0.9196747,0.892711,0.8133214,0.9934433,0.8920017,0.9194469,0.907369,0.766599,0.1014454,-0.0255192999999999,0.00989899999999999,0.141121,0.1014454,-0.0384968,0.0269636999999999,0.141121,-0.00408719999999985,0.0129775000000001,0.0040579999999999,1.0228765,0.9305212,0.3984116,0.3984116,1.0269637,0.9346084,0.3752286,0.3752286,0.1119408,-0.0384968,0.0269636999999999,0.0793896000000001,0.0471779999999999,0.0129775000000001,0.1014416,-0.0274451999999999,0.0120779,0.14077,0.00010179999999993,0.00192590000000004
"Ys0...625",1.5,1,-0.2,-1,-1,0.9963016,0.9264908,0.9325355,0.9207573,0.7876901,0.9958649,0.9142962,0.9348948,0.934929,0.8959589,0.8245851,0.9963195,0.9263471,0.9347253,0.9204832,0.787751,0.0698108000000001,-0.00604470000000001,0.0117782,0.1330672,0.0698108000000001,-0.0205986,0.0389701,0.1330672,-0.012638,0.0145539,0.0126038000000001,1.0205986,0.9470894,0.301618,0.301618,1.0332366,0.9597274,0.3382242,0.3382242,0.0815687,-0.0205986,0.0389701,0.0713738,0.0373317,0.0145539,0.0699724,-0.0083782,0.0142421,0.1327322,4.30000000000152e-05,0.00233349999999999
