"","a1","g6","rho","beta2","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"Ys0...21",-1.5,-1,-0.2,-1.5,0.7193528,0.7310048,0.9149327,0.9173284,0.9299454,0.8060383,0.7567495,0.9121223,0.9120237,0.9301552,0.8926347,0.7188502,0.7309757,0.9119448,0.917212,0.9299239,-0.011652,-0.1839279,-0.0023957,-0.012617,-0.011652,-0.1553728,-0.0181315,-0.012617,-0.0128193,-0.0285550999999999,0.0129179,0.9690492,0.8863776,0.6622564,0.6622564,0.9818685,0.8991969,0.3103375,0.3050328,0.0492888,-0.1553728,-0.0181315,0.0375205,-0.1239962,-0.0285550999999999,-0.0121255,-0.1809691,-0.00526720000000003,-0.0127119,0.000481100000000012,-0.00295880000000004
"Ys0...22",-1.5,-1,-0.2,-1,0.6730149,0.6598447,0.9037094,0.9080335,0.9264401,0.760673,0.7083451,0.8979537,0.8981196,0.9316382,0.8979733,0.6729182,0.6598991,0.8980639,0.9077479,0.9264285,0.0131702,-0.2438647,-0.00432410000000005,-0.0184065999999999,0.0131702,-0.1896086,-0.0335186,-0.0184065999999999,-0.0250616000000001,-0.0542561,0.0248957000000001,0.9414198,0.8494533,0.7874024,0.7874024,0.9664814,0.8745149,0.3305705,0.3206566,0.0523279000000001,-0.1896086,-0.0335186,0.0336649,-0.1161249,-0.0542561,0.0130191000000001,-0.2381648,-0.00968400000000003,-0.0186805999999999,8.50999999999491e-05,-0.00569989999999998
"Ys0...23",-1.5,-1,-0.2,1,0.5900805,0.54717,0.8801451,0.8839691,0.8946207,0.6759221,0.617967,0.8718487,0.8718869,0.9298502,0.9217132,0.5897733,0.5469829,0.8717455,0.883695,0.8946056,0.0429105,-0.3329751,-0.00382399999999994,-0.0106516000000001,0.0429105,-0.2538817,-0.0579632999999999,-0.0106516000000001,-0.0249541,-0.0790934,0.0249159,0.9170826,0.8010517,1.0203686,1.0203686,0.9420367,0.8260058,0.3844436,0.372361400000001,0.0579550999999999,-0.2538817,-0.0579632999999999,0.00813699999999995,-0.0587491,-0.0790934,0.0427903999999999,-0.3247626,-0.0119495000000001,-0.0109106,0.000292100000000017,-0.00821250000000007
"Ys0...24",-1.5,-1,-0.2,1.5,0.5842177,0.5388953,0.8776212,0.8809915,0.8876745,0.6678672,0.6093548,0.8693853,0.8693641,0.929187,0.9232115,0.5839397,0.5387653,0.8692371,0.880639,0.8876152,0.0453224,-0.3387259,-0.00337030000000005,-0.00668299999999999,0.0453224,-0.2600305,-0.0598229,-0.00668299999999999,-0.0222428,-0.0786954,0.0222640000000001,0.9179343,0.7989258,1.0425198,1.0425198,0.9401771,0.8211686,0.3912704,0.379643,0.0585124,-0.2600305,-0.0598229,0.00597550000000002,-0.0481125000000001,-0.0786954,0.0451743999999999,-0.3304718,-0.0114019,-0.0069762000000001,0.000218700000000016,-0.00825410000000004
"Ys0...25",-1.5,-1,0.2,-1.5,0.7189428,0.730896,0.9089215,0.9173634,0.9298859,0.8061783,0.7569332,0.9120291,0.9119849,0.9301698,0.8926481,0.7188502,0.7309757,0.9119448,0.917212,0.9299239,-0.0119532,-0.1780255,-0.0084419,-0.0125225,-0.0119532,-0.1550959,-0.0181849000000001,-0.0125225,-0.0131865999999999,-0.0229296,0.0132308,0.9686285,0.8859919,0.6620754,0.6620754,0.9818151,0.8991785,0.3103121,0.3049336,0.0492451,-0.1550959,-0.0181849000000001,0.0375217,-0.1244733,-0.0229296,-0.0121255,-0.1809691,-0.00526720000000003,-0.0127119,0.000130599999999981,0.00294359999999994
"Ys0...26",-1.5,-1,0.2,-1,0.672739,0.6596622,0.8922597,0.9079782,0.9263854,0.7605791,0.7083159,0.898006,0.898054,0.9316473,0.8979432,0.6729182,0.6598991,0.8980639,0.9077479,0.9264285,0.0130768,-0.2325975,-0.0157185,-0.0184072000000001,0.0130768,-0.1896901,-0.0335932999999999,-0.0184072000000001,-0.0250326000000001,-0.0429074,0.0249846,0.9413741,0.8493523,0.7873562,0.7873562,0.9664067,0.8743849,0.3306732,0.320749,0.0522632,-0.1896901,-0.0335932999999999,0.0337040999999999,-0.1162823,-0.0429074,0.0130191000000001,-0.2381648,-0.00968400000000003,-0.0186805999999999,-0.000136100000000083,0.00556730000000005
"Ys0...27",-1.5,-1,0.2,1,0.5898544,0.5467551,0.8639955,0.8837376,0.8945171,0.6756487,0.6176174,0.8718331,0.8718222,0.9299122,0.9217083,0.5897733,0.5469829,0.8717455,0.883695,0.8946056,0.0430993,-0.3172404,-0.0197421,-0.0107794999999999,0.0430993,-0.2542157,-0.05809,-0.0107794999999999,-0.0246767999999999,-0.0630246999999999,0.0246877,0.9172332,0.8009708,1.021099,1.021099,0.94191,0.8256476,0.3846158,0.3727004,0.0580313,-0.2542157,-0.05809,0.00820389999999993,-0.0586030999999999,-0.0630246999999999,0.0427903999999999,-0.3247626,-0.0119495000000001,-0.0109106,0.000169600000000103,0.00752219999999992
"Ys0...28",-1.5,-1,0.2,1.5,0.5839764,0.5385158,0.8615708,0.8806938,0.8875747,0.6675988,0.6090718,0.8693546,0.8693014,0.9292535,0.9231988,0.5839397,0.5387653,0.8692371,0.880639,0.8876152,0.0454606,-0.323055,-0.019123,-0.00688090000000008,0.0454606,-0.2602828,-0.0599521,-0.00688090000000008,-0.0219431000000001,-0.0627722000000001,0.0219963000000001,0.9181048,0.7987986,1.0431472,1.0431472,0.9400479,0.8207417,0.3914978,0.3801054,0.058527,-0.2602828,-0.0599521,0.00605469999999997,-0.0479983000000002,-0.0627722000000001,0.0451743999999999,-0.3304718,-0.0114019,-0.0069762000000001,7.71999999999995e-05,0.0074168
"Ys0...29",-1.5,-1,0.75,-1.5,0.7189085,0.7309188,0.9000201,0.9174311,0.9298767,0.8061154,0.756822,0.9121639,0.9119524,0.9301598,0.8926678,0.7188502,0.7309757,0.9119448,0.917212,0.9299239,-0.0120103,-0.1691013,-0.0174110000000001,-0.0124455999999999,-0.0120103,-0.1553419,-0.0182074,-0.0124455999999999,-0.0129630000000001,-0.0137594,0.0131745000000001,0.9688296,0.8862607,0.6620282,0.6620282,0.9817926,0.8992237,0.3102969,0.3048182,0.0492934,-0.1553419,-0.0182074,0.037492,-0.1244158,-0.0137594,-0.0121255,-0.1809691,-0.00526720000000003,-0.0127119,0.000105499999999981,0.0118678
"Ys0...30",-1.5,-1,0.75,-1,0.6726996,0.6596574,0.876605,0.908028,0.9263709,0.760541,0.7083442,0.898084,0.8980472,0.9316147,0.897929,0.6729182,0.6598991,0.8980639,0.9077479,0.9264285,0.0130422,-0.2169476,-0.031423,-0.0183429000000001,0.0130422,-0.1897398,-0.0335675,-0.0183429000000001,-0.0250633,-0.0272078,0.0251001,0.9413692,0.8493972,0.7871436,0.7871436,0.9664325,0.8744605,0.3306954,0.3207146,0.0521968,-0.1897398,-0.0335675,0.0336857,-0.1162833,-0.0272078,0.0130191000000001,-0.2381648,-0.00968400000000003,-0.0186805999999999,-0.000161000000000078,0.0212172
