"","a1","g6","rho","beta2","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0"
"Ys0...36",-1.5,0,-0.75,1.5,0.0615522,-0.0785081,-0.4354817,-0.010975,0.0615522,-0.136139,-0.4581384,-0.010975,0.0802876000000001,0.01086,-0.136139,-0.4581384,-0.0179007,0.1381,0.0615974,-0.1004719,-0.4136258,-0.0110918999999999,0.000179600000000057
"Ys0...37",-1.5,0,-0.2,-1.5,0.0131188000000001,-0.2680627,-0.0384612,0.1161647,0.0131188000000001,-0.2493646,-0.0713652,0.1161647,0.0142059,0.0594961000000001,-0.2493646,-0.0713652,0.2238109,-0.139822,0.0133412000000001,-0.2616345,-0.0452269000000001,0.1164613,-0.000181499999999946
"Ys0...38",-1.5,0,-0.2,-1,0.0463816,-0.2746976,-0.1072926,0.0444023,0.0463816,-0.2635607,-0.1598226,0.0444023,0.0413931000000001,0.0425317,-0.2635607,-0.1598226,0.1596116,-0.0700125999999999,0.0462415999999999,-0.2639236,-0.1179871,0.0442536,0.000209200000000132
"Ys0...39",-1.5,0,-0.2,1,0.0632297,-0.1200028,-0.3832675,-0.014137,0.0632297,-0.1582387,-0.4280589,-0.014137,0.0830273,0.0128555,-0.1582387,-0.4280589,-0.0118452,0.1312172,0.0633123,-0.1225109,-0.3810452,-0.0140488,0.000115000000000087
"Ys0...40",-1.5,0,-0.2,1.5,0.0613986,-0.0956184,-0.4182047,-0.0110007999999999,0.0613986,-0.1362674,-0.4579457,-0.0110007999999999,0.08039,0.0110321,-0.1362674,-0.4579457,-0.0179453000000001,0.1380361,0.0614015,-0.1003267,-0.4136782,-0.0112028,0.000380899999999906
"Ys0...41",-1.5,0,0.2,-1.5,0.0131975,-0.2548259,-0.0519101,0.1162126,0.0131975,-0.2492439,-0.0713475,0.1162126,0.0138554,0.0590556,-0.2492439,-0.0713475,0.2239501,-0.139816,0.0132914000000001,-0.2615742,-0.0451971,0.1162843,-0.000130300000000028
"Ys0...42",-1.5,0,0.2,-1,0.045896,-0.2540735,-0.1280718,0.044392,0.045896,-0.2636542,-0.1598222,0.044392,0.0413311000000001,0.0423522000000001,-0.2636542,-0.1598222,0.1599888,-0.0708425,0.0462266,-0.2636354,-0.118435,0.0444722,-0.000485700000000033
"Ys0...43",-1.5,0,0.2,1,0.06345,-0.1256567,-0.3782138,-0.0142515,0.06345,-0.1584871,-0.4283562,-0.0142515,0.0829728,0.0126987,-0.1584871,-0.4283562,-0.0118578,0.1310438,0.0633218,-0.1227924,-0.3807741,-0.0143788,-4.85000000000069e-05
"Ys0...44",-1.5,0,0.2,1.5,0.0615583,-0.1047423,-0.4097998,-0.0109919000000001,0.0615583,-0.1366514,-0.4583259,-0.0109919000000001,0.0804352,0.0108149,-0.1366514,-0.4583259,-0.0179551,0.1378037,0.0616148,-0.1003642,-0.4136764,-0.0110087,-0.000541200000000019
"Ys0...45",-1.5,0,0.75,-1.5,0.0132475,-0.2384348,-0.0683279,0.1162803,0.0132475,-0.2495085,-0.0713410999999999,0.1162803,0.0140868999999999,0.0595098000000001,-0.2495085,-0.0713410999999999,0.2241306,-0.1400793,0.0130992,-0.2614334,-0.045309,0.1162982,0.000110099999999891
