"","X","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"49",49,-1.5,0.25,-0.75,-1.5,0.000280099999999894,-0.00843889999999992,1.49000000000399e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"50",50,-1.5,0.25,-0.75,-1,0.000554000000000054,-0.00646159999999996,2.82000000000338e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"51",51,-1.5,0.25,-0.75,1,0.000916099999999975,0.0026891,6.58999999999521e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"52",52,-1.5,0.25,-0.75,1.5,0.000956900000000038,0.00404899999999997,6.1600000000106e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"53",53,-1.5,0.25,-0.2,-1.5,0.000313899999999978,-0.00849679999999997,-4.89999999997437e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"54",54,-1.5,0.25,-0.2,-1,0.000548300000000057,-0.00651859999999993,8.000000000008e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"55",55,-1.5,0.25,-0.2,1,0.000950999999999924,0.00263990000000003,4.53999999999732e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"56",56,-1.5,0.25,-0.2,1.5,0.000979300000000016,0.00400090000000008,4.19000000001502e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"57",57,-1.5,0.25,0.2,-1.5,0.000331200000000087,-0.00845799999999997,3.11000000000616e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"58",58,-1.5,0.25,0.2,-1,0.000562599999999969,-0.00647970000000009,4.64999999999494e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"59",59,-1.5,0.25,0.2,1,0.000970000000000026,0.00268259999999998,8.05999999999862e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"60",60,-1.5,0.25,0.2,1.5,0.00100279999999997,0.00404419999999994,7.73000000000579e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"61",61,-1.5,0.25,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"62",62,-1.5,0.25,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"63",63,-1.5,0.25,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"64",64,-1.5,0.25,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"65",65,-1.5,0.5,-0.75,-1.5,0.000248200000000032,-0.00828070000000003,8.80000000003101e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"66",66,-1.5,0.5,-0.75,-1,0.000523800000000074,-0.00634920000000005,1.89999999999912e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"67",67,-1.5,0.5,-0.75,1,0.000870099999999985,0.00261139999999993,6.18999999998371e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"68",68,-1.5,0.5,-0.75,1.5,0.000909099999999996,0.00394669999999997,5.65999999999622e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"69",69,-1.5,0.5,-0.2,-1.5,0.000277399999999983,-0.00833689999999998,-1.08999999999249e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"70",70,-1.5,0.5,-0.2,-1,0.000508800000000087,-0.00640439999999998,-9.99999999917733e-07,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"71",71,-1.5,0.5,-0.2,1,0.000900400000000023,0.00256410000000007,4.18999999999281e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"72",72,-1.5,0.5,-0.2,1.5,0.000927600000000139,0.00390059999999992,3.74999999999126e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"73",73,-1.5,0.5,0.2,-1.5,0.000300100000000025,-0.0082991,2.45000000000939e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"74",74,-1.5,0.5,0.2,-1,0.000529400000000013,-0.00636669999999995,3.70000000000648e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"75",75,-1.5,0.5,0.2,1,0.000927099999999959,0.00260559999999999,7.65999999998712e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"76",76,-1.5,0.5,0.2,1.5,0.00096010000000013,0.00394269999999997,7.23999999999725e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
