"","X","a1","g6","rho","beta2","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"28","Ys0...28",-1.5,-0.5,0.2,1.5,0.5829726,0.5376216,0.861953,0.8858505,0.8909405,0.6542255,0.590143,0.868587,0.8685203,0.927023,0.9211334,0.5829271,0.5379002,0.868497,0.8857837,0.890976,0.0453509999999999,-0.3243314,-0.0238975,-0.00509000000000004,0.0453509999999999,-0.278444,-0.0585027,-0.00509000000000004,-0.0112821999999999,-0.0458873999999999,0.0113488999999999,0.9302151,0.8160656,1.08254,1.08254,0.9414973,0.8273478,0.3915832,0.374253,0.0640825,-0.278444,-0.0585027,0.00588960000000005,-0.0410600000000001,-0.0458873999999999,0.0450269,-0.3305968,-0.0172867,-0.00519230000000004,8.09999999998867e-05,0.00626539999999998
"29","Ys0...29",-1.5,-0.5,0.75,-1.5,0.6815494,0.6955412,0.9000464,0.9172065,0.9232603,0.7747319,0.7122776,0.9103363,0.910191,0.9279117,0.8913429,0.6813433,0.6956196,0.910175,0.9170214,0.9233268,-0.0139918,-0.2045052,-0.0171601,-0.0060538,-0.0139918,-0.1980587,-0.0177207,-0.0060538,-0.0058859,-0.00644650000000002,0.00603120000000001,0.9763934,0.8935999,0.7547722,0.7547722,0.9822793,0.8994858,0.3167791,0.3097636,0.0624543000000001,-0.1980587,-0.0177207,0.0365688,-0.1250999,-0.00644650000000002,-0.0142763,-0.2145554,-0.00684640000000003,-0.00630540000000002,0.000272599999999956,0.0100501999999999
"30","Ys0...30",-1.5,-0.5,0.75,-1,0.6508779,0.6397428,0.8782839,0.9095281,0.9208261,0.7351302,0.6722522,0.8965986,0.8966185,0.9293281,0.8964851,0.6509156,0.6398661,0.8966534,0.9092612,0.9209141,0.0111351000000001,-0.2385411,-0.0312441999999999,-0.011298,0.0111351000000001,-0.2243464,-0.0327096,-0.011298,-0.0127292999999999,-0.0141947,0.0127094,0.9545611,0.8640892,0.8622984,0.8622984,0.9672904,0.8768185,0.3351972,0.3222876,0.062878,-0.2243464,-0.0327096,0.032843,-0.1085933,-0.0141947,0.0110495,-0.2567873,-0.0126077999999999,-0.0116529,5.02999999999476e-05,0.0182462
"31","Ys0...31",-1.5,-0.5,0.75,1,0.5881137,0.5452527,0.8486182,0.8887337,0.8966605,0.6612257,0.5972564,0.8711384,0.8710497,0.927623,0.9197123,0.5880072,0.5452309,0.8709509,0.8885272,0.8967251,0.0428609999999999,-0.3033655,-0.0401155,-0.00792680000000001,0.0428609999999999,-0.273882,-0.0565732999999999,-0.00792680000000001,-0.0130257,-0.0294835,0.0131144,0.930401,0.8191347,1.0632104,1.0632104,0.9434267,0.8321604,0.3849706,0.3672866,0.0639693,-0.273882,-0.0565732999999999,0.00791069999999994,-0.0500602,-0.0294835,0.0427763,-0.32572,-0.0175763,-0.00819790000000009,0.000171100000000091,0.0223545000000001
"32","Ys0...32",-1.5,-0.5,0.75,1.5,0.5829526,0.5379793,0.8467787,0.8860164,0.8909345,0.6542019,0.5902029,0.8687173,0.8685689,0.9269902,0.9211708,0.5829271,0.5379002,0.868497,0.8857837,0.890976,0.0449733,-0.3087994,-0.0392377,-0.00491809999999993,0.0449733,-0.2785144,-0.0584213,-0.00491809999999993,-0.0111013999999999,-0.0302849999999999,0.0112498,0.9304773,0.8164937,1.0821596,1.0821596,0.9415787,0.8275951,0.3914343,0.3739868,0.063999,-0.2785144,-0.0584213,0.00581940000000003,-0.041013,-0.0302849999999999,0.0450269,-0.3305968,-0.0172867,-0.00519230000000004,6.70000000000393e-05,0.0217974
"33","Ys0...33",-1.5,-0.25,-0.75,-1.5,0.6628962,0.6716306,0.916463,0.9151452,0.9184667,0.7545818,0.6827592,0.9077416,0.9077613,0.9248011,0.8894662,0.6626443,0.6716503,0.9076776,0.9151255,0.9184273,-0.00873439999999992,-0.2448324,0.00131780000000004,-0.00332149999999998,-0.00873439999999992,-0.2249824,-0.0170398,-0.00332149999999998,-0.00149239999999995,-0.01985,0.00147269999999999,0.9814678,0.896613,0.8189984,0.8189984,0.9829602,0.8981054,0.3274913,0.3201074,0.0718226,-0.2249824,-0.0170398,0.0353349000000001,-0.1206861,-0.01985,-0.00900600000000007,-0.2360273,-0.00744790000000006,-0.00330179999999991,0.00021250000000006,-0.00880510000000012
"34","Ys0...34",-1.5,-0.25,-0.75,-1,0.6393239,0.6261286,0.9110432,0.9087254,0.9165677,0.7188574,0.6482542,0.8945085,0.8945947,0.926115,0.8944774,0.6391629,0.6260781,0.894653,0.9084133,0.9165411,0.0131952999999999,-0.2849146,0.00231780000000004,-0.00784229999999997,0.0131952999999999,-0.2462543,-0.0315203000000001,-0.00784229999999997,-0.00482219999999989,-0.0386603,0.00473599999999996,0.9636575,0.8723829,0.9144746,0.9144746,0.9684797,0.8772051,0.3444499,0.3303192,0.0706032,-0.2462543,-0.0315203000000001,0.0316376,-0.1016238,-0.0386603,0.0130848,-0.2685749,-0.0137602999999999,-0.00812780000000002,0.000134399999999979,-0.0163397
"35","Ys0...35",-1.5,-0.25,-0.75,1,0.5870299,0.5439838,0.8959022,0.8900191,0.8963791,0.6522312,0.5840417,0.8697938,0.8698676,0.92444,0.9168577,0.586885,0.5438437,0.8698021,0.8897648,0.896387,0.0430461,-0.3519184,0.00588310000000003,-0.00636000000000003,0.0430461,-0.2857521,-0.0545724000000001,-0.00636000000000003,-0.0057107999999999,-0.0661663,0.00563699999999989,0.9397168,0.8297359,1.092329,1.092329,0.9454276,0.8354467,0.3912333,0.3710818,0.0681895,-0.2857521,-0.0545724000000001,0.00758230000000004,-0.0447227,-0.0661663,0.0430412999999999,-0.3259584,-0.0199627,-0.00662220000000002,0.000152800000000064,-0.02596
"36","Ys0...36",-1.5,-0.25,-0.75,1.5,0.582348,0.5372053,0.8938418,0.8874383,0.8914095,0.6459052,0.5778834,0.8674715,0.8675037,0.9238371,0.9183147,0.5822633,0.5371024,0.867427,0.887211,0.8913634,0.0451427,-0.3566365,0.00640350000000001,-0.00397119999999995,0.0451427,-0.2895881,-0.0563334,-0.00397119999999995,-0.00431150000000013,-0.0670484000000001,0.0042793000000001,0.9393551,0.8267934,1.1092902,1.1092902,0.9436666,0.8311049,0.3973838,0.3774492,0.0680217999999999,-0.2895881,-0.0563334,0.00552239999999993,-0.0366519999999999,-0.0670484000000001,0.0451609000000001,-0.3303246,-0.019784,-0.00415240000000006,3.85999999999997e-05,-0.0263119000000001
"37","Ys0...37",-1.5,-0.25,-0.2,-1.5,0.6629628,0.6716834,0.9100073,0.9152857,0.9184936,0.7545714,0.6828725,0.907827,0.907767,0.9248078,0.8894707,0.6626443,0.6716503,0.9076776,0.9151255,0.9184273,-0.00872060000000008,-0.2383239,-0.00527840000000002,-0.00320790000000004,-0.00872060000000008,-0.2249545,-0.0170408,-0.00320790000000004,-0.00160699999999991,-0.0133693999999999,0.00166699999999997,0.9813522,0.8966379,0.818601,0.818601,0.9829592,0.8982449,0.3273317,0.319813,0.0716989,-0.2249545,-0.0170408,0.0353371,-0.1206315,-0.0133693999999999,-0.00900600000000007,-0.2360273,-0.00744790000000006,-0.00330179999999991,0.000252199999999925,-0.00229659999999998
