"","mode.z","mode.y","mode.m","rho","alpha_1","beta_2","gamma_2","gamma_3","gamma_6","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"Ys071","bi","con","con",-0.2,1.5,1.5,1,0,1,16.777167147512,6.34460668878943,4.54755888010003,4.91589888010003,3.36334888010003,16.036987147512,5.97581168878943,4.65245388010003,4.67365308505778,4.10805308505778,3.01999308505778,16.7707035311199,6.34266988059339,4.67582308505778,4.93639808505778,3.37499808505778,10.4325604587226,1.7970478086894,-0.36834,1.55255,10.4325604587226,1.3233578086894,0.5656,1.55255,-0.46025,0.47369,0.439050795042253,0.89465,5.02124888010003,-18.9486839464683,-20.6408367551577,0.4344,5.48149888010003,-13.8056581352734,-14.0479039303156,10.0611754587226,1.3233578086894,0.5656,1.08806,0.396824204957749,0.47369,10.4280336505265,1.66684679553561,-0.260575,1.5614,0.0181128213498183,0.130201013153783
"Ys081","con","con","bi",-0.2,1.5,1.5,1,0,1,11.9799710958277,5.49883246509452,2.46941491470983,2.64587121206872,2.5691574952621,11.8937344800359,5.45562915719865,2.47768996538599,2.48971030864182,2.38032234932101,2.35487496599726,11.9702074053138,5.49427561983759,2.49098824176597,2.66033990474503,2.57995778207215,6.48113863073316,3.02941755038469,-0.176456297358898,0.0767137168066241,6.48113863073316,2.97793919181266,0.10938795932081,0.0767137168066241,-0.234365898107681,0.051478358572028,0.22234555485185,1.97793919181266,2.52089327328185,-14.8877807448778,-17.9089232445863,1.74357329370498,2.75525917138953,-5.89622621935257,-6.05238712277947,6.43810532283729,2.97793919181266,0.10938795932081,0.0254473833237534,-0.128045913473116,0.051478358572028,6.47593178547623,3.00328737807162,-0.169351662979067,0.0803821226728818,0.0205639773239117,0.0261301723130707
"Ys091","bi","con","bi",-0.2,1.5,1.5,1,0,1,7.46720552881249,3.25837552881248,2.71390552881248,2.74193552881249,2.67508552881249,7.41587552881249,3.23211552881249,2.72285552881248,2.72902552881248,2.68852552881249,2.62073552881249,7.46606552881248,3.25738552881249,2.72986552881249,2.74916552881248,2.68154552881249,4.20883,0.54447,-0.0280300000000002,0.0668500000000001,4.20883,0.50926,0.0404999999999998,0.0668500000000001,-0.0333200000000002,0.0352099999999997,0.0271500000000002,0.99282,2.74911552881248,-8.44546211524994,-8.98098211524994,0.9595,2.78243552881248,-6.84801211524994,-6.86092211524994,4.18376,0.50926,0.0404999999999998,0.06779,-0.0030199999999998,0.0352099999999997,4.20868,0.52752,-0.0192999999999999,0.0676199999999998,0.0076000000000005,0.01695
"Ys012","con","bi","con",-0.2,1.5,1.5,1,0,1,0.99794,0.99081,0.74235,0.92764,0.9,0.99626,0.97902,0.74824,0.7486,0.76374,0.80319,0.99806,0.99024,0.74931,0.92996,0.89899,0.00713000000000008,0.24846,-0.18529,0.02764,0.00713000000000008,0.23078,-0.0151399999999999,0.02764,-0.15247,0.01768,0.15211,1.16761,0.76003,0.30291,0.0603399999999998,1.01514,0.9125,0.79628,0.61724,0.01724,0.23078,-0.0151399999999999,-0.03945,-0.09513,0.01768,0.00781999999999994,0.24093,-0.18065,0.0309700000000001,-0.00112999999999996,0.00753000000000004
"Ys013","bi","bi","con",-0.2,1.5,1.5,1,0,1,0.99652,0.97673,0.92602,0.92953,0.92036,0.99876,0.97171,0.92629,0.92743,0.92032,0.90951,0.99664,0.97676,0.92819,0.93074,0.92124,0.01979,0.05071,-0.00351000000000001,0.00917000000000001,0.01979,0.04542,0.00710999999999995,0.00917000000000001,-0.00532999999999995,0.00529000000000002,0.00418999999999992,0.99822,0.93131,0.15356,0.10312,0.99289,0.93664,0.3024,0.3003,0.02705,0.04542,0.00710999999999995,0.01081,-0.0130899999999999,0.00529000000000002,0.01988,0.04857,-0.00255000000000005,0.00950000000000006,0.000759999999999983,0.00214000000000003
"Ys022","con","bi","bi",-0.2,1.5,1.5,1,0,1,0.99735,0.97988,0.82752,0.86097,0.85472,0.99733,0.97899,0.82809,0.82661,0.83207,0.83204,0.99715,0.97878,0.82738,0.8629,0.85326,0.01747,0.15236,-0.03345,0.00624999999999998,0.01747,0.1509,-0.00546000000000002,0.00624999999999998,-0.0265300000000001,0.00145999999999991,0.0280100000000001,1.03199,0.82898,0.23405,0.0822599999999999,1.00546,0.85551,0.64828,0.61392,0.01834,0.1509,-0.00546000000000002,2.99999999999745e-05,-0.0226600000000001,0.00145999999999991,0.01837,0.1514,-0.03552,0.00963999999999998,-0.00126000000000004,0.000959999999999961
"Ys032","bi","bi","bi",-0.2,1.5,1.5,1,0,1,0.99627,0.95129,0.91162,0.91352,0.90928,0.9967,0.95044,0.91154,0.91232,0.91098,0.90744,0.99664,0.95183,0.91255,0.91296,0.90829,0.04498,0.03967,-0.00190000000000001,0.00424000000000002,0.04498,0.0388999999999999,0.00134000000000001,0.00424000000000002,-0.00246999999999997,0.000770000000000048,0.00168999999999997,1.00113,0.91239,0.23629,0.19654,0.99866,0.91486,0.3522,0.351,0.0462600000000001,0.0388999999999999,0.00134000000000001,0.00353999999999999,-0.00226999999999999,0.000770000000000048,0.04481,0.03928,-0.000410000000000021,0.00466999999999995,-0.00135999999999992,0.000390000000000001
"Ys042","con","con","con",-0.2,1.5,1.5,1,0.5,1,57.9582995675051,26.978972023198,9.25373779183108,8.21396404625006,4.73341675694567,50.95094897191,23.4772775999734,9.96032546115503,10.0237952700693,4.74410676720172,3.24861246634037,57.9568979667565,26.9802520973966,10.0364247573244,8.30488600022787,4.77466070906586,30.9793275443071,17.7252342313669,1.03977374558102,3.48054728930439,30.9793275443071,13.5169521388184,5.27968850286755,3.48054728930439,-0.0316326647380016,4.20828209254853,0.0318371441762455,12.5169521388184,13.4620198843796,-79.8938526842998,-96.9124992463428,12.4853194740804,13.4936525491176,-25.535804074542,-25.535804074542,27.4736713719366,13.5169521388184,5.27968850286755,1.49549430086135,5.52254630498977,4.20828209254853,30.9766458693599,16.9438273400723,1.7315387570965,3.53022529116201,0.0426455528688106,0.781406891294637
"Ys052","bi","con","con",-0.2,1.5,1.5,1,0.5,1,18.8201320260423,8.3875715673197,6.5905237586303,6.5038812586303,4.0803112586303,18.0786570260423,8.0174815673197,6.6941237586303,6.71661796358805,5.69603546358805,3.73695546358805,18.8123734096502,8.38433975912366,6.71749296358805,6.53057546358805,4.09461546358805,10.4325604587226,1.7970478086894,0.0866425,2.42357,10.4325604587226,1.3233578086894,1.0205825,2.42357,-0.460250000000001,0.47369,0.437755795042254,0.439667500000001,7.0642137586303,-27.1166584605894,-28.8101062692788,0.136892191310604,7.5244637586303,-20.8253068543522,-20.8253068543522,10.0611754587226,1.3233578086894,1.0205825,1.95908,0.398119204957744,0.47369,10.4280336505265,1.66684679553561,0.1869175,2.43596,0.0220628213498166,0.130201013153783
"Ys062","con","con","bi",-0.2,1.5,1.5,1,0.5,1,12.4694810958277,5.98834246509452,2.95892491470983,3.02495121206872,2.9231474952621,12.3833294800359,5.94522415719865,2.96728496538599,2.97922030864182,2.75940234932101,2.70886496599726,12.4593924053138,5.98346061983759,2.98017324176597,3.03993990474503,2.93396778207215,6.48113863073316,3.02941755038469,-0.0660262973588983,0.101803716806624,6.48113863073316,2.97793919181266,0.21981795932081,0.101803716806624,-0.234365898107681,0.051478358572028,0.222430554851849,1.97793919181266,3.01040327328185,-16.8460757448778,-19.8671332445863,1.74357329370498,3.24476917138953,-7.52297621935257,-7.56870712277947,6.43810532283729,2.97793919181266,0.21981795932081,0.0505373833237535,-0.128130913473115,0.051478358572028,6.47593178547623,3.00328737807162,-0.0597666629790665,0.105972122672882,0.0209089773239137,0.0261301723130711
"Ys072","bi","con","bi",-0.2,1.5,1.5,1,0.5,1,7.94581552881248,3.73698552881249,3.19251552881249,3.18820052881249,3.06705552881248,7.89508052881248,3.71132052881249,3.20206052881248,3.20763552881249,3.13479052881249,3.01270552881248,7.94509552881248,3.73641552881248,3.20889552881248,3.19567052881249,3.07323052881249,4.20883,0.54447,0.00431500000000007,0.121145,4.20883,0.50926,0.072845,0.121145,-0.0333200000000002,0.0352099999999997,0.0277449999999999,0.960475,3.22772552881248,-10.3616871152499,-10.8966121152499,0.927155,3.26104552881249,-8.68485211524994,-8.68485211524994,4.18376,0.50926,0.072845,0.122085,-0.00361499999999948,0.0352099999999997,4.20868,0.52752,0.0132249999999998,0.12244,0.00689500000000054,0.01695
"Ys082","con","bi","con",-0.2,1.5,1.5,1,0.5,1,0.99764,0.9931,0.85683,0.929,0.90155,0.99611,0.98879,0.86008,0.86077,0.79786,0.82622,0.99741,0.99234,0.85977,0.93089,0.90282,0.00453999999999999,0.13627,-0.0721700000000001,0.0274500000000001,0.00453999999999999,0.12871,0.06291,0.0274500000000001,-0.12752,0.00756000000000001,0.12683,1.06461,0.86439,0.16924,0.0362200000000001,0.99881,0.99191,0.61451,0.54628,0.0073200000000001,0.12871,0.06291,-0.0283599999999999,-0.0738000000000001,0.00756000000000001,0.00507000000000002,0.13257,-0.07112,0.02807,0.00149999999999995,0.00370000000000004
"Ys092","bi","bi","con",-0.2,1.5,1.5,1,0.5,1,0.99649,0.98464,0.98387,0.95006,0.93314,0.99864,0.9908,0.98184,0.983,0.9659,0.93482,0.99672,0.98387,0.98203,0.95166,0.93347,0.01185,0.000769999999999937,0.03381,0.01692,0.01185,0.00895999999999997,0.0171,0.01692,0.00851999999999997,-0.00819000000000003,0.00967999999999991,0.99104,0.97568,0.0519199999999999,0.0491199999999999,0.9829,0.96716,0.1022,0.1022,0.00783999999999996,0.00895999999999997,0.0171,0.03108,-0.00046999999999997,-0.00819000000000003,0.01285,0.00184000000000006,0.03037,0.0181899999999999,9.9999999999989e-05,-0.00107000000000013
"Ys014","con","bi","bi",-0.2,1.5,1.5,1,0.5,1,0.99768,0.9853,0.87014,0.88142,0.87587,0.99823,0.98597,0.86955,0.8688,0.86436,0.8627,0.9975,0.98469,0.86886,0.88337,0.87483,0.0123800000000001,0.11516,-0.01128,0.00554999999999994,0.0123800000000001,0.11642,0.00444,0.00554999999999994,-0.01698,-0.00126000000000004,0.01773,1.01254,0.86888,0.17321,0.05746,0.99556,0.88586,0.52106,0.50844,0.0122599999999999,0.11642,0.00444,0.00165999999999999,-0.01372,-0.00126000000000004,0.0128100000000001,0.11583,-0.01451,0.00853999999999999,-0.000860000000000083,-0.000670000000000059
"Ys015","bi","bi","bi",-0.2,1.5,1.5,1,0.5,1,0.99704,0.96647,0.94214,0.93743,0.93001,0.99793,0.96706,0.94081,0.94199,0.93798,0.93135,0.99738,0.96723,0.94152,0.93777,0.92991,0.03057,0.0243300000000001,0.00470999999999999,0.00741999999999998,0.03057,0.02625,0.00400999999999996,0.00741999999999998,-0.00121999999999989,-0.00191999999999992,3.9999999999929e-05,0.99721,0.94022,0.1586,0.13294,0.99599,0.94144,0.24006,0.24006,0.03087,0.02625,0.00400999999999996,0.00663000000000002,0.000450000000000061,-0.00191999999999992,0.03015,0.02571,0.00375000000000003,0.00785999999999998,-0.000439999999999996,-0.00137999999999994
