"","a1","g6","rho","beta2","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"Ys0...179",0.5,-1,-0.75,1,NA,NA,NA,0.0360463000000001,NA,NA,NA,0.0360463000000001,NA,NA,NA,NA,NA,0.0308191,NA,NA,0.0213999,-0.0123413,0.022114,0.0361189000000001,NA,NA
"Ys0...180",0.5,-1,-0.75,1.5,NA,NA,NA,0.0336494000000001,NA,NA,NA,0.0336494000000001,NA,NA,NA,NA,NA,0.0235235,NA,NA,0.0201911,-0.0121283,0.0220836,0.0336827,NA,NA
"Ys0...181",0.5,-1,-0.2,-1.5,0.0334216000000001,-0.00439529999999999,0.0121526,0.0606196999999999,0.0334216000000001,0.00420390000000004,0.00211709999999998,0.0606196999999999,0.00143629999999995,-0.00859920000000003,0.0308419,0.00420390000000004,0.00211709999999998,0.1385739,-0.0739093000000001,-0.00859920000000003,0.0335464000000001,-0.00302800000000003,0.0106518999999999,0.0606642000000001,-3.59000000000886e-05,-0.00136729999999996
"Ys0...182",0.5,-1,-0.2,-1,0.0302601,-0.0106964000000001,0.0190727000000001,0.0535421,0.0302601,0.00258439999999993,0.00358749999999997,0.0535421,0.00220440000000011,-0.0132808,0.0251876,0.00258439999999993,0.00358749999999997,0.1095808,-0.0487428999999999,-0.0132808,0.0303947,-0.00848349999999998,0.0167159,0.0535901999999999,-3.87999999998945e-05,-0.00221290000000007
"Ys0...183",0.5,-1,-0.2,1,0.0214055,-0.0152992,0.0250686999999999,0.0361126000000001,0.0214055,0.00145039999999996,0.0056098,0.0361126000000001,0.00270930000000003,-0.0167495999999999,0.0145286999999999,0.00145039999999996,0.0056098,0.0306399000000001,0.0151023,-0.0167495999999999,0.0215034,-0.0123728999999999,0.0220210999999999,0.0362019,-6.58999999999521e-05,-0.00292630000000005
"Ys0...184",0.5,-1,-0.2,1.5,0.0201864,-0.0150546,0.0250136,0.0336914,0.0201864,0.00151950000000001,0.005776,0.0336914,0.00266349999999993,-0.0165741,0.0134935,0.00151950000000001,0.005776,0.0233726,0.019745,-0.0165741,0.0202836,-0.0121635999999999,0.0219874999999999,0.0337467,-1.73999999999452e-05,-0.00289100000000009
"Ys0...185",0.5,-1,0.2,-1.5,0.0334635999999999,-0.00140739999999995,0.0091116,0.0606196999999999,0.0334635999999999,0.00422200000000006,0.00210680000000008,0.0606196999999999,0.00137539999999992,-0.00562940000000001,0.0308374,0.00422200000000006,0.00210680000000008,0.1385739,-0.0739340000000002,-0.00562940000000001,0.0335464000000001,-0.00302800000000003,0.0106518999999999,0.0606642000000001,-4.70000000001303e-05,0.00162060000000008
"Ys0...186",0.5,-1,0.2,-1,0.0303013999999999,-0.00601639999999992,0.0143354999999999,0.0535421,0.0303013999999999,0.00262599999999991,0.00356670000000003,0.0535421,0.00212640000000008,-0.00864239999999983,0.0251436,0.00262599999999991,0.00356670000000003,0.1095808,-0.0487564,-0.00864239999999983,0.0303947,-0.00848349999999998,0.0167159,0.0535901999999999,-5.46999999999631e-05,0.00246710000000006
"Ys0...187",0.5,-1,0.2,1,0.0214487,-0.00936689999999996,0.0190813,0.0361126000000001,0.0214487,0.00147469999999994,0.00557859999999999,0.0361126000000001,0.00266110000000008,-0.0108415999999999,0.0144989,0.00147469999999994,0.00557859999999999,0.0306399000000001,0.0150959000000001,-0.0108415999999999,0.0215034,-0.0123728999999999,0.0220210999999999,0.0362019,-7.77999999999057e-05,0.00300599999999995
"Ys0...188",0.5,-1,0.2,1.5,0.0202289,-0.00919110000000001,0.0190956,0.0336914,0.0202289,0.00154920000000003,0.00573539999999995,0.0336914,0.00261990000000001,-0.0107403,0.0134571,0.00154920000000003,0.00573539999999995,0.0233726,0.0197397,-0.0107403,0.0202836,-0.0121635999999999,0.0219874999999999,0.0337467,-2.93999999999572e-05,0.00297249999999993
