"","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"110",-0.5,-1,0.75,-1,-0.0120683999999999,-0.0736684,-9.70000000000137e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"111",-0.5,-1,0.75,1,-0.0218812,-0.0421623,-0.000173599999999996,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"112",-0.5,-1,0.75,1.5,-0.0222862999999999,-0.0354222000000001,-0.000224200000000008,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"113",-0.5,0,-0.75,-1.5,-0.0017976999999999,-0.0635346,-6.15000000000476e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"114",-0.5,0,-0.75,-1,-0.00432520000000014,-0.062611,-0.000156900000000015,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"115",-0.5,0,-0.75,1,-0.00962630000000009,-0.0377542,-0.000126700000000035,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"116",-0.5,0,-0.75,1.5,-0.00998530000000009,-0.0334828,-0.000189200000000112,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"117",-0.5,0,-0.2,-1.5,-0.00172300000000003,-0.0634821,-1.9200000000108e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"118",-0.5,0,-0.2,-1,-0.00419889999999989,-0.0626178000000001,-0.000191500000000011,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"119",-0.5,0,-0.2,1,-0.00951400000000002,-0.0376050999999999,8.00000000023005e-07,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"120",-0.5,0,-0.2,1.5,-0.00996160000000001,-0.0333447,-5.07000000000701e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"121",-0.5,0,0.2,-1.5,-0.00178040000000002,-0.0634440999999999,4.61999999999962e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"122",-0.5,0,0.2,-1,-0.00410349999999993,-0.0625654999999999,-6.32999999999884e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"123",-0.5,0,0.2,1,-0.0093122000000001,-0.0378476,-0.000140499999999988,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"124",-0.5,0,0.2,1.5,-0.00973249999999992,-0.0335109,-0.000182500000000085,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"125",-0.5,0,0.75,-1.5,-0.00177490000000002,-0.063454,-4.2400000000109e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"126",-0.5,0,0.75,-1,-0.00397770000000008,-0.0625772,-0.000119800000000003,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"127",-0.5,0,0.75,1,-0.00928119999999977,-0.0378813,-0.000245900000000021,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"128",-0.5,0,0.75,1.5,-0.00970729999999986,-0.0335676999999999,-0.000269399999999975,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"129",-0.5,1,-0.75,-1.5,0.00239549999999999,-0.0450787,-0.00014829999999999,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"130",-0.5,1,-0.75,-1,0.00396509999999994,-0.0412512000000002,-0.000238400000000083,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"131",-0.5,1,-0.75,1,0.00523239999999991,-0.0269486000000001,-0.000196200000000091,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"132",-0.5,1,-0.75,1.5,0.0050827,-0.0258383999999999,-0.000279199999999924,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"133",-0.5,1,-0.2,-1.5,0.00223059999999997,-0.045083,-0.000170299999999957,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"134",-0.5,1,-0.2,-1,0.00392440000000005,-0.0411283000000001,-0.000158700000000067,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"135",-0.5,1,-0.2,1,0.00523649999999998,-0.0267292,-4.38000000000383e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"136",-0.5,1,-0.2,1.5,0.0050477000000001,-0.0256449,-0.000151899999999983,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"137",-0.5,1,0.2,-1.5,0.00236449999999999,-0.0449984999999999,-0.000123399999999996,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"138",-0.5,1,0.2,-1,0.00409289999999995,-0.0411522999999999,-0.000163499999999983,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"139",-0.5,1,0.2,1,0.00547209999999987,-0.0268067,-0.000167000000000028,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"140",-0.5,1,0.2,1.5,0.00531729999999997,-0.0256644,-0.000236800000000037,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"141",-0.5,1,0.75,-1.5,0.00230479999999988,-0.0449751,-0.000183400000000056,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"142",-0.5,1,0.75,-1,0.00430769999999991,-0.0410602,-0.000147499999999967,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"143",-0.5,1,0.75,1,0.00552960000000002,-0.0267908,-0.000229000000000035,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"144",-0.5,1,0.75,1.5,0.00539650000000003,-0.0256362,-0.000265900000000041,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"145",-0.5,1.5,-0.75,-1.5,0.00340380000000007,-0.0345455,-0.000333800000000051,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"146",-0.5,1.5,-0.75,-1,0.00648919999999997,-0.0298606,-0.000275899999999996,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"147",-0.5,1.5,-0.75,1,0.0105654999999999,-0.0202658999999999,-0.000262499999999943,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"148",-0.5,1.5,-0.75,1.5,0.0105559000000001,-0.0205045,-0.000275999999999943,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"149",-0.5,1.5,-0.2,-1.5,0.0034900000000001,-0.0343932,-9.51000000000146e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"150",-0.5,1.5,-0.2,-1,0.00661750000000005,-0.0298228,-0.000201699999999971,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"151",-0.5,1.5,-0.2,1,0.0105666,-0.0200349,-8.75999999999655e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"152",-0.5,1.5,-0.2,1.5,0.0105894000000001,-0.0203091,-8.08999999999394e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"153",-0.5,1.5,0.2,-1.5,0.00355070000000002,-0.0342867,-0.000250900000000054,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
