"","a1","g6","rho","beta2","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0"
"Ys0...24",-1.5,-1,-0.2,1.5,4.92140267860591,-0.682957614254187,-0.1120728,1.06121935,4.92140267860591,0.155756835745812,-1.0850546,1.06121935,0.134267350000001,4.23089572860591,0.155756835745812,-1.0850546,1.53105175,0.356473900111518,4.91738838985266,-0.531989300612453,-0.264370575,1.06130415,0.005258950111517
"Ys0...25",-1.5,-1,0.2,-1.5,3.30699595624101,-0.206264091889291,-0.0590044249999999,1.06121935,3.30699595624101,-0.129414141889291,-0.155066075,1.06121935,0.0192117000000001,3.20837035624101,-0.129414141889291,-0.155066075,1.53105175,-0.351735024888483,3.30548598985266,-0.227655800612454,-0.0377672250000001,1.06130415,0.0015796751115178
"Ys0...26",-1.5,-1,0.2,-1,3.57604795624101,-0.235606341889291,-0.11800885,1.06121935,3.57604795624101,-0.0819064418892905,-0.31013215,1.06121935,0.0384233999999997,3.37879675624101,-0.0819064418892905,-0.31013215,1.53105175,-0.233753724888482,3.57413638985266,-0.278378050612454,-0.0755344500000001,1.06130415,0.00212407511151769
"Ys0...27",-1.5,-1,0.2,1,4.65225595624101,-0.35297534188929,-0.35402655,1.06121935,4.65225595624101,0.108124358110709,-0.93039645,1.06121935,0.1152702,4.06050235624101,0.108124358110709,-0.93039645,1.53105175,0.238171475111518,4.64873798985266,-0.481267050612454,-0.22660335,1.06130415,0.00430167511151769
"Ys0...28",-1.5,-1,0.2,1.5,4.92130795624101,-0.38231759188929,-0.413030975,1.06121935,4.92130795624101,0.15563205811071,-1.085462525,1.06121935,0.1344819,4.23092875624101,0.15563205811071,-1.085462525,1.53105175,0.356152775111517,4.91738838985266,-0.531989300612453,-0.264370575,1.06130415,0.00484607511151669
"Ys0...29",-1.5,-1,0.75,-1.5,NA,NA,NA,1.06121935,NA,NA,NA,1.06121935,NA,NA,NA,NA,1.5311453,NA,3.30648256681611,-0.227943334674363,-0.037666025,1.0612132,NA
"Ys0...30",-1.5,-1,0.75,-1,NA,NA,NA,1.06121935,NA,NA,NA,1.06121935,NA,NA,NA,NA,1.5311453,NA,3.57520606681611,-0.278703034674363,-0.0753320500000001,1.0612132,NA
"Ys0...31",-1.5,-1,0.75,1,NA,NA,NA,1.06121935,NA,NA,NA,1.06121935,NA,NA,NA,NA,1.5311453,NA,4.65010006681611,-0.481741834674363,-0.225996149999999,1.0612132,NA
"Ys0...32",-1.5,-1,0.75,1.5,NA,NA,NA,1.06121935,NA,NA,NA,1.06121935,NA,NA,NA,NA,1.5311453,NA,4.91882356681611,-0.532501534674362,-0.263662174999999,1.0612132,NA
"Ys0...33",-1.5,0,-0.75,-1.5,3.30590865720875,-0.53045445,-0.265227224999999,2.6173161,3.30590865720875,-0.53045445,-0.265227225,2.6173161,8.88178419700125e-16,3.20749705720875,-0.53045445,-0.265227225,2.6173161,0.0987800000000003,3.30548598985266,-0.530936849999999,-0.265468425000001,2.6178249,0.000637467356094268
"Ys0...34",-1.5,0,-0.75,-1,3.57471105720875,-0.53045445,-0.53045445,2.6173161,3.57471105720875,-0.53045445,-0.53045445,2.6173161,0,3.37788785720875,-0.53045445,-0.53045445,2.6173161,0.1973056,3.57413638985266,-0.53093685,-0.53093685,2.6178249,0.00103066735609314
"Ys0...35",-1.5,0,-0.75,1,4.64992065720875,-0.53045445,-1.59136335,2.6173161,4.64992065720875,-0.53045445,-1.59136335,2.6173161,0,4.05945105720875,-0.53045445,-1.59136335,2.6173161,0.591408,4.64873798985266,-0.530936850000001,-1.59281055,2.6178249,0.00260346735609396
