"","a1","g6","rho","beta2","g2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"29",-1.5,1,-0.75,-1.5,-1,-0.000704699999999892,0.016705,-1.39999999992924e-06,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"30",-1.5,1,-0.75,-1,-1,-0.00124400000000002,0.0118208,0.000108699999999962,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"31",-1.5,1,-0.75,-0.5,-1,-0.0015953999999998,0.00622120000000004,-2.01999999999147e-05,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"32",-1.5,1,-0.75,0,-1,-0.00178749999999994,0.000450599999999968,-0.000146299999999933,3,2,1,4,3,2,1,4,4,2,1,3,3,2,1,4
"33",-1.5,1,-0.75,0.5,-1,-0.00189479999999997,-0.00448420000000005,-4.4000000000044e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"34",-1.5,1,-0.75,1,-1,-0.00200309999999992,-0.00846429999999998,-7.02999999999676e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"35",-1.5,1,-0.75,1.5,-1,-0.00204769999999999,-0.0113388,-8.28999999999969e-05,4,3,1,2,4,2,1,3,4,2,1,3,4,2,1,3
"36",-1.5,1,-0.2,-1.5,-1,-0.000750899999999888,0.0167257000000001,2.2400000000089e-05,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"37",-1.5,1,-0.2,-1,-1,-0.00125409999999992,0.0118166,0.00010880000000002,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"38",-1.5,1,-0.2,-0.5,-1,-0.00158269999999994,0.00622119999999993,-1.64999999999749e-05,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"39",-1.5,1,-0.2,0,-1,-0.00170249999999994,0.000449899999999892,-0.000144299999999986,3,2,1,4,3,2,1,4,4,2,1,3,3,2,1,4
