"","a1","g6","rho","beta2","Z_e","p2xp3","AY_ne","AMY_ne","AZY_ne","AZMY_ne","AY_re","AMY_re","AZY_re","AZMY_re"
"80",-1.5,1.5,0.75,1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"81",-0.5,-1.5,-0.75,-1.5,-0.000313800000000031,1.52160840000003e-06,1,2,4,3,1,2,4,3
"82",-0.5,-1.5,-0.75,-1,-0.000464400000000142,2.56375573999968e-06,1,3,4,2,1,2,4,3
"83",-0.5,-1.5,-0.75,1,-0.000618899999999978,3.48829391000017e-06,1,3,4,2,1,2,4,3
"84",-0.5,-1.5,-0.75,1.5,-0.000633000000000106,3.51118003999991e-06,1,3,4,2,1,2,4,3
"85",-0.5,-1.5,-0.2,-1.5,-0.000346199999999963,1.51574874000014e-06,1,2,4,3,1,2,4,3
"86",-0.5,-1.5,-0.2,-1,-0.000477900000000142,2.56688216999978e-06,1,2,4,3,1,2,4,3
"87",-0.5,-1.5,-0.2,1,-0.000618500000000077,3.56014646999997e-06,1,3,4,2,1,2,4,3
"88",-0.5,-1.5,-0.2,1.5,-0.000627400000000056,3.59243386e-06,1,3,4,2,1,2,4,3
"89",-0.5,-1.5,0.2,-1.5,-0.000264599999999948,1.56940437000013e-06,1,2,4,3,1,2,4,3
"90",-0.5,-1.5,0.2,-1,-0.00042680000000006,2.59258299999984e-06,1,2,4,3,1,2,4,3
"91",-0.5,-1.5,0.2,1,-0.000568299999999966,3.5464554000001e-06,1,2,4,3,1,2,4,3
"92",-0.5,-1.5,0.2,1.5,-0.000580700000000101,3.57090515999984e-06,1,2,4,3,1,2,4,3
"93",-0.5,-1.5,0.75,-1.5,-0.000296999999999881,1.56362481000025e-06,1,2,4,3,1,2,4,3
"94",-0.5,-1.5,0.75,-1,-0.00044030000000006,2.59580793999994e-06,1,2,4,3,1,2,4,3
"95",-0.5,-1.5,0.75,1,-0.000567899999999955,3.61889840000017e-06,1,2,4,3,1,2,4,3
"96",-0.5,-1.5,0.75,1.5,-0.000575100000000051,3.65278843999993e-06,1,2,4,3,1,2,4,3
"97",-0.5,-1,-0.75,-1.5,-0.000304700000000047,2.86032933999999e-06,1,2,4,3,1,2,4,3
"98",-0.5,-1,-0.75,-1,-0.000422900000000115,5.02496609999981e-06,1,2,4,3,1,2,4,3
"99",-0.5,-1,-0.75,1,-0.00055649999999996,7.65541075000015e-06,1,3,4,2,1,2,4,3
"100",-0.5,-1,-0.75,1.5,-0.00057000000000007,7.80693025000004e-06,1,3,4,2,1,2,4,3
"101",-0.5,-1,-0.2,-1.5,-0.000342299999999907,2.84374266000019e-06,1,2,4,3,1,2,4,3
"102",-0.5,-1,-0.2,-1,-0.000437100000000079,4.99048918000002e-06,1,2,4,3,1,2,4,3
"103",-0.5,-1,-0.2,1,-0.00056440000000002,7.71088808000006e-06,1,2,4,3,1,2,4,3
"104",-0.5,-1,-0.2,1.5,-0.000572200000000023,7.87059608999985e-06,1,3,4,2,1,2,4,3
"105",-0.5,-1,0.2,-1.5,-0.000242699999999929,3.02626756000044e-06,1,2,4,3,1,2,4,3
"106",-0.5,-1,0.2,-1,-0.000368800000000169,5.15407549999965e-06,1,2,4,3,1,2,4,3
"107",-0.5,-1,0.2,1,-0.000467299999999837,7.85316379000043e-06,1,2,4,3,1,2,4,3
"108",-0.5,-1,0.2,1.5,-0.000474300000000039,7.99915277999972e-06,1,2,4,3,1,2,4,3
"109",-0.5,-1,0.75,-1.5,-0.0002802999999999,3.00898464000004e-06,1,2,4,3,1,2,4,3
"110",-0.5,-1,0.75,-1,-0.000383000000000022,5.11957889999986e-06,1,2,4,3,1,2,4,3
"111",-0.5,-1,0.75,1,-0.000475199999999898,7.90918128000034e-06,1,2,4,3,1,2,4,3
"112",-0.5,-1,0.75,1.5,-0.000476499999999991,8.06352282e-06,1,2,4,3,1,2,4,3
"113",-0.5,0,-0.75,-1.5,-0.000285400000000102,4.51359215999999e-06,1,2,4,3,1,2,4,3
"114",-0.5,0,-0.75,-1,-0.000390900000000083,8.23167370999973e-06,1,2,4,3,1,2,4,3
"115",-0.5,0,-0.75,1,-0.000515199999999938,1.32381385100002e-05,1,2,4,3,1,2,4,3
"116",-0.5,0,-0.75,1.5,-0.000527699999999909,1.35771109500002e-05,1,3,4,2,1,2,4,3
"117",-0.5,0,-0.2,-1.5,-0.000310200000000149,4.53786519999966e-06,1,2,4,3,1,2,4,3
"118",-0.5,0,-0.2,-1,-0.000381000000000076,8.22440756999983e-06,1,2,4,3,1,2,4,3
"119",-0.5,0,-0.2,1,-0.000500799999999968,1.33590816599998e-05,1,2,4,3,1,2,4,3
"120",-0.5,0,-0.2,1.5,-0.000506599999999913,1.37066206200002e-05,1,2,4,3,1,2,4,3
"121",-0.5,0,0.2,-1.5,-0.000195200000000173,4.83594131999939e-06,1,2,4,3,1,2,4,3
"122",-0.5,0,0.2,-1,-0.000306700000000104,8.52545386999972e-06,1,2,4,3,1,2,4,3
"123",-0.5,0,0.2,1,-0.000389199999999978,1.36825914400001e-05,1,2,4,3,1,2,4,3
"124",-0.5,0,0.2,1.5,-0.000398999999999927,1.40193425400003e-05,1,2,4,3,1,2,4,3
"125",-0.5,0,0.75,-1.5,-0.000220000000000109,4.85979461999986e-06,1,2,4,3,1,2,4,3
"126",-0.5,0,0.75,-1,-0.000296800000000097,8.51959808999982e-06,1,2,4,3,1,2,4,3
"127",-0.5,0,0.75,1,-0.000374800000000008,1.38054074900002e-05,1,2,4,3,1,2,4,3
"128",-0.5,0,0.75,1.5,-0.000377900000000042,1.41510069299997e-05,1,2,4,3,1,2,4,3
"129",-0.5,1,-0.75,-1.5,-0.000291599999999947,5.08491357000029e-06,1,2,4,3,1,2,4,3
"130",-0.5,1,-0.75,-1,-0.000390900000000083,9.43729799999975e-06,1,2,4,3,1,2,4,3
"131",-0.5,1,-0.75,1,-0.000512200000000074,1.54780995599999e-05,1,2,4,3,1,2,4,3
"132",-0.5,1,-0.75,1.5,-0.000524099999999916,1.58983182300007e-05,1,2,4,3,1,2,4,3
"133",-0.5,1,-0.2,-1.5,-0.000334100000000004,5.14127560000021e-06,1,2,4,3,1,2,4,3
"134",-0.5,1,-0.2,-1,-0.000392899999999918,9.46006899000046e-06,1,2,4,3,1,2,4,3
"135",-0.5,1,-0.2,1,-0.000512500000000027,1.56087892799999e-05,1,2,4,3,1,2,4,3
"136",-0.5,1,-0.2,1.5,-0.000516799999999873,1.60360801800004e-05,1,2,4,3,1,2,4,3
"137",-0.5,1,0.2,-1.5,-0.000186699999999873,5.5427073000006e-06,1,2,4,3,1,2,4,3
"138",-0.5,1,0.2,-1,-0.000293099999999935,9.88343248000054e-06,1,2,4,3,1,2,4,3
"139",-0.5,1,0.2,1,-0.000355900000000076,1.61573775999999e-05,1,2,4,3,1,2,4,3
"140",-0.5,1,0.2,1.5,-0.000365199999999843,1.65662572500007e-05,1,2,4,3,1,2,4,3
"141",-0.5,1,0.75,-1.5,-0.000229199999999929,5.59797182000051e-06,1,2,4,3,1,2,4,3
