"","a1","g6","rho","beta2","AY","AMY","AZY_ne","AZY_re","AZMY_ne","AZMY_re","Z_e"
"Ys1...85",-0.5,-1.5,-0.2,-1.5,-0.0592667,0.0696671000000001,0.0899607,0.0244251,-0.0557154000000001,0.0117223,0.00190210000000002
"Ys1...86",-0.5,-1.5,-0.2,-1,-0.0784212,0.1243163,0.148149,0.0294858,-0.1058249,0.0206299999999999,0.00779169999999996
"Ys1...87",-0.5,-1.5,-0.2,1,-0.1148926,0.1262336,0.2424302,0.0382831,-0.1907447,0.0406554,0.0272530000000001
"Ys1...88",-0.5,-1.5,-0.2,1.5,-0.1185037,0.0969183,0.2499249,0.0382286000000001,-0.1978975,0.0437719999999999,0.0299732
"Ys1...89",-0.5,-1.5,0.2,-1.5,-0.0592259000000001,0.0697459,0.0680142,0.0246369,-0.03368,0.0116672,0.00196989999999997
"Ys1...90",-0.5,-1.5,0.2,-1,-0.0783754,0.1242254,0.1060606,0.0294678,-0.0636443,0.0206333,0.00768480000000005
"Ys1...91",-0.5,-1.5,0.2,1,-0.1146606,0.1265655,0.1577508,0.0383613,-0.1063581,0.0410142,0.0279828000000001
"Ys1...92",-0.5,-1.5,0.2,1.5,-0.1181631,0.0972272000000001,0.160355,0.038081,-0.1088122,0.0439138,0.030452
"Ys1...93",-0.5,-1.5,0.75,-1.5,-0.0593151,0.0696804,0.035088,0.0246002,-0.000750499999999987,0.0118704000000001,0.0021331
"Ys1...94",-0.5,-1.5,0.75,-1,-0.0783264,0.1243191,0.0431649,0.0294543,-0.000810199999999983,0.0205419,0.00764150000000008
"Ys1...95",-0.5,-1.5,0.75,1,-0.114691,0.1264811,0.0383289,0.0383323,0.0131032,0.0408995,0.0277997
"Ys1...96",-0.5,-1.5,0.75,1.5,-0.1183447,0.0970611,0.0349089,0.0382769000000001,0.0168208999999999,0.0437726000000001,0.0303197000000002
"Ys1...97",-0.5,-1,-0.75,-1.5,-0.0404172,0.0123323000000001,0.1086975,0.0375968,-0.0469507,0.0176266,-0.00652339999999996
"Ys1...98",-0.5,-1,-0.75,-1,-0.0483784,0.0426372,0.1700008,0.04388,-0.0863715,0.032844,-0.0069053
"Ys1...99",-0.5,-1,-0.75,1,-0.0557905000000001,0.0625305,0.2841038,0.0586355,-0.1733873,0.073249,0.021168
"Ys1...100",-0.5,-1,-0.75,1.5,-0.0555981,0.0519498,0.2946724,0.0590459,-0.1824666,0.0790624999999999,0.0259026
"Ys1...101",-0.5,-1,-0.2,-1.5,-0.0403909,0.0120341,0.0883748,0.0376886999999999,-0.0264804000000001,0.0173829,-0.00682280000000002
"Ys1...102",-0.5,-1,-0.2,-1,-0.0483642000000001,0.0424945,0.1315385,0.043949,-0.0478856,0.0329701999999999,-0.00673370000000006
"Ys1...103",-0.5,-1,-0.2,1,-0.0556845,0.0623359,0.1942411,0.0586939,-0.0835048,0.0733296,0.0212872
"Ys1...104",-0.5,-1,-0.2,1.5,-0.0555890999999999,0.0518626,0.1976861,0.0590248999999999,-0.0852925999999999,0.0792082,0.0258395999999999
"Ys1...105",-0.5,-1,0.2,-1.5,-0.0405184000000001,0.0122976,0.0727732,0.0376664,-0.0107792999999999,0.0176993,-0.00662820000000008
"Ys1...106",-0.5,-1,0.2,-1,-0.0483359999999999,0.0425285,0.1019126,0.0437923,-0.0181463000000001,0.0330171,-0.00695689999999993
"Ys1...107",-0.5,-1,0.2,1,-0.0558508,0.0622574,0.1355512,0.0583985,-0.02445,0.0735515,0.0208488
"Ys1...108",-0.5,-1,0.2,1.5,-0.0554809000000001,0.0521119999999999,0.1355745,0.0590986999999999,-0.0232494,0.079376,0.0261495999999999
"Ys1...109",-0.5,-1,0.75,-1.5,-0.0405327,0.0122407,0.0503865,0.0376701,0.0116513,0.0174826,-0.00688509999999998
"Ys1...110",-0.5,-1,0.75,-1,-0.0483431,0.0424934,0.0599787000000001,0.0437539,0.0237181,0.0329237,-0.0070192
"Ys1...111",-0.5,-1,0.75,1,-0.055704,0.0621683000000001,0.0557939,0.0582796,0.0552083,0.0735139,0.0207913000000001
"Ys1...112",-0.5,-1,0.75,1.5,-0.0555993,0.0520775,0.0517601000000001,0.059107,0.0605732,0.0792355,0.0260092
"Ys1...113",-0.5,0,-0.75,-1.5,-0.0378999999999999,-0.1163218,0.1052158,0.0512551,-0.0302538,0.0197467,-0.00396019999999997
"Ys1...114",-0.5,0,-0.75,-1,-0.045874,-0.0442214000000001,0.1433171,0.0527376000000001,-0.0470145,0.0397487,-0.00381629999999999
"Ys1...115",-0.5,0,-0.75,1,-0.0408275,0.0141939999999999,0.1337874,0.0462422,0.0112841,0.110702,0.0118727
"Ys1...116",-0.5,0,-0.75,1.5,-0.0369588,0.0110254999999999,0.1181667,0.0428503,0.0330583000000001,0.1222545,0.0138797999999999
"Ys1...117",-0.5,0,-0.2,-1.5,-0.0378446,-0.1162922,0.0871821,0.0514141,-0.0122581,0.0197794999999999,-0.00373040000000002
"Ys1...118",-0.5,0,-0.2,-1,-0.0456848,-0.0442739999999999,0.108941,0.0528967,-0.012633,0.0396768000000001,-0.00373449999999986
"Ys1...119",-0.5,0,-0.2,1,-0.0406828,0.0141441,0.0930963,0.0460117000000001,0.051908,0.1107651,0.0117725000000001
"Ys1...120",-0.5,0,-0.2,1.5,-0.0368356999999999,0.0111153000000001,0.0832383,0.0429124,0.0679076,0.1223779,0.0141444000000001
"Ys1...121",-0.5,0,0.2,-1.5,-0.0381360000000001,-0.1162189,0.0752748,0.0513303000000001,-1.84999999999214e-05,0.0197538,-0.00417219999999996
"Ys1...122",-0.5,0,0.2,-1,-0.0457429,-0.0443690999999999,0.0879026000000001,0.0530026,0.0085618999999999,0.0398377,-0.00362419999999997
"Ys1...123",-0.5,0,0.2,1,-0.0405939,0.0142671000000001,0.0716309999999999,0.046135,0.0735641,0.1107984,0.0117383000000001
"Ys1...124",-0.5,0,0.2,1.5,-0.0369168999999999,0.0109593,0.064762,0.0427835999999999,0.0866444,0.1224855,0.0138627
"Ys1...125",-0.5,0,0.75,-1.5,-0.0380591,-0.1163408,0.0599495,0.0513702,0.0150910000000001,0.0199376,-0.00373270000000003
"Ys1...126",-0.5,0,0.75,-1,-0.0456505,-0.0443053999999999,0.0628656,0.0531374,0.0335114,0.0398173000000001,-0.00342229999999988
"Ys1...127",-0.5,0,0.75,1,-0.0405414000000001,0.0142428999999999,0.048961,0.0460385,0.0960777,0.1108236,0.0118233999999999
"Ys1...128",-0.5,0,0.75,1.5,-0.0368277,0.0110448,0.0449347999999999,0.0428824,0.1063696,0.1224684,0.0140463999999999
"Ys1...129",-0.5,1,-0.75,-1.5,-0.0507954,-0.2847391,0.0759589000000001,0.0760179,0.00908259999999994,0.0193143,0.0102907
"Ys1...130",-0.5,1,-0.75,-1,-0.0615722,-0.1946969,0.0547318,0.0714132000000001,0.0331874999999999,0.0417182,0.0252121000000002
"Ys1...131",-0.5,1,-0.75,1,-0.0790331,-0.00744480000000003,-0.0611350000000001,0.0456562,0.1594563,0.1176724,0.0650073000000001
"Ys1...132",-0.5,1,-0.75,1.5,-0.0777788,-0.00162830000000003,-0.0745647,0.0414971999999999,0.1765112,0.1280445,0.0675951999999999
"Ys1...133",-0.5,1,-0.2,-1.5,-0.0505721,-0.2846786,0.0712075,0.0762282000000001,0.0136281,0.0192278,0.0106204000000001
"Ys1...134",-0.5,1,-0.2,-1,-0.0613572,-0.1949903,0.0482472,0.0714837,0.0396238999999999,0.041767,0.0253796000000001
